[I 2025-03-21 17:39:59,429] Using an existing study with name 'IMDb-top_1000-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation-Single_Unitary_Weight-0.0-0.0' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (1147 > 512). Running this sequence through the model will result in indexing errors
[I 2025-03-21 17:48:57,100] Trial 154 finished with value: 0.896969696969697 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9615102410590999, 'batch_size': 47, 'attention_heads': 8, 'hidden_dimension': 200, 'number_of_hidden_layers': 1, 'dropout_rate': 0.42053304346592757, 'global_pooling': 'mean', 'learning_rate': 0.0001754710223469705, 'weight_decay': 0.000130809953210394, 'beta_0': 0.8812385622066583, 'beta_1': 0.9942906743924929, 'epsilon': 4.162679508979182e-07, 'balanced_loss': True, 'epochs': 106, 'early_stopping_patience': 23, 'plateau_patience': 20, 'plateau_divider': 8}. Best is trial 73 with value: 0.9151515151515152.
[I 2025-03-21 17:58:00,590] Trial 155 finished with value: 0.896969696969697 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9570375219973488, 'batch_size': 46, 'attention_heads': 9, 'hidden_dimension': 206, 'number_of_hidden_layers': 1, 'dropout_rate': 0.437433142564901, 'global_pooling': 'mean', 'learning_rate': 0.00023241456103407268, 'weight_decay': 0.0002140749642402956, 'beta_0': 0.88506666239214, 'beta_1': 0.9947277663783273, 'epsilon': 5.810668470603384e-07, 'balanced_loss': True, 'epochs': 98, 'early_stopping_patience': 15, 'plateau_patience': 19, 'plateau_divider': 8}. Best is trial 73 with value: 0.9151515151515152.
[I 2025-03-21 18:07:09,120] Trial 156 finished with value: 0.8909090909090909 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9593133151515001, 'batch_size': 48, 'attention_heads': 8, 'hidden_dimension': 214, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4269113926113898, 'global_pooling': 'mean', 'learning_rate': 0.00011014383982295871, 'weight_decay': 0.0003095480944649442, 'beta_0': 0.8291121735670416, 'beta_1': 0.9934192442460823, 'epsilon': 8.3386105109384e-07, 'balanced_loss': True, 'epochs': 115, 'early_stopping_patience': 21, 'plateau_patience': 21, 'plateau_divider': 9}. Best is trial 73 with value: 0.9151515151515152.
[I 2025-03-21 18:15:54,421] Trial 157 finished with value: 0.896969696969697 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9535041383736103, 'batch_size': 43, 'attention_heads': 7, 'hidden_dimension': 180, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4299653434606234, 'global_pooling': 'mean', 'learning_rate': 9.17796838098021e-05, 'weight_decay': 0.00010128772254384167, 'beta_0': 0.8779268803694481, 'beta_1': 0.9960902505704734, 'epsilon': 3.490978854911719e-07, 'balanced_loss': True, 'epochs': 103, 'early_stopping_patience': 22, 'plateau_patience': 20, 'plateau_divider': 8}. Best is trial 73 with value: 0.9151515151515152.
[I 2025-03-21 18:26:30,169] Trial 158 finished with value: 0.8848484848484849 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9641433975127958, 'batch_size': 52, 'attention_heads': 9, 'hidden_dimension': 197, 'number_of_hidden_layers': 1, 'dropout_rate': 0.415571113064503, 'global_pooling': 'mean', 'learning_rate': 3.941468748065312e-05, 'weight_decay': 0.0002644815443588724, 'beta_0': 0.8902672472864817, 'beta_1': 0.9916080823082407, 'epsilon': 1.1296351842436388e-06, 'balanced_loss': True, 'epochs': 94, 'early_stopping_patience': 22, 'plateau_patience': 23, 'plateau_divider': 7}. Best is trial 73 with value: 0.9151515151515152.
[I 2025-03-21 18:35:51,337] Trial 159 finished with value: 0.8848484848484849 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9331303309438952, 'batch_size': 46, 'attention_heads': 8, 'hidden_dimension': 166, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4035231249273214, 'global_pooling': 'mean', 'learning_rate': 0.000288481562867405, 'weight_decay': 8.396744092233123e-05, 'beta_0': 0.8832467293342459, 'beta_1': 0.99213851426128, 'epsilon': 1.8233944944702463e-06, 'balanced_loss': True, 'epochs': 107, 'early_stopping_patience': 24, 'plateau_patience': 19, 'plateau_divider': 8}. Best is trial 73 with value: 0.9151515151515152.
[I 2025-03-21 18:44:27,008] Trial 160 finished with value: 0.8909090909090909 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9702504602301526, 'batch_size': 41, 'attention_heads': 7, 'hidden_dimension': 201, 'number_of_hidden_layers': 1, 'dropout_rate': 0.44492096879492765, 'global_pooling': 'mean', 'learning_rate': 0.00014265524755690528, 'weight_decay': 0.0001891218908223184, 'beta_0': 0.8866927359087723, 'beta_1': 0.9874206213285311, 'epsilon': 1.4102576650203605e-06, 'balanced_loss': True, 'epochs': 111, 'early_stopping_patience': 25, 'plateau_patience': 18, 'plateau_divider': 8}. Best is trial 73 with value: 0.9151515151515152.
[I 2025-03-21 18:52:39,334] Trial 161 finished with value: 0.8909090909090909 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9778148548155484, 'batch_size': 33, 'attention_heads': 8, 'hidden_dimension': 193, 'number_of_hidden_layers': 2, 'dropout_rate': 0.38010493709240595, 'global_pooling': 'mean', 'learning_rate': 5.94221903344349e-05, 'weight_decay': 6.955014191874711e-05, 'beta_0': 0.8927064299590137, 'beta_1': 0.990819825565513, 'epsilon': 3.2047311960101713e-06, 'balanced_loss': True, 'epochs': 118, 'early_stopping_patience': 21, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 73 with value: 0.9151515151515152.
[I 2025-03-21 18:59:20,064] Trial 162 finished with value: 0.8424242424242424 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9740271311050307, 'batch_size': 47, 'attention_heads': 9, 'hidden_dimension': 217, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4574067174307396, 'global_pooling': 'mean', 'learning_rate': 0.014780080015112867, 'weight_decay': 0.0001412794081441918, 'beta_0': 0.8996832540649848, 'beta_1': 0.9931047414069148, 'epsilon': 6.940393351512514e-07, 'balanced_loss': False, 'epochs': 113, 'early_stopping_patience': 19, 'plateau_patience': 15, 'plateau_divider': 9}. Best is trial 73 with value: 0.9151515151515152.
[I 2025-03-21 19:08:38,881] Trial 163 finished with value: 0.896969696969697 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9823712432782605, 'batch_size': 42, 'attention_heads': 9, 'hidden_dimension': 184, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4335545870177417, 'global_pooling': 'mean', 'learning_rate': 7.754066960019736e-05, 'weight_decay': 0.0006348470933810719, 'beta_0': 0.8802869513227819, 'beta_1': 0.9927646336174188, 'epsilon': 2.029466511353124e-06, 'balanced_loss': True, 'epochs': 124, 'early_stopping_patience': 25, 'plateau_patience': 19, 'plateau_divider': 10}. Best is trial 73 with value: 0.9151515151515152.
[I 2025-03-21 19:17:44,149] Trial 164 finished with value: 0.593939393939394 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9867082679328626, 'batch_size': 39, 'attention_heads': 10, 'hidden_dimension': 182, 'number_of_hidden_layers': 2, 'dropout_rate': 0.43002403034889675, 'global_pooling': 'mean', 'learning_rate': 0.09285939748894982, 'weight_decay': 0.0007942618132542141, 'beta_0': 0.8344443031580205, 'beta_1': 0.9937395120230806, 'epsilon': 1.6825578313808097e-06, 'balanced_loss': True, 'epochs': 113, 'early_stopping_patience': 24, 'plateau_patience': 19, 'plateau_divider': 10}. Best is trial 73 with value: 0.9151515151515152.
