[I 2025-02-28 11:05:19,641] Using an existing study with name 'IMDb-top_1000-GATv2-google-bert-bert-base-uncased-Surrogate-No_Aggregation-No_Ablation-1.0-0.75' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (1147 > 512). Running this sequence through the model will result in indexing errors
[I 2025-02-28 11:18:06,573] Trial 181 finished with value: 0.8424242424242424 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9822267211422386, 'batch_size': 30, 'attention_heads': 5, 'hidden_dimension': 86, 'number_of_hidden_layers': 2, 'dropout_rate': 0.41388127302606703, 'global_pooling': 'sum', 'learning_rate': 0.0004255007010130252, 'weight_decay': 3.157563469561803e-06, 'beta_0': 0.88019278869442, 'beta_1': 0.9864667645945536, 'epsilon': 1.7055412251468782e-07, 'balanced_loss': False, 'epochs': 196, 'early_stopping_patience': 23, 'plateau_patience': 18, 'plateau_divider': 7}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-28 11:38:32,507] Trial 182 finished with value: 0.8787878787878788 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.9839208392490926, 'batch_size': 28, 'attention_heads': 5, 'hidden_dimension': 74, 'number_of_hidden_layers': 1, 'dropout_rate': 0.39981989046708843, 'global_pooling': 'sum', 'learning_rate': 0.0005648284401351372, 'weight_decay': 0.0009971725572920523, 'beta_0': 0.8529950948517478, 'beta_1': 0.9854268940411759, 'epsilon': 8.787285413395594e-08, 'balanced_loss': True, 'epochs': 199, 'early_stopping_patience': 23, 'plateau_patience': 22, 'plateau_divider': 3}. Best is trial 133 with value: 0.896969696969697.
CUDA out of memory. Tried to allocate 3.02 GiB. GPU 0 has a total capacity of 44.56 GiB of which 740.69 MiB is free. Including non-PyTorch memory, this process has 43.83 GiB memory in use. Of the allocated memory 40.34 GiB is allocated by PyTorch, and 2.34 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-02-28 11:51:18,964] Trial 183 finished with value: -1.0 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.9193199803632638, 'batch_size': 26, 'attention_heads': 5, 'hidden_dimension': 92, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4295730384542041, 'global_pooling': 'sum', 'learning_rate': 0.0008032559305938289, 'weight_decay': 3.635461440104453e-06, 'beta_0': 0.8840216926836224, 'beta_1': 0.9803731781496124, 'epsilon': 2.315935595506593e-07, 'balanced_loss': True, 'epochs': 160, 'early_stopping_patience': 22, 'plateau_patience': 23, 'plateau_divider': 4}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-28 12:08:15,607] Trial 184 finished with value: 0.8545454545454545 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.9892347843318654, 'batch_size': 26, 'attention_heads': 4, 'hidden_dimension': 80, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4350502511468815, 'global_pooling': 'sum', 'learning_rate': 0.0006865200464895438, 'weight_decay': 3.973518267847996e-06, 'beta_0': 0.8679898343974305, 'beta_1': 0.9878286980679042, 'epsilon': 6.798084813385596e-08, 'balanced_loss': False, 'epochs': 195, 'early_stopping_patience': 24, 'plateau_patience': 22, 'plateau_divider': 3}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-28 12:25:17,538] Trial 185 finished with value: 0.8787878787878788 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9879872234239219, 'batch_size': 25, 'attention_heads': 4, 'hidden_dimension': 73, 'number_of_hidden_layers': 2, 'dropout_rate': 0.418975554478635, 'global_pooling': 'sum', 'learning_rate': 0.0008793631835503938, 'weight_decay': 1.7820442641460796e-06, 'beta_0': 0.8734323116531714, 'beta_1': 0.9889265643171001, 'epsilon': 1.1895508818332163e-07, 'balanced_loss': False, 'epochs': 193, 'early_stopping_patience': 24, 'plateau_patience': 22, 'plateau_divider': 3}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-28 12:42:39,246] Trial 186 finished with value: 0.8727272727272727 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.9965746383930538, 'batch_size': 27, 'attention_heads': 4, 'hidden_dimension': 63, 'number_of_hidden_layers': 3, 'dropout_rate': 0.42570664678359815, 'global_pooling': 'sum', 'learning_rate': 7.317623155542885e-05, 'weight_decay': 0.0003489114654290614, 'beta_0': 0.8776545815965219, 'beta_1': 0.9885521022643684, 'epsilon': 1.5552253131571377e-07, 'balanced_loss': False, 'epochs': 200, 'early_stopping_patience': 25, 'plateau_patience': 19, 'plateau_divider': 3}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-28 13:00:13,173] Trial 187 finished with value: 0.8727272727272727 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9907327922427873, 'batch_size': 24, 'attention_heads': 6, 'hidden_dimension': 96, 'number_of_hidden_layers': 2, 'dropout_rate': 0.458667704688818, 'global_pooling': 'sum', 'learning_rate': 0.00046398382451141873, 'weight_decay': 2.524904617864529e-06, 'beta_0': 0.8604299254191399, 'beta_1': 0.9879769040805478, 'epsilon': 1.6483720581247242e-06, 'balanced_loss': False, 'epochs': 191, 'early_stopping_patience': 23, 'plateau_patience': 19, 'plateau_divider': 3}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-28 13:17:13,565] Trial 188 finished with value: 0.8787878787878788 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9934024159323693, 'batch_size': 32, 'attention_heads': 4, 'hidden_dimension': 182, 'number_of_hidden_layers': 2, 'dropout_rate': 0.44641357721966574, 'global_pooling': 'max', 'learning_rate': 0.0006067579388694635, 'weight_decay': 4.651382761060297e-06, 'beta_0': 0.8634409538883574, 'beta_1': 0.9873508206090547, 'epsilon': 3.153125627203878e-06, 'balanced_loss': False, 'epochs': 148, 'early_stopping_patience': 24, 'plateau_patience': 20, 'plateau_divider': 2}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-28 13:37:07,916] Trial 189 finished with value: 0.8727272727272727 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.9596755583871612, 'batch_size': 22, 'attention_heads': 5, 'hidden_dimension': 89, 'number_of_hidden_layers': 2, 'dropout_rate': 0.45181239478692964, 'global_pooling': 'sum', 'learning_rate': 0.0010837303335818893, 'weight_decay': 1.5985956102439016e-06, 'beta_0': 0.8718269879107388, 'beta_1': 0.9883622579544993, 'epsilon': 5.70867892840828e-07, 'balanced_loss': False, 'epochs': 156, 'early_stopping_patience': 25, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 133 with value: 0.896969696969697.
[I 2025-02-28 13:48:33,926] Trial 190 finished with value: 0.8363636363636363 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9979510068903789, 'batch_size': 25, 'attention_heads': 4, 'hidden_dimension': 144, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4778977217914032, 'global_pooling': 'sum', 'learning_rate': 0.0003728287879733707, 'weight_decay': 0.00041732681549258853, 'beta_0': 0.8565307424125469, 'beta_1': 0.9907677077614424, 'epsilon': 9.552175239174108e-08, 'balanced_loss': True, 'epochs': 165, 'early_stopping_patience': 24, 'plateau_patience': 19, 'plateau_divider': 4}. Best is trial 133 with value: 0.896969696969697.
