[I 2025-03-03 01:12:21,951] Using an existing study with name 'IMDb-top_1000-GATv2-google-bert-bert-base-uncased-Surrogate-No_Aggregation-No_Ablation-1.0-0.75' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (1147 > 512). Running this sequence through the model will result in indexing errors
[I 2025-03-03 01:25:23,378] Trial 239 finished with value: 0.8727272727272727 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9889621284894846, 'batch_size': 26, 'attention_heads': 5, 'hidden_dimension': 170, 'number_of_hidden_layers': 2, 'dropout_rate': 0.44537876313691566, 'global_pooling': 'sum', 'learning_rate': 0.0009420859501279246, 'weight_decay': 3.954927351822918e-06, 'beta_0': 0.8740802813107488, 'beta_1': 0.9835593558824715, 'epsilon': 1.5737504124876363e-07, 'balanced_loss': True, 'epochs': 172, 'early_stopping_patience': 23, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 01:38:50,506] Trial 240 finished with value: 0.8606060606060606 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9852252869446205, 'batch_size': 33, 'attention_heads': 5, 'hidden_dimension': 158, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4325482425946559, 'global_pooling': 'sum', 'learning_rate': 0.0007508009844476632, 'weight_decay': 4.782007806293791e-06, 'beta_0': 0.8781354648198696, 'beta_1': 0.9832991808213409, 'epsilon': 2.686885047126877e-07, 'balanced_loss': True, 'epochs': 167, 'early_stopping_patience': 24, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 01:53:12,492] Trial 241 finished with value: 0.8666666666666667 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9949551165608036, 'batch_size': 27, 'attention_heads': 8, 'hidden_dimension': 161, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4392499488134854, 'global_pooling': 'sum', 'learning_rate': 0.0005236621330995909, 'weight_decay': 3.3223654657694525e-06, 'beta_0': 0.8722871704860151, 'beta_1': 0.9838508350069484, 'epsilon': 1.477240600502129e-07, 'balanced_loss': True, 'epochs': 179, 'early_stopping_patience': 23, 'plateau_patience': 18, 'plateau_divider': 8}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 02:03:18,175] Trial 242 finished with value: 0.8545454545454545 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9929593870613239, 'batch_size': 36, 'attention_heads': 5, 'hidden_dimension': 67, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4081997938963469, 'global_pooling': 'sum', 'learning_rate': 0.0008450696994074647, 'weight_decay': 0.0002803924298996602, 'beta_0': 0.8755959176360172, 'beta_1': 0.9843718288625195, 'epsilon': 2.1984651365357547e-05, 'balanced_loss': True, 'epochs': 161, 'early_stopping_patience': 25, 'plateau_patience': 17, 'plateau_divider': 9}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 02:14:05,261] Trial 243 finished with value: 0.8666666666666667 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.99791043075041, 'batch_size': 29, 'attention_heads': 6, 'hidden_dimension': 150, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4764762807576117, 'global_pooling': 'sum', 'learning_rate': 0.0006528578517323637, 'weight_decay': 4.141204791028645e-06, 'beta_0': 0.8807318476269937, 'beta_1': 0.9819749420395946, 'epsilon': 2.3495150465349132e-07, 'balanced_loss': True, 'epochs': 169, 'early_stopping_patience': 24, 'plateau_patience': 16, 'plateau_divider': 4}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 02:27:45,460] Trial 244 finished with value: 0.8545454545454545 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9825345361301299, 'batch_size': 25, 'attention_heads': 5, 'hidden_dimension': 164, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4492707335920456, 'global_pooling': 'max', 'learning_rate': 0.0010025060757519924, 'weight_decay': 0.00042878649791161906, 'beta_0': 0.8775714599800971, 'beta_1': 0.9828153989091524, 'epsilon': 1.0381987131087719e-07, 'balanced_loss': True, 'epochs': 164, 'early_stopping_patience': 24, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 02:44:28,120] Trial 245 finished with value: 0.8787878787878788 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9910020716548905, 'batch_size': 25, 'attention_heads': 4, 'hidden_dimension': 188, 'number_of_hidden_layers': 1, 'dropout_rate': 0.45550845842198606, 'global_pooling': 'sum', 'learning_rate': 0.001105998786345104, 'weight_decay': 2.8116374766395377e-06, 'beta_0': 0.8711567782557159, 'beta_1': 0.9836388609054685, 'epsilon': 1.2496111288702244e-07, 'balanced_loss': False, 'epochs': 155, 'early_stopping_patience': 24, 'plateau_patience': 19, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 03:02:11,209] Trial 246 finished with value: 0.8909090909090909 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9865014269819476, 'batch_size': 24, 'attention_heads': 4, 'hidden_dimension': 192, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4625672164244171, 'global_pooling': 'sum', 'learning_rate': 0.0013447602868335827, 'weight_decay': 0.00034639365006003327, 'beta_0': 0.8671413383869478, 'beta_1': 0.9874647081391876, 'epsilon': 1.756316114380034e-07, 'balanced_loss': True, 'epochs': 197, 'early_stopping_patience': 24, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 03:15:12,740] Trial 247 finished with value: 0.8787878787878788 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9859039560858305, 'batch_size': 26, 'attention_heads': 4, 'hidden_dimension': 154, 'number_of_hidden_layers': 2, 'dropout_rate': 0.46758409061809003, 'global_pooling': 'sum', 'learning_rate': 0.001471680263507236, 'weight_decay': 0.0003108180176008529, 'beta_0': 0.8619944607966217, 'beta_1': 0.9869138756000405, 'epsilon': 1.7878424412959501e-07, 'balanced_loss': True, 'epochs': 197, 'early_stopping_patience': 24, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 03:32:12,884] Trial 248 finished with value: 0.8545454545454545 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9872040239754444, 'batch_size': 23, 'attention_heads': 4, 'hidden_dimension': 191, 'number_of_hidden_layers': 2, 'dropout_rate': 0.46270768809754687, 'global_pooling': 'sum', 'learning_rate': 0.0005767130057609342, 'weight_decay': 0.00035318376356312134, 'beta_0': 0.8735948157250246, 'beta_1': 0.9873336283348839, 'epsilon': 1.9782162981232017e-07, 'balanced_loss': True, 'epochs': 176, 'early_stopping_patience': 23, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
[I 2025-03-03 03:51:20,903] Trial 249 finished with value: 0.8727272727272727 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9894923125559388, 'batch_size': 24, 'attention_heads': 5, 'hidden_dimension': 185, 'number_of_hidden_layers': 2, 'dropout_rate': 0.47265613008213037, 'global_pooling': 'sum', 'learning_rate': 0.0007890827164658953, 'weight_decay': 2.8023849040952896e-05, 'beta_0': 0.8702250732220881, 'beta_1': 0.987580757823155, 'epsilon': 1.5447843006047658e-07, 'balanced_loss': True, 'epochs': 197, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 3}. Best is trial 195 with value: 0.9030303030303031.
