[I 2025-03-29 12:59:48,234] Using an existing study with name 'Ohsumed-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation-No_Ablation-1.0-0.25' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (611 > 512). Running this sequence through the model will result in indexing errors
[I 2025-03-29 13:12:11,968] Trial 88 finished with value: 0.5276816772163974 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8865438168080859, 'batch_size': 64, 'attention_heads': 12, 'hidden_dimension': 172, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4307466578593135, 'global_pooling': 'mean', 'learning_rate': 0.0012023877518139157, 'weight_decay': 9.453252646286081e-05, 'beta_0': 0.8643002581245425, 'beta_1': 0.989624820441904, 'epsilon': 8.32462523447789e-05, 'balanced_loss': False, 'epochs': 168, 'early_stopping_patience': 16, 'plateau_patience': 19, 'plateau_divider': 7}. Best is trial 76 with value: 0.5794639572236967.
[I 2025-03-29 13:29:14,494] Trial 89 finished with value: 0.5623484930574986 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8796566165894485, 'batch_size': 53, 'attention_heads': 14, 'hidden_dimension': 142, 'number_of_hidden_layers': 2, 'dropout_rate': 0.407233358482781, 'global_pooling': 'mean', 'learning_rate': 0.0003171365121665516, 'weight_decay': 0.0004909279301381352, 'beta_0': 0.8386869708558276, 'beta_1': 0.9927406769616378, 'epsilon': 4.0962189206713026e-05, 'balanced_loss': False, 'epochs': 146, 'early_stopping_patience': 20, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 76 with value: 0.5794639572236967.
[I 2025-03-29 13:45:06,292] Trial 90 finished with value: 0.5258112680849567 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8997483769810799, 'batch_size': 53, 'attention_heads': 14, 'hidden_dimension': 146, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4734799190746226, 'global_pooling': 'mean', 'learning_rate': 0.00017512855434773856, 'weight_decay': 0.000518309849065131, 'beta_0': 0.8383099627897194, 'beta_1': 0.9942720076384526, 'epsilon': 6.0667899121849904e-05, 'balanced_loss': True, 'epochs': 139, 'early_stopping_patience': 19, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 76 with value: 0.5794639572236967.
[I 2025-03-29 14:01:49,213] Trial 91 finished with value: 0.3740943681778348 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.8789716690611594, 'batch_size': 58, 'attention_heads': 14, 'hidden_dimension': 158, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4053689894385487, 'global_pooling': 'sum', 'learning_rate': 0.00012122154315310028, 'weight_decay': 0.00033726480825573777, 'beta_0': 0.8331376369728204, 'beta_1': 0.9922601383235066, 'epsilon': 2.7174613135342348e-05, 'balanced_loss': False, 'epochs': 117, 'early_stopping_patience': 20, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 76 with value: 0.5794639572236967.
[I 2025-03-29 14:17:50,077] Trial 92 finished with value: 0.5577855108056773 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8806603953073073, 'batch_size': 47, 'attention_heads': 15, 'hidden_dimension': 136, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4425865844200063, 'global_pooling': 'mean', 'learning_rate': 0.0008338114741827503, 'weight_decay': 0.00069739903853662, 'beta_0': 0.842917565242098, 'beta_1': 0.9931882639411436, 'epsilon': 4.039665079214576e-05, 'balanced_loss': False, 'epochs': 149, 'early_stopping_patience': 21, 'plateau_patience': 17, 'plateau_divider': 9}. Best is trial 76 with value: 0.5794639572236967.
[I 2025-03-29 14:31:12,092] Trial 93 finished with value: 0.5362322709747186 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8751559151204357, 'batch_size': 40, 'attention_heads': 13, 'hidden_dimension': 109, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4519324639896961, 'global_pooling': 'mean', 'learning_rate': 0.00032428652088443424, 'weight_decay': 0.00046499838389057427, 'beta_0': 0.8496816239238943, 'beta_1': 0.9937797671156093, 'epsilon': 9.979428381643749e-05, 'balanced_loss': True, 'epochs': 146, 'early_stopping_patience': 21, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 76 with value: 0.5794639572236967.
[I 2025-03-29 14:48:20,658] Trial 94 finished with value: 0.5860380181811974 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8814613223501302, 'batch_size': 47, 'attention_heads': 15, 'hidden_dimension': 135, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4357644439347288, 'global_pooling': 'mean', 'learning_rate': 0.0008378389042894583, 'weight_decay': 0.0007461213237518766, 'beta_0': 0.8423910160434988, 'beta_1': 0.9926494020120994, 'epsilon': 4.06424795011669e-05, 'balanced_loss': False, 'epochs': 156, 'early_stopping_patience': 21, 'plateau_patience': 17, 'plateau_divider': 9}. Best is trial 94 with value: 0.5860380181811974.
[I 2025-03-29 15:06:19,654] Trial 95 finished with value: 0.5558158948854635 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8860250411132207, 'batch_size': 53, 'attention_heads': 16, 'hidden_dimension': 142, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4361284967099364, 'global_pooling': 'mean', 'learning_rate': 0.000227086952266248, 'weight_decay': 0.00029049569579244156, 'beta_0': 0.8469402257373169, 'beta_1': 0.9915369275931625, 'epsilon': 1.7471172841015367e-08, 'balanced_loss': False, 'epochs': 156, 'early_stopping_patience': 20, 'plateau_patience': 17, 'plateau_divider': 9}. Best is trial 94 with value: 0.5860380181811974.
[I 2025-03-29 15:22:12,245] Trial 96 finished with value: 0.574923060292072 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8911813207583796, 'batch_size': 55, 'attention_heads': 14, 'hidden_dimension': 130, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4240437775879941, 'global_pooling': 'mean', 'learning_rate': 0.00047940206053676254, 'weight_decay': 0.0008985046342358899, 'beta_0': 0.8402810147179232, 'beta_1': 0.9908926974684451, 'epsilon': 2.3466110155249416e-05, 'balanced_loss': False, 'epochs': 173, 'early_stopping_patience': 22, 'plateau_patience': 15, 'plateau_divider': 9}. Best is trial 94 with value: 0.5860380181811974.
[I 2025-03-29 15:37:35,412] Trial 97 finished with value: 0.5699366640892933 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8933197649814325, 'batch_size': 54, 'attention_heads': 15, 'hidden_dimension': 126, 'number_of_hidden_layers': 2, 'dropout_rate': 0.42127460111765336, 'global_pooling': 'mean', 'learning_rate': 0.0005767130057609342, 'weight_decay': 0.0007933443506847839, 'beta_0': 0.8286857269620881, 'beta_1': 0.9925300376533074, 'epsilon': 2.2204752057012927e-05, 'balanced_loss': False, 'epochs': 171, 'early_stopping_patience': 21, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 94 with value: 0.5860380181811974.
[I 2025-03-29 15:53:04,319] Trial 98 finished with value: 0.5528472907687688 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.9017251179496962, 'batch_size': 46, 'attention_heads': 15, 'hidden_dimension': 129, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4246636124087865, 'global_pooling': 'mean', 'learning_rate': 0.0005548256302678925, 'weight_decay': 0.0009510831141161389, 'beta_0': 0.8671702918745704, 'beta_1': 0.9909018693195721, 'epsilon': 9.901601799225555e-06, 'balanced_loss': False, 'epochs': 171, 'early_stopping_patience': 22, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 94 with value: 0.5860380181811974.
