[I 2025-03-22 03:32:44,377] Using an existing study with name 'Ohsumed-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation-Single_Unitary_Weight-0.0-0.0' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (611 > 512). Running this sequence through the model will result in indexing errors
[I 2025-03-22 03:44:11,166] Trial 100 finished with value: 0.6044884885655578 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.887187678129592, 'batch_size': 81, 'attention_heads': 8, 'hidden_dimension': 147, 'number_of_hidden_layers': 2, 'dropout_rate': 0.42165800345272897, 'global_pooling': 'max', 'learning_rate': 0.0004255007010130252, 'weight_decay': 2.3320169519634285e-05, 'beta_0': 0.8135377506309164, 'beta_1': 0.9814074643088471, 'epsilon': 2.1187997236513821e-07, 'balanced_loss': False, 'epochs': 140, 'early_stopping_patience': 11, 'plateau_patience': 11, 'plateau_divider': 3}. Best is trial 97 with value: 0.6307008548631928.
[I 2025-03-22 03:56:37,872] Trial 101 finished with value: 0.6011616306045635 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8881161873738143, 'batch_size': 79, 'attention_heads': 9, 'hidden_dimension': 145, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4314390502473403, 'global_pooling': 'max', 'learning_rate': 0.0003281287916618219, 'weight_decay': 3.277587076790412e-05, 'beta_0': 0.8174789626687443, 'beta_1': 0.9826338160518644, 'epsilon': 2.9091365261706563e-07, 'balanced_loss': False, 'epochs': 129, 'early_stopping_patience': 11, 'plateau_patience': 11, 'plateau_divider': 3}. Best is trial 97 with value: 0.6307008548631928.
[I 2025-03-22 04:13:12,932] Trial 102 finished with value: 0.5856814929028883 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8984366252462906, 'batch_size': 79, 'attention_heads': 9, 'hidden_dimension': 139, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4437159142494035, 'global_pooling': 'max', 'learning_rate': 7.945325546845405e-05, 'weight_decay': 0.00016890486191514588, 'beta_0': 0.8200299555617863, 'beta_1': 0.9835881480064955, 'epsilon': 4.0569764423623523e-07, 'balanced_loss': False, 'epochs': 143, 'early_stopping_patience': 12, 'plateau_patience': 10, 'plateau_divider': 3}. Best is trial 97 with value: 0.6307008548631928.
[I 2025-03-22 04:25:25,631] Trial 103 finished with value: 0.5860978407507154 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8758249923115916, 'batch_size': 86, 'attention_heads': 9, 'hidden_dimension': 113, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4127769979056839, 'global_pooling': 'max', 'learning_rate': 0.0003738009174150546, 'weight_decay': 3.9544036771460395e-05, 'beta_0': 0.823397595015505, 'beta_1': 0.9811486539881914, 'epsilon': 1.1388111642850158e-07, 'balanced_loss': True, 'epochs': 135, 'early_stopping_patience': 11, 'plateau_patience': 13, 'plateau_divider': 3}. Best is trial 97 with value: 0.6307008548631928.
[I 2025-03-22 04:38:34,104] Trial 104 finished with value: 0.6028077272919611 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8702669854084829, 'batch_size': 73, 'attention_heads': 8, 'hidden_dimension': 155, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4422506963282139, 'global_pooling': 'max', 'learning_rate': 0.0004714168100167637, 'weight_decay': 4.217525094500607e-05, 'beta_0': 0.8337181095824507, 'beta_1': 0.9819564450479001, 'epsilon': 2.562705925742357e-07, 'balanced_loss': False, 'epochs': 124, 'early_stopping_patience': 13, 'plateau_patience': 14, 'plateau_divider': 3}. Best is trial 97 with value: 0.6307008548631928.
[I 2025-03-22 04:53:22,208] Trial 105 finished with value: 0.5845233599340909 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8627084653677236, 'batch_size': 77, 'attention_heads': 10, 'hidden_dimension': 202, 'number_of_hidden_layers': 2, 'dropout_rate': 0.42406075773004837, 'global_pooling': 'max', 'learning_rate': 0.0002691177740425562, 'weight_decay': 9.822120890144899e-05, 'beta_0': 0.8286966387696005, 'beta_1': 0.9823997839513957, 'epsilon': 1.7958135834283513e-07, 'balanced_loss': False, 'epochs': 130, 'early_stopping_patience': 10, 'plateau_patience': 11, 'plateau_divider': 3}. Best is trial 97 with value: 0.6307008548631928.
[I 2025-03-22 05:06:46,999] Trial 106 finished with value: 0.6073554666470136 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8815715720804013, 'batch_size': 76, 'attention_heads': 10, 'hidden_dimension': 165, 'number_of_hidden_layers': 2, 'dropout_rate': 0.42974918844409976, 'global_pooling': 'max', 'learning_rate': 0.000500393212811491, 'weight_decay': 7.960282624875121e-05, 'beta_0': 0.8427264688396217, 'beta_1': 0.9816203829066122, 'epsilon': 7.31734242108533e-07, 'balanced_loss': False, 'epochs': 124, 'early_stopping_patience': 12, 'plateau_patience': 12, 'plateau_divider': 3}. Best is trial 97 with value: 0.6307008548631928.
[I 2025-03-22 05:18:55,283] Trial 107 finished with value: 0.6140119918155644 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8690709503690227, 'batch_size': 83, 'attention_heads': 9, 'hidden_dimension': 126, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4300852366265484, 'global_pooling': 'max', 'learning_rate': 0.0005780239877578392, 'weight_decay': 8.277433746505765e-05, 'beta_0': 0.8417149853077438, 'beta_1': 0.9817080932914312, 'epsilon': 6.535813067047619e-07, 'balanced_loss': False, 'epochs': 126, 'early_stopping_patience': 13, 'plateau_patience': 12, 'plateau_divider': 2}. Best is trial 97 with value: 0.6307008548631928.
[I 2025-03-22 05:31:17,152] Trial 108 finished with value: 0.610481197746209 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8930269042965103, 'batch_size': 85, 'attention_heads': 9, 'hidden_dimension': 126, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3945978915382236, 'global_pooling': 'max', 'learning_rate': 0.00023097684566983278, 'weight_decay': 3.2259961129762005e-05, 'beta_0': 0.8475945232544113, 'beta_1': 0.9808988617306558, 'epsilon': 6.143308563857466e-07, 'balanced_loss': False, 'epochs': 127, 'early_stopping_patience': 13, 'plateau_patience': 13, 'plateau_divider': 2}. Best is trial 97 with value: 0.6307008548631928.
[I 2025-03-22 05:43:20,568] Trial 109 finished with value: 0.5250108072754659 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.8913813634766811, 'batch_size': 89, 'attention_heads': 9, 'hidden_dimension': 129, 'number_of_hidden_layers': 2, 'dropout_rate': 0.39128949788162165, 'global_pooling': 'max', 'learning_rate': 0.0003379952353942326, 'weight_decay': 3.0756174720552284e-05, 'beta_0': 0.8465398174250238, 'beta_1': 0.9809612080171335, 'epsilon': 8.775556218768749e-07, 'balanced_loss': False, 'epochs': 113, 'early_stopping_patience': 13, 'plateau_patience': 13, 'plateau_divider': 2}. Best is trial 97 with value: 0.6307008548631928.
[I 2025-03-22 05:55:06,224] Trial 110 finished with value: 0.5889181085530434 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8839181076819015, 'batch_size': 83, 'attention_heads': 8, 'hidden_dimension': 125, 'number_of_hidden_layers': 2, 'dropout_rate': 0.45475965921488415, 'global_pooling': 'max', 'learning_rate': 0.0008392832854099513, 'weight_decay': 3.582108284200069e-05, 'beta_0': 0.8398344573044441, 'beta_1': 0.9817465013494892, 'epsilon': 6.211669475166283e-07, 'balanced_loss': False, 'epochs': 133, 'early_stopping_patience': 12, 'plateau_patience': 10, 'plateau_divider': 2}. Best is trial 97 with value: 0.6307008548631928.
[I 2025-03-22 06:07:42,740] Trial 111 finished with value: 0.4969339846593004 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.86732440393667, 'batch_size': 80, 'attention_heads': 9, 'hidden_dimension': 118, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3771222252085853, 'global_pooling': 'sum', 'learning_rate': 0.00013318697922077715, 'weight_decay': 2.2329288310847302e-05, 'beta_0': 0.8217422610297507, 'beta_1': 0.9814308259068575, 'epsilon': 1.2304536558702931e-06, 'balanced_loss': False, 'epochs': 140, 'early_stopping_patience': 14, 'plateau_patience': 13, 'plateau_divider': 2}. Best is trial 97 with value: 0.6307008548631928.
The selected strides are greater or equal to the total chunk size.
[I 2025-03-22 06:07:44,341] Trial 112 finished with value: -1.0 and parameters: {'left_stride': 256, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8734834114683528, 'batch_size': 84, 'attention_heads': 8, 'hidden_dimension': 112, 'number_of_hidden_layers': 2, 'dropout_rate': 0.41767116189918124, 'global_pooling': 'max', 'learning_rate': 0.00010733228045549322, 'weight_decay': 1.7589816859847888e-05, 'beta_0': 0.849376399308209, 'beta_1': 0.9820037195819269, 'epsilon': 3.218839273601145e-07, 'balanced_loss': False, 'epochs': 125, 'early_stopping_patience': 13, 'plateau_patience': 12, 'plateau_divider': 2}. Best is trial 97 with value: 0.6307008548631928.
[I 2025-03-22 06:20:37,104] Trial 113 finished with value: 0.6189290674206904 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8922678577298764, 'batch_size': 62, 'attention_heads': 9, 'hidden_dimension': 141, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4102520598459387, 'global_pooling': 'max', 'learning_rate': 0.00023348884962973819, 'weight_decay': 0.00010590683243795755, 'beta_0': 0.8326587757806432, 'beta_1': 0.9811275234626574, 'epsilon': 4.4811434056059057e-07, 'balanced_loss': False, 'epochs': 135, 'early_stopping_patience': 15, 'plateau_patience': 14, 'plateau_divider': 2}. Best is trial 97 with value: 0.6307008548631928.
