[I 2025-03-27 23:45:19,473] Using an existing study with name 'R8-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation-No_Ablation-1.0-0.25' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (639 > 512). Running this sequence through the model will result in indexing errors
[I 2025-03-27 23:54:50,243] Trial 53 finished with value: 0.9338759873450622 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8054046887506502, 'batch_size': 84, 'attention_heads': 6, 'hidden_dimension': 122, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4955871320392273, 'global_pooling': 'mean', 'learning_rate': 0.001542100756152561, 'weight_decay': 1.9943186517847257e-05, 'beta_0': 0.8687819896324543, 'beta_1': 0.9866507380166897, 'epsilon': 3.3178865230070793e-08, 'balanced_loss': False, 'epochs': 74, 'early_stopping_patience': 19, 'plateau_patience': 24, 'plateau_divider': 7}. Best is trial 33 with value: 0.9452885420275031.
[I 2025-03-28 00:03:38,725] Trial 54 finished with value: 0.9395015486501622 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.7905656259229785, 'batch_size': 66, 'attention_heads': 6, 'hidden_dimension': 113, 'number_of_hidden_layers': 2, 'dropout_rate': 0.47784441501703057, 'global_pooling': 'mean', 'learning_rate': 0.0009718218343349037, 'weight_decay': 2.9805871639548987e-05, 'beta_0': 0.8763483473625363, 'beta_1': 0.9858517325934124, 'epsilon': 2.543118924697136e-08, 'balanced_loss': False, 'epochs': 77, 'early_stopping_patience': 19, 'plateau_patience': 25, 'plateau_divider': 7}. Best is trial 33 with value: 0.9452885420275031.
[I 2025-03-28 00:12:30,848] Trial 55 finished with value: 0.9345929682337041 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8251408263971606, 'batch_size': 63, 'attention_heads': 5, 'hidden_dimension': 109, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4766763388258466, 'global_pooling': 'mean', 'learning_rate': 0.000530234138781894, 'weight_decay': 3.248593465249949e-05, 'beta_0': 0.8886633903386514, 'beta_1': 0.9856883165083119, 'epsilon': 2.167639081580715e-08, 'balanced_loss': False, 'epochs': 101, 'early_stopping_patience': 20, 'plateau_patience': 25, 'plateau_divider': 6}. Best is trial 33 with value: 0.9452885420275031.
[I 2025-03-28 00:20:44,277] Trial 56 finished with value: 0.9239021284502535 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9369364219546665, 'batch_size': 74, 'attention_heads': 7, 'hidden_dimension': 135, 'number_of_hidden_layers': 2, 'dropout_rate': 0.44841743535477224, 'global_pooling': 'mean', 'learning_rate': 0.0007587904559323666, 'weight_decay': 5.339992965180047e-05, 'beta_0': 0.8759894086646767, 'beta_1': 0.9874438646505952, 'epsilon': 1.3631414434520333e-08, 'balanced_loss': False, 'epochs': 60, 'early_stopping_patience': 18, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 33 with value: 0.9452885420275031.
[I 2025-03-28 00:33:59,449] Trial 57 finished with value: 0.8919827514613561 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.7857510998429813, 'batch_size': 56, 'attention_heads': 6, 'hidden_dimension': 150, 'number_of_hidden_layers': 3, 'dropout_rate': 0.42679016181723994, 'global_pooling': 'mean', 'learning_rate': 0.0031442917131800025, 'weight_decay': 7.085258753378385e-06, 'beta_0': 0.8776414835809474, 'beta_1': 0.9841978564485433, 'epsilon': 4.398011445107556e-08, 'balanced_loss': False, 'epochs': 80, 'early_stopping_patience': 21, 'plateau_patience': 23, 'plateau_divider': 7}. Best is trial 33 with value: 0.9452885420275031.
[I 2025-03-28 00:41:30,551] Trial 58 finished with value: 0.9135219757600855 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8338887690366249, 'batch_size': 46, 'attention_heads': 5, 'hidden_dimension': 95, 'number_of_hidden_layers': 1, 'dropout_rate': 0.45866026278854993, 'global_pooling': 'mean', 'learning_rate': 0.006596957233107165, 'weight_decay': 1.5500348396687602e-05, 'beta_0': 0.8963858820886312, 'beta_1': 0.9857570838616997, 'epsilon': 7.911589780093894e-08, 'balanced_loss': False, 'epochs': 94, 'early_stopping_patience': 17, 'plateau_patience': 25, 'plateau_divider': 6}. Best is trial 33 with value: 0.9452885420275031.
[I 2025-03-28 00:50:27,689] Trial 59 finished with value: 0.9289215719295194 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8788973812875348, 'batch_size': 65, 'attention_heads': 4, 'hidden_dimension': 73, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5348213725939428, 'global_pooling': 'mean', 'learning_rate': 0.000200429999824095, 'weight_decay': 2.944950376725979e-05, 'beta_0': 0.8719580419803702, 'beta_1': 0.986967547023082, 'epsilon': 6.033555293221788e-08, 'balanced_loss': True, 'epochs': 89, 'early_stopping_patience': 22, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 33 with value: 0.9452885420275031.
[I 2025-03-28 00:59:27,827] Trial 60 finished with value: 0.9249527044007808 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.7176031156560474, 'batch_size': 97, 'attention_heads': 8, 'hidden_dimension': 44, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5065817344639669, 'global_pooling': 'mean', 'learning_rate': 0.001112027011173109, 'weight_decay': 9.77063958433665e-05, 'beta_0': 0.8889851638124663, 'beta_1': 0.9883579291472692, 'epsilon': 6.455306301943536e-07, 'balanced_loss': False, 'epochs': 117, 'early_stopping_patience': 19, 'plateau_patience': 25, 'plateau_divider': 5}. Best is trial 33 with value: 0.9452885420275031.
[I 2025-03-28 01:10:59,195] Trial 61 finished with value: 0.9016261702931103 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.7684920579729762, 'batch_size': 119, 'attention_heads': 7, 'hidden_dimension': 61, 'number_of_hidden_layers': 3, 'dropout_rate': 0.36232482777555974, 'global_pooling': 'max', 'learning_rate': 0.00011398998098229164, 'weight_decay': 4.0130644361612e-05, 'beta_0': 0.860412595876319, 'beta_1': 0.9979511779729998, 'epsilon': 1.0231916146134703e-06, 'balanced_loss': False, 'epochs': 106, 'early_stopping_patience': 20, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 33 with value: 0.9452885420275031.
[I 2025-03-28 01:20:25,418] Trial 62 finished with value: 0.9244469184712134 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7454445991027548, 'batch_size': 256, 'attention_heads': 5, 'hidden_dimension': 100, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4811645824086948, 'global_pooling': 'mean', 'learning_rate': 0.00039483074887105017, 'weight_decay': 3.0691837666302132e-06, 'beta_0': 0.8036309957242883, 'beta_1': 0.9902274048837368, 'epsilon': 1.0472111493351361e-07, 'balanced_loss': False, 'epochs': 66, 'early_stopping_patience': 23, 'plateau_patience': 23, 'plateau_divider': 10}. Best is trial 33 with value: 0.9452885420275031.
[I 2025-03-28 01:30:27,673] Trial 63 finished with value: 0.9229192875551484 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.7945745687278691, 'batch_size': 78, 'attention_heads': 6, 'hidden_dimension': 119, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5235151060989232, 'global_pooling': 'mean', 'learning_rate': 0.001418715487034876, 'weight_decay': 2.3137326682115484e-05, 'beta_0': 0.885348859176314, 'beta_1': 0.9858713085490838, 'epsilon': 2.4067934650608203e-08, 'balanced_loss': False, 'epochs': 79, 'early_stopping_patience': 19, 'plateau_patience': 24, 'plateau_divider': 7}. Best is trial 33 with value: 0.9452885420275031.
