[I 2025-03-22 05:40:11,405] Using an existing study with name 'R8-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation-Single_Unitary_Weight-0.0-0.0' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (639 > 512). Running this sequence through the model will result in indexing errors
[I 2025-03-22 05:55:57,339] Trial 115 finished with value: 0.9465796160581018 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8850777647200144, 'batch_size': 99, 'attention_heads': 14, 'hidden_dimension': 252, 'number_of_hidden_layers': 2, 'dropout_rate': 0.41388127302606703, 'global_pooling': 'mean', 'learning_rate': 0.0004255007010130252, 'weight_decay': 3.168159200808855e-06, 'beta_0': 0.8436952332126237, 'beta_1': 0.9880275429331227, 'epsilon': 4.066302055707653e-06, 'balanced_loss': True, 'epochs': 75, 'early_stopping_patience': 25, 'plateau_patience': 14, 'plateau_divider': 7}. Best is trial 75 with value: 0.961745033460728.
[I 2025-03-22 06:07:41,509] Trial 116 finished with value: 0.953390284321087 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8540766138776711, 'batch_size': 79, 'attention_heads': 12, 'hidden_dimension': 133, 'number_of_hidden_layers': 2, 'dropout_rate': 0.43988557345549384, 'global_pooling': 'max', 'learning_rate': 0.00010083342576042129, 'weight_decay': 0.000384794765211985, 'beta_0': 0.8026243453098645, 'beta_1': 0.9958170290890163, 'epsilon': 6.100131997791519e-06, 'balanced_loss': False, 'epochs': 191, 'early_stopping_patience': 23, 'plateau_patience': 14, 'plateau_divider': 8}. Best is trial 75 with value: 0.961745033460728.
[I 2025-03-22 06:21:46,023] Trial 117 finished with value: 0.9532884744130696 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8611742188899135, 'batch_size': 85, 'attention_heads': 12, 'hidden_dimension': 130, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5371596308569564, 'global_pooling': 'max', 'learning_rate': 0.00012140553374995536, 'weight_decay': 7.438865889495367e-05, 'beta_0': 0.8001632438844112, 'beta_1': 0.9938779335293546, 'epsilon': 5.109291651089843e-06, 'balanced_loss': False, 'epochs': 199, 'early_stopping_patience': 23, 'plateau_patience': 15, 'plateau_divider': 6}. Best is trial 75 with value: 0.961745033460728.
[I 2025-03-22 06:53:14,228] Trial 118 finished with value: 0.9577931649620824 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8719657241306897, 'batch_size': 70, 'attention_heads': 10, 'hidden_dimension': 256, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5692886781068788, 'global_pooling': 'max', 'learning_rate': 6.712783994005753e-05, 'weight_decay': 2.619561335390835e-06, 'beta_0': 0.8051606706165734, 'beta_1': 0.9901470395166129, 'epsilon': 8.068497530384897e-06, 'balanced_loss': False, 'epochs': 181, 'early_stopping_patience': 24, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 75 with value: 0.961745033460728.
[I 2025-03-22 07:07:07,104] Trial 119 finished with value: 0.9471056034342684 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8718348517604682, 'batch_size': 68, 'attention_heads': 10, 'hidden_dimension': 74, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5653030231947053, 'global_pooling': 'max', 'learning_rate': 6.143267361951865e-05, 'weight_decay': 3.8468880663921924e-06, 'beta_0': 0.8050395566511956, 'beta_1': 0.9894144688054315, 'epsilon': 8.863623291131142e-07, 'balanced_loss': False, 'epochs': 172, 'early_stopping_patience': 24, 'plateau_patience': 13, 'plateau_divider': 9}. Best is trial 75 with value: 0.961745033460728.
[I 2025-03-22 07:25:45,936] Trial 120 finished with value: 0.9459542608181489 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9108180601481872, 'batch_size': 59, 'attention_heads': 10, 'hidden_dimension': 255, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5777722981340117, 'global_pooling': 'max', 'learning_rate': 5.339810896244665e-05, 'weight_decay': 2.665175912696054e-06, 'beta_0': 0.8569046955938783, 'beta_1': 0.9902683653396244, 'epsilon': 1.9673903571111666e-05, 'balanced_loss': False, 'epochs': 184, 'early_stopping_patience': 24, 'plateau_patience': 17, 'plateau_divider': 4}. Best is trial 75 with value: 0.961745033460728.
[I 2025-03-22 07:56:51,853] Trial 121 finished with value: 0.9381758198093373 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8789749646996443, 'batch_size': 53, 'attention_heads': 16, 'hidden_dimension': 247, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5571743509654566, 'global_pooling': 'max', 'learning_rate': 6.986174398697622e-05, 'weight_decay': 1.6472057879128053e-06, 'beta_0': 0.8093574189747997, 'beta_1': 0.98162134887835, 'epsilon': 7.915608536454378e-06, 'balanced_loss': True, 'epochs': 92, 'early_stopping_patience': 25, 'plateau_patience': 12, 'plateau_divider': 6}. Best is trial 75 with value: 0.961745033460728.
[I 2025-03-22 08:15:35,644] Trial 122 finished with value: 0.9496457472081535 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8930097655387348, 'batch_size': 168, 'attention_heads': 15, 'hidden_dimension': 250, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5684686493511983, 'global_pooling': 'max', 'learning_rate': 9.466188889172739e-05, 'weight_decay': 4.406767037668804e-06, 'beta_0': 0.807032761955616, 'beta_1': 0.9869744133542466, 'epsilon': 2.7494376052367026e-07, 'balanced_loss': False, 'epochs': 155, 'early_stopping_patience': 14, 'plateau_patience': 14, 'plateau_divider': 8}. Best is trial 75 with value: 0.961745033460728.
[I 2025-03-22 08:23:27,797] Trial 123 finished with value: 0.9164980907239498 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.8477140600756791, 'batch_size': 91, 'attention_heads': 13, 'hidden_dimension': 63, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5229660827334901, 'global_pooling': 'max', 'learning_rate': 0.00018799521055876722, 'weight_decay': 2.1090958112969384e-06, 'beta_0': 0.8204598361008586, 'beta_1': 0.9916448632975567, 'epsilon': 1.048152688961346e-05, 'balanced_loss': True, 'epochs': 97, 'early_stopping_patience': 14, 'plateau_patience': 16, 'plateau_divider': 7}. Best is trial 75 with value: 0.961745033460728.
[I 2025-03-22 08:39:43,669] Trial 124 finished with value: 0.953564335112945 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8377661543728421, 'batch_size': 124, 'attention_heads': 10, 'hidden_dimension': 245, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5426484780938264, 'global_pooling': 'max', 'learning_rate': 0.0003084207843565265, 'weight_decay': 1.4540800002305586e-06, 'beta_0': 0.8367941043146959, 'beta_1': 0.9896994923959779, 'epsilon': 2.540776861776955e-05, 'balanced_loss': False, 'epochs': 87, 'early_stopping_patience': 25, 'plateau_patience': 15, 'plateau_divider': 3}. Best is trial 75 with value: 0.961745033460728.
[I 2025-03-22 08:57:04,569] Trial 125 finished with value: 0.9462645240012153 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8632710155084984, 'batch_size': 104, 'attention_heads': 13, 'hidden_dimension': 113, 'number_of_hidden_layers': 3, 'dropout_rate': 0.55035628594252, 'global_pooling': 'max', 'learning_rate': 4.529240409114063e-05, 'weight_decay': 1.1405698754888649e-06, 'beta_0': 0.8137787702059508, 'beta_1': 0.9911714228257844, 'epsilon': 1.6164120229184857e-05, 'balanced_loss': False, 'epochs': 83, 'early_stopping_patience': 15, 'plateau_patience': 19, 'plateau_divider': 8}. Best is trial 75 with value: 0.961745033460728.
