[I 2025-03-25 02:22:16,990] Using an existing study with name 'R8-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation-Unitary_Weights-0.0-0.0' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (639 > 512). Running this sequence through the model will result in indexing errors
[I 2025-03-25 02:36:44,216] Trial 219 finished with value: 0.9633116934378618 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8421238409550516, 'batch_size': 100, 'attention_heads': 8, 'hidden_dimension': 106, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5890988035321318, 'global_pooling': 'max', 'learning_rate': 0.00017513546270084848, 'weight_decay': 9.827874869149401e-06, 'beta_0': 0.8635771841347253, 'beta_1': 0.9942441010495715, 'epsilon': 2.4895357764145373e-07, 'balanced_loss': False, 'epochs': 148, 'early_stopping_patience': 24, 'plateau_patience': 14, 'plateau_divider': 5}. Best is trial 166 with value: 0.969738957231349.
[I 2025-03-25 02:53:59,430] Trial 220 finished with value: 0.9591382168534218 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8524718833592152, 'batch_size': 100, 'attention_heads': 8, 'hidden_dimension': 108, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5843542722247759, 'global_pooling': 'max', 'learning_rate': 0.0001664208660337898, 'weight_decay': 9.445043474010084e-06, 'beta_0': 0.8657410484358635, 'beta_1': 0.9941461793284775, 'epsilon': 2.539473273601479e-07, 'balanced_loss': False, 'epochs': 172, 'early_stopping_patience': 24, 'plateau_patience': 14, 'plateau_divider': 5}. Best is trial 166 with value: 0.969738957231349.
[I 2025-03-25 03:08:54,101] Trial 221 finished with value: 0.9561670731527635 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8573803762736506, 'batch_size': 99, 'attention_heads': 8, 'hidden_dimension': 104, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5868778897122398, 'global_pooling': 'max', 'learning_rate': 0.0001611503409708081, 'weight_decay': 6.316893399990725e-06, 'beta_0': 0.8659855193501257, 'beta_1': 0.9942877204601118, 'epsilon': 2.537596041464851e-07, 'balanced_loss': False, 'epochs': 146, 'early_stopping_patience': 24, 'plateau_patience': 14, 'plateau_divider': 5}. Best is trial 166 with value: 0.969738957231349.
[I 2025-03-25 03:23:01,582] Trial 222 finished with value: 0.9531004752184355 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8470180682317505, 'batch_size': 90, 'attention_heads': 8, 'hidden_dimension': 97, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5833893426990616, 'global_pooling': 'max', 'learning_rate': 0.0002409098778489507, 'weight_decay': 9.164772970857198e-06, 'beta_0': 0.8678780606112262, 'beta_1': 0.9941420202127368, 'epsilon': 3.3716599567825e-07, 'balanced_loss': False, 'epochs': 178, 'early_stopping_patience': 24, 'plateau_patience': 14, 'plateau_divider': 5}. Best is trial 166 with value: 0.969738957231349.
[I 2025-03-25 03:37:10,706] Trial 223 finished with value: 0.9592243911499347 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.870326902328606, 'batch_size': 94, 'attention_heads': 8, 'hidden_dimension': 107, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5845929769164636, 'global_pooling': 'max', 'learning_rate': 0.00017566510549849593, 'weight_decay': 7.978922771104144e-06, 'beta_0': 0.8653454662575084, 'beta_1': 0.9924373874176128, 'epsilon': 2.843071383639247e-07, 'balanced_loss': False, 'epochs': 165, 'early_stopping_patience': 24, 'plateau_patience': 14, 'plateau_divider': 5}. Best is trial 166 with value: 0.969738957231349.
[I 2025-03-25 03:53:13,981] Trial 224 finished with value: 0.9509689339072122 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.864787721089001, 'batch_size': 94, 'attention_heads': 8, 'hidden_dimension': 102, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5883012886538086, 'global_pooling': 'max', 'learning_rate': 0.00013611440851258225, 'weight_decay': 7.94673754742047e-06, 'beta_0': 0.8644485014524835, 'beta_1': 0.9922701061953382, 'epsilon': 2.612169156904907e-07, 'balanced_loss': False, 'epochs': 154, 'early_stopping_patience': 24, 'plateau_patience': 14, 'plateau_divider': 5}. Best is trial 166 with value: 0.969738957231349.
[I 2025-03-25 04:06:34,175] Trial 225 finished with value: 0.9523298409540109 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.85252666420311, 'batch_size': 99, 'attention_heads': 7, 'hidden_dimension': 105, 'number_of_hidden_layers': 4, 'dropout_rate': 0.579637822852263, 'global_pooling': 'max', 'learning_rate': 0.0001701929777611783, 'weight_decay': 7.135569539626602e-06, 'beta_0': 0.8665758416073144, 'beta_1': 0.9924422220525561, 'epsilon': 3.794307508958793e-07, 'balanced_loss': False, 'epochs': 164, 'early_stopping_patience': 24, 'plateau_patience': 14, 'plateau_divider': 5}. Best is trial 166 with value: 0.969738957231349.
[I 2025-03-25 04:21:17,055] Trial 226 finished with value: 0.9545650753916982 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.839558321894783, 'batch_size': 93, 'attention_heads': 8, 'hidden_dimension': 108, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5760993476314035, 'global_pooling': 'max', 'learning_rate': 0.00012808439893745077, 'weight_decay': 1.0094433395637224e-05, 'beta_0': 0.865172369922534, 'beta_1': 0.9915365613381849, 'epsilon': 3.174071060169321e-07, 'balanced_loss': False, 'epochs': 174, 'early_stopping_patience': 24, 'plateau_patience': 14, 'plateau_divider': 5}. Best is trial 166 with value: 0.969738957231349.
[I 2025-03-25 04:39:53,693] Trial 227 finished with value: 0.962420096654817 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8414081776482416, 'batch_size': 113, 'attention_heads': 8, 'hidden_dimension': 110, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5833074326927635, 'global_pooling': 'max', 'learning_rate': 0.00019363665805870945, 'weight_decay': 8.410904215294728e-06, 'beta_0': 0.8630011000563232, 'beta_1': 0.9930621727731764, 'epsilon': 2.4118132020887596e-07, 'balanced_loss': False, 'epochs': 149, 'early_stopping_patience': 24, 'plateau_patience': 14, 'plateau_divider': 5}. Best is trial 166 with value: 0.969738957231349.
[I 2025-03-25 04:53:47,600] Trial 228 finished with value: 0.9544238080185456 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8682579586742973, 'batch_size': 108, 'attention_heads': 8, 'hidden_dimension': 111, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5934317676971321, 'global_pooling': 'max', 'learning_rate': 0.00017455774897885064, 'weight_decay': 8.459466743581979e-06, 'beta_0': 0.8699092007410905, 'beta_1': 0.9930070841159098, 'epsilon': 2.5552542504020017e-07, 'balanced_loss': False, 'epochs': 141, 'early_stopping_patience': 24, 'plateau_patience': 14, 'plateau_divider': 5}. Best is trial 166 with value: 0.969738957231349.
[I 2025-03-25 05:08:09,929] Trial 229 finished with value: 0.9480999387015017 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8549720955295872, 'batch_size': 99, 'attention_heads': 9, 'hidden_dimension': 105, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5835273207478089, 'global_pooling': 'max', 'learning_rate': 0.0002388870108181398, 'weight_decay': 9.566194475636188e-06, 'beta_0': 0.8638820783318425, 'beta_1': 0.9930904331846684, 'epsilon': 3.12210449116595e-07, 'balanced_loss': False, 'epochs': 151, 'early_stopping_patience': 24, 'plateau_patience': 14, 'plateau_divider': 5}. Best is trial 166 with value: 0.969738957231349.
[I 2025-03-25 05:21:44,353] Trial 230 finished with value: 0.9496826894885496 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8801283179436459, 'batch_size': 114, 'attention_heads': 8, 'hidden_dimension': 93, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5860493108347846, 'global_pooling': 'max', 'learning_rate': 0.0001590568234194308, 'weight_decay': 7.504174620508533e-06, 'beta_0': 0.8669404894275252, 'beta_1': 0.9925972182745165, 'epsilon': 1.6148146629983678e-07, 'balanced_loss': False, 'epochs': 146, 'early_stopping_patience': 24, 'plateau_patience': 14, 'plateau_divider': 5}. Best is trial 166 with value: 0.969738957231349.
