[I 2025-03-08 05:46:56,344] Using an existing study with name 'R8-GATv2-google-bert-bert-base-uncased-Surrogate-No_Aggregation-Random_Attentions-0.0-0.0' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (639 > 512). Running this sequence through the model will result in indexing errors
[I 2025-03-08 05:56:41,623] Trial 205 finished with value: 0.9551208053488776 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.8123894423605966, 'batch_size': 106, 'attention_heads': 4, 'hidden_dimension': 89, 'number_of_hidden_layers': 1, 'dropout_rate': 0.55817699683856, 'global_pooling': 'max', 'learning_rate': 0.0006404848848522196, 'weight_decay': 0.00039818822146132823, 'beta_0': 0.8102388153176246, 'beta_1': 0.989110490436202, 'epsilon': 7.388008239728212e-07, 'balanced_loss': False, 'epochs': 131, 'early_stopping_patience': 15, 'plateau_patience': 21, 'plateau_divider': 9}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 06:06:03,580] Trial 206 finished with value: 0.9519206569994926 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.8140427756210941, 'batch_size': 111, 'attention_heads': 4, 'hidden_dimension': 82, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5532586131808901, 'global_pooling': 'max', 'learning_rate': 0.0009551846685535257, 'weight_decay': 0.000549418894708271, 'beta_0': 0.8114587351069269, 'beta_1': 0.9892004779254389, 'epsilon': 1.4444653053243844e-07, 'balanced_loss': False, 'epochs': 131, 'early_stopping_patience': 14, 'plateau_patience': 21, 'plateau_divider': 9}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 06:16:15,832] Trial 207 finished with value: 0.9589947710553661 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.8262036555382787, 'batch_size': 101, 'attention_heads': 5, 'hidden_dimension': 90, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5712477113508192, 'global_pooling': 'max', 'learning_rate': 0.0004992705632896396, 'weight_decay': 0.0004295236962063281, 'beta_0': 0.8032546556178187, 'beta_1': 0.9816455303951375, 'epsilon': 6.993793924093438e-07, 'balanced_loss': False, 'epochs': 123, 'early_stopping_patience': 15, 'plateau_patience': 21, 'plateau_divider': 9}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 06:27:41,350] Trial 208 finished with value: 0.9525829648990598 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.8255706310804147, 'batch_size': 103, 'attention_heads': 5, 'hidden_dimension': 88, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5704382545430531, 'global_pooling': 'max', 'learning_rate': 0.0004470249554093822, 'weight_decay': 0.00042371837483265017, 'beta_0': 0.802513439326819, 'beta_1': 0.9896288859357182, 'epsilon': 1.2017962794183363e-06, 'balanced_loss': False, 'epochs': 122, 'early_stopping_patience': 15, 'plateau_patience': 21, 'plateau_divider': 9}. Best is trial 75 with value: 0.9678401438557276.
CUDA out of memory. Tried to allocate 1.46 GiB. GPU 0 has a total capacity of 44.56 GiB of which 1.27 GiB is free. Including non-PyTorch memory, this process has 43.29 GiB memory in use. Of the allocated memory 38.96 GiB is allocated by PyTorch, and 3.18 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-03-08 06:35:25,707] Trial 209 finished with value: -1.0 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.8025185675624699, 'batch_size': 114, 'attention_heads': 5, 'hidden_dimension': 78, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5652153901642591, 'global_pooling': 'max', 'learning_rate': 0.0006138868164773247, 'weight_decay': 0.00029847650103878196, 'beta_0': 0.8095736720252158, 'beta_1': 0.9818843985050542, 'epsilon': 6.674629576952959e-07, 'balanced_loss': False, 'epochs': 124, 'early_stopping_patience': 15, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 06:42:08,078] Trial 210 finished with value: 0.8962787744029124 and parameters: {'left_stride': 64, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9893520062901503, 'batch_size': 96, 'attention_heads': 5, 'hidden_dimension': 91, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5855438386945565, 'global_pooling': 'mean', 'learning_rate': 0.0007548952958144363, 'weight_decay': 0.00048486121124907233, 'beta_0': 0.8342832611695383, 'beta_1': 0.9888752549692265, 'epsilon': 5.469428939008513e-07, 'balanced_loss': False, 'epochs': 128, 'early_stopping_patience': 14, 'plateau_patience': 21, 'plateau_divider': 9}. Best is trial 75 with value: 0.9678401438557276.
CUDA out of memory. Tried to allocate 1.56 GiB. GPU 0 has a total capacity of 44.56 GiB of which 380.69 MiB is free. Including non-PyTorch memory, this process has 44.18 GiB memory in use. Of the allocated memory 41.67 GiB is allocated by PyTorch, and 1.36 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-03-08 06:49:36,967] Trial 211 finished with value: -1.0 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.7945662291510791, 'batch_size': 101, 'attention_heads': 5, 'hidden_dimension': 72, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5560085195821435, 'global_pooling': 'max', 'learning_rate': 0.00039078796577652117, 'weight_decay': 0.0002483434169474934, 'beta_0': 0.8030901143704249, 'beta_1': 0.9806637011593313, 'epsilon': 9.451644206976686e-07, 'balanced_loss': False, 'epochs': 132, 'early_stopping_patience': 15, 'plateau_patience': 21, 'plateau_divider': 9}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 06:58:59,644] Trial 212 finished with value: 0.9436212653077007 and parameters: {'left_stride': 64, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.810019605975562, 'batch_size': 110, 'attention_heads': 5, 'hidden_dimension': 83, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5725353229485899, 'global_pooling': 'max', 'learning_rate': 0.0011150478863706965, 'weight_decay': 7.219137780819982e-05, 'beta_0': 0.8674019249024746, 'beta_1': 0.9836791526968761, 'epsilon': 7.019896798784839e-07, 'balanced_loss': False, 'epochs': 125, 'early_stopping_patience': 14, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 07:10:26,118] Trial 213 finished with value: 0.9497098829848973 and parameters: {'left_stride': 64, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.8835220732616347, 'batch_size': 118, 'attention_heads': 6, 'hidden_dimension': 103, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5933742251156631, 'global_pooling': 'max', 'learning_rate': 0.0002155652957093963, 'weight_decay': 0.0003308340593646232, 'beta_0': 0.8053402426917614, 'beta_1': 0.9873804927330968, 'epsilon': 1.791099103714893e-06, 'balanced_loss': False, 'epochs': 116, 'early_stopping_patience': 15, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 75 with value: 0.9678401438557276.
