[I 2025-02-20 05:36:23,417] Using an existing study with name 'R8-GATv2-google-bert-bert-base-uncased-Surrogate-No_Aggregation-Unitary_Weights-0.0-0.0' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (639 > 512). Running this sequence through the model will result in indexing errors
[I 2025-02-20 05:48:12,205] Trial 136 finished with value: 0.9387419661137021 and parameters: {'left_stride': 256, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.864388817966036, 'batch_size': 49, 'attention_heads': 5, 'hidden_dimension': 42, 'number_of_hidden_layers': 4, 'dropout_rate': 0.38677044013889006, 'global_pooling': 'max', 'learning_rate': 0.0008719768473927641, 'weight_decay': 2.4380003254969343e-05, 'beta_0': 0.8672099932947285, 'beta_1': 0.9944091944342683, 'epsilon': 3.15288734158203e-05, 'balanced_loss': False, 'epochs': 179, 'early_stopping_patience': 24, 'plateau_patience': 12, 'plateau_divider': 6}. Best is trial 22 with value: 0.9581019307014222.
[I 2025-02-20 06:01:30,156] Trial 137 finished with value: 0.9461687944543158 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8706461952371323, 'batch_size': 92, 'attention_heads': 5, 'hidden_dimension': 57, 'number_of_hidden_layers': 4, 'dropout_rate': 0.395884756236859, 'global_pooling': 'max', 'learning_rate': 0.0001735450020249354, 'weight_decay': 3.740310214915444e-05, 'beta_0': 0.8618822238927528, 'beta_1': 0.9938024675891363, 'epsilon': 1.4433572873308707e-05, 'balanced_loss': False, 'epochs': 199, 'early_stopping_patience': 22, 'plateau_patience': 10, 'plateau_divider': 4}. Best is trial 22 with value: 0.9581019307014222.
[I 2025-02-20 06:13:01,724] Trial 138 finished with value: 0.9415296120909631 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8545875368063497, 'batch_size': 71, 'attention_heads': 4, 'hidden_dimension': 48, 'number_of_hidden_layers': 4, 'dropout_rate': 0.40379488583363166, 'global_pooling': 'max', 'learning_rate': 0.00028200236108749964, 'weight_decay': 0.0004371682854694213, 'beta_0': 0.811455839638447, 'beta_1': 0.9947491110012298, 'epsilon': 2.0901078477245107e-05, 'balanced_loss': False, 'epochs': 189, 'early_stopping_patience': 21, 'plateau_patience': 12, 'plateau_divider': 5}. Best is trial 22 with value: 0.9581019307014222.
CUDA out of memory. Tried to allocate 1.11 GiB. GPU 0 has a total capacity of 44.56 GiB of which 578.69 MiB is free. Including non-PyTorch memory, this process has 43.99 GiB memory in use. Of the allocated memory 41.83 GiB is allocated by PyTorch, and 1.01 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-02-20 06:27:03,775] Trial 139 finished with value: -1.0 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8419289602651143, 'batch_size': 119, 'attention_heads': 5, 'hidden_dimension': 62, 'number_of_hidden_layers': 4, 'dropout_rate': 0.41293672994767344, 'global_pooling': 'sum', 'learning_rate': 0.0006967216041771342, 'weight_decay': 1.1752003418812842e-05, 'beta_0': 0.8216780005335794, 'beta_1': 0.9929156536487466, 'epsilon': 8.042676772330189e-05, 'balanced_loss': True, 'epochs': 193, 'early_stopping_patience': 22, 'plateau_patience': 11, 'plateau_divider': 5}. Best is trial 22 with value: 0.9581019307014222.
[I 2025-02-20 06:39:58,254] Trial 140 finished with value: 0.9374775055771541 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8797396632644128, 'batch_size': 36, 'attention_heads': 4, 'hidden_dimension': 71, 'number_of_hidden_layers': 4, 'dropout_rate': 0.42076798157289985, 'global_pooling': 'max', 'learning_rate': 0.0003252955696153051, 'weight_decay': 1.6629009295882314e-05, 'beta_0': 0.8489449838269656, 'beta_1': 0.9985063019623485, 'epsilon': 3.891966967666285e-05, 'balanced_loss': False, 'epochs': 63, 'early_stopping_patience': 23, 'plateau_patience': 15, 'plateau_divider': 6}. Best is trial 22 with value: 0.9581019307014222.
[I 2025-02-20 06:58:00,550] Trial 141 finished with value: 0.930996532551388 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.8664006973640493, 'batch_size': 81, 'attention_heads': 13, 'hidden_dimension': 39, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5812277103194939, 'global_pooling': 'max', 'learning_rate': 0.0010645165902935948, 'weight_decay': 0.0003175179132623013, 'beta_0': 0.8880359482748652, 'beta_1': 0.9919032478470464, 'epsilon': 6.8800992837424824e-06, 'balanced_loss': False, 'epochs': 144, 'early_stopping_patience': 21, 'plateau_patience': 14, 'plateau_divider': 5}. Best is trial 22 with value: 0.9581019307014222.
[I 2025-02-20 07:12:55,326] Trial 142 finished with value: 0.9391043846970373 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8333684479056642, 'batch_size': 65, 'attention_heads': 5, 'hidden_dimension': 50, 'number_of_hidden_layers': 4, 'dropout_rate': 0.39937923576764806, 'global_pooling': 'mean', 'learning_rate': 0.00038682169472606604, 'weight_decay': 0.0005891310968560756, 'beta_0': 0.8560666668525861, 'beta_1': 0.9950029947224155, 'epsilon': 3.1548798364624075e-05, 'balanced_loss': False, 'epochs': 165, 'early_stopping_patience': 24, 'plateau_patience': 14, 'plateau_divider': 6}. Best is trial 22 with value: 0.9581019307014222.
[I 2025-02-20 07:29:34,413] Trial 143 finished with value: 0.9435107451750593 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.892206925313058, 'batch_size': 58, 'attention_heads': 6, 'hidden_dimension': 146, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3737715814882785, 'global_pooling': 'max', 'learning_rate': 0.00047534080455783093, 'weight_decay': 0.00047634139905707794, 'beta_0': 0.8432432633713501, 'beta_1': 0.9979501727924519, 'epsilon': 4.3050195726488595e-05, 'balanced_loss': False, 'epochs': 55, 'early_stopping_patience': 22, 'plateau_patience': 11, 'plateau_divider': 5}. Best is trial 22 with value: 0.9581019307014222.
CUDA out of memory. Tried to allocate 1.27 GiB. GPU 0 has a total capacity of 44.56 GiB of which 662.69 MiB is free. Including non-PyTorch memory, this process has 43.91 GiB memory in use. Of the allocated memory 41.89 GiB is allocated by PyTorch, and 888.93 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-02-20 07:35:32,308] Trial 144 finished with value: -1.0 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8611428044762183, 'batch_size': 146, 'attention_heads': 6, 'hidden_dimension': 78, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5531659190506487, 'global_pooling': 'max', 'learning_rate': 0.0005924916355969145, 'weight_decay': 0.00039182099746845947, 'beta_0': 0.8455365067450744, 'beta_1': 0.9956921823039602, 'epsilon': 5.537595472724678e-05, 'balanced_loss': False, 'epochs': 52, 'early_stopping_patience': 22, 'plateau_patience': 11, 'plateau_divider': 5}. Best is trial 22 with value: 0.9581019307014222.
[I 2025-02-20 07:48:42,961] Trial 145 finished with value: 0.9538842478195636 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8485628484302198, 'batch_size': 53, 'attention_heads': 6, 'hidden_dimension': 73, 'number_of_hidden_layers': 2, 'dropout_rate': 0.39217584781179815, 'global_pooling': 'max', 'learning_rate': 0.00023298413592906807, 'weight_decay': 0.0001470369380033909, 'beta_0': 0.8902808583638839, 'beta_1': 0.9874976134514227, 'epsilon': 9.910723024582642e-05, 'balanced_loss': False, 'epochs': 50, 'early_stopping_patience': 23, 'plateau_patience': 10, 'plateau_divider': 5}. Best is trial 22 with value: 0.9581019307014222.
[I 2025-02-20 08:04:38,359] Trial 146 finished with value: 0.2535674968025504 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8465580721302957, 'batch_size': 43, 'attention_heads': 5, 'hidden_dimension': 73, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4276758178586886, 'global_pooling': 'max', 'learning_rate': 0.09285939748894982, 'weight_decay': 0.00014056782845701317, 'beta_0': 0.8187316744563503, 'beta_1': 0.9989039958455821, 'epsilon': 9.04418981623726e-05, 'balanced_loss': False, 'epochs': 183, 'early_stopping_patience': 23, 'plateau_patience': 10, 'plateau_divider': 5}. Best is trial 22 with value: 0.9581019307014222.
[I 2025-02-20 08:16:47,237] Trial 147 finished with value: 0.9523345944272834 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8189121639674203, 'batch_size': 53, 'attention_heads': 5, 'hidden_dimension': 32, 'number_of_hidden_layers': 4, 'dropout_rate': 0.39024216188904653, 'global_pooling': 'max', 'learning_rate': 0.00022193540231072419, 'weight_decay': 0.0002013307863228013, 'beta_0': 0.8869184602668527, 'beta_1': 0.9942048765490754, 'epsilon': 9.877192903934413e-05, 'balanced_loss': False, 'epochs': 51, 'early_stopping_patience': 23, 'plateau_patience': 10, 'plateau_divider': 5}. Best is trial 22 with value: 0.9581019307014222.
[I 2025-02-20 08:27:37,618] Trial 148 finished with value: 0.9512441350369654 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8309604729167025, 'batch_size': 52, 'attention_heads': 5, 'hidden_dimension': 66, 'number_of_hidden_layers': 2, 'dropout_rate': 0.38904775740539943, 'global_pooling': 'max', 'learning_rate': 0.0002270474010359395, 'weight_decay': 0.0001680464210530784, 'beta_0': 0.8908246071924759, 'beta_1': 0.9869855690650946, 'epsilon': 7.113953098373407e-05, 'balanced_loss': False, 'epochs': 50, 'early_stopping_patience': 23, 'plateau_patience': 10, 'plateau_divider': 5}. Best is trial 22 with value: 0.9581019307014222.
[I 2025-02-20 08:37:05,420] Trial 149 finished with value: 0.9477114892646884 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8164508738637736, 'batch_size': 52, 'attention_heads': 5, 'hidden_dimension': 32, 'number_of_hidden_layers': 2, 'dropout_rate': 0.392545494075237, 'global_pooling': 'max', 'learning_rate': 0.00020252619669980626, 'weight_decay': 0.00012231503901750302, 'beta_0': 0.8912305075035121, 'beta_1': 0.9874233422593122, 'epsilon': 7.565136488524575e-05, 'balanced_loss': False, 'epochs': 50, 'early_stopping_patience': 23, 'plateau_patience': 10, 'plateau_divider': 5}. Best is trial 22 with value: 0.9581019307014222.
CUDA out of memory. Tried to allocate 1.50 GiB. GPU 0 has a total capacity of 44.56 GiB of which 1.44 GiB is free. Including non-PyTorch memory, this process has 43.11 GiB memory in use. Of the allocated memory 41.04 GiB is allocated by PyTorch, and 939.32 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-02-20 08:44:25,948] Trial 150 finished with value: -1.0 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8271395377979496, 'batch_size': 241, 'attention_heads': 4, 'hidden_dimension': 66, 'number_of_hidden_layers': 2, 'dropout_rate': 0.38649611678920864, 'global_pooling': 'max', 'learning_rate': 0.00024550174365032054, 'weight_decay': 0.00017448291566274672, 'beta_0': 0.8965559898610361, 'beta_1': 0.987509735538255, 'epsilon': 6.435417123006551e-05, 'balanced_loss': False, 'epochs': 58, 'early_stopping_patience': 24, 'plateau_patience': 10, 'plateau_divider': 4}. Best is trial 22 with value: 0.9581019307014222.
[I 2025-02-20 08:55:52,682] Trial 151 finished with value: 0.9437817514426409 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8020679238918237, 'batch_size': 67, 'attention_heads': 5, 'hidden_dimension': 43, 'number_of_hidden_layers': 2, 'dropout_rate': 0.40495915751648043, 'global_pooling': 'max', 'learning_rate': 0.00017675935534105342, 'weight_decay': 0.00015612467677642678, 'beta_0': 0.8907352566470185, 'beta_1': 0.9868521703599088, 'epsilon': 8.751158313447826e-05, 'balanced_loss': False, 'epochs': 53, 'early_stopping_patience': 25, 'plateau_patience': 10, 'plateau_divider': 5}. Best is trial 22 with value: 0.9581019307014222.
[I 2025-02-20 09:07:18,563] Trial 152 finished with value: 0.9378659630438682 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.822750140395552, 'batch_size': 74, 'attention_heads': 5, 'hidden_dimension': 57, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4104903923812114, 'global_pooling': 'max', 'learning_rate': 0.0002490503564456821, 'weight_decay': 0.00020696619596880452, 'beta_0': 0.8893436435659132, 'beta_1': 0.9855994698607043, 'epsilon': 9.566151527186598e-05, 'balanced_loss': False, 'epochs': 59, 'early_stopping_patience': 23, 'plateau_patience': 11, 'plateau_divider': 5}. Best is trial 22 with value: 0.9581019307014222.
[I 2025-02-20 09:17:52,746] Trial 153 finished with value: 0.9619266520969999 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8332649755683891, 'batch_size': 55, 'attention_heads': 4, 'hidden_dimension': 67, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5102664884571734, 'global_pooling': 'max', 'learning_rate': 0.00030580125475588834, 'weight_decay': 0.0001136879146812591, 'beta_0': 0.8867350786030946, 'beta_1': 0.9940141690175575, 'epsilon': 6.750209096504292e-05, 'balanced_loss': False, 'epochs': 50, 'early_stopping_patience': 23, 'plateau_patience': 10, 'plateau_divider': 5}. Best is trial 153 with value: 0.9619266520969999.
[I 2025-02-20 09:29:52,193] Trial 154 finished with value: 0.9494279328442504 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8296818641309237, 'batch_size': 165, 'attention_heads': 4, 'hidden_dimension': 65, 'number_of_hidden_layers': 2, 'dropout_rate': 0.518448980971616, 'global_pooling': 'max', 'learning_rate': 0.0001236300691701653, 'weight_decay': 0.000106348278388144, 'beta_0': 0.8862482274185018, 'beta_1': 0.9890715300160359, 'epsilon': 6.83747901178197e-05, 'balanced_loss': False, 'epochs': 55, 'early_stopping_patience': 24, 'plateau_patience': 10, 'plateau_divider': 5}. Best is trial 153 with value: 0.9619266520969999.
