[I 2025-03-21 00:56:21,201] Using an existing study with name 'SST-2-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation-Random_Weights-0.0-0.0' instead of creating a new one.
[I 2025-03-21 01:05:01,986] Trial 103 finished with value: 0.893348623853211 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6849204404719833, 'batch_size': 106, 'attention_heads': 10, 'hidden_dimension': 227, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5621877147322808, 'global_pooling': 'max', 'learning_rate': 0.00038454256899817977, 'weight_decay': 0.0005012631587081072, 'beta_0': 0.8968061524877028, 'beta_1': 0.9839437143098397, 'epsilon': 1.9098673886438716e-05, 'balanced_loss': False, 'epochs': 160, 'early_stopping_patience': 24, 'plateau_patience': 13, 'plateau_divider': 3}. Best is trial 48 with value: 0.908256880733945.
[I 2025-03-21 01:10:49,441] Trial 104 finished with value: 0.8990825688073395 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.5872279525830689, 'batch_size': 98, 'attention_heads': 7, 'hidden_dimension': 173, 'number_of_hidden_layers': 3, 'dropout_rate': 0.43270198024211826, 'global_pooling': 'max', 'learning_rate': 0.00184488794682668, 'weight_decay': 0.0002912749269671941, 'beta_0': 0.8873742672190343, 'beta_1': 0.9854373894884947, 'epsilon': 1.0452489923180794e-05, 'balanced_loss': False, 'epochs': 143, 'early_stopping_patience': 23, 'plateau_patience': 15, 'plateau_divider': 5}. Best is trial 48 with value: 0.908256880733945.
[I 2025-03-21 01:21:09,073] Trial 105 finished with value: 0.9071100917431193 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5678296285662437, 'batch_size': 43, 'attention_heads': 12, 'hidden_dimension': 192, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5562028739734364, 'global_pooling': 'max', 'learning_rate': 0.0007679967085831191, 'weight_decay': 0.00021790024493818617, 'beta_0': 0.8806251635921223, 'beta_1': 0.9864877981645636, 'epsilon': 9.344028792207708e-07, 'balanced_loss': False, 'epochs': 150, 'early_stopping_patience': 24, 'plateau_patience': 24, 'plateau_divider': 7}. Best is trial 48 with value: 0.908256880733945.
[I 2025-03-21 01:29:54,951] Trial 106 finished with value: 0.9048165137614679 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5666657884165941, 'batch_size': 32, 'attention_heads': 13, 'hidden_dimension': 184, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5687097465804973, 'global_pooling': 'max', 'learning_rate': 0.0007114547122366775, 'weight_decay': 0.0006416297698921195, 'beta_0': 0.8901319147294003, 'beta_1': 0.9865106125554047, 'epsilon': 6.10567373308698e-06, 'balanced_loss': False, 'epochs': 153, 'early_stopping_patience': 25, 'plateau_patience': 24, 'plateau_divider': 7}. Best is trial 48 with value: 0.908256880733945.
[I 2025-03-21 01:37:57,409] Trial 107 finished with value: 0.9002293577981652 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5228635543259912, 'batch_size': 52, 'attention_heads': 13, 'hidden_dimension': 192, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5561734778035959, 'global_pooling': 'max', 'learning_rate': 0.0006508683445656623, 'weight_decay': 0.0006419261077605243, 'beta_0': 0.8807400130826549, 'beta_1': 0.9870424799951354, 'epsilon': 9.29603902159587e-07, 'balanced_loss': False, 'epochs': 62, 'early_stopping_patience': 25, 'plateau_patience': 24, 'plateau_divider': 9}. Best is trial 48 with value: 0.908256880733945.
[I 2025-03-21 01:45:17,414] Trial 108 finished with value: 0.9059633027522935 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5630043229143098, 'batch_size': 42, 'attention_heads': 13, 'hidden_dimension': 183, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5776798928385499, 'global_pooling': 'max', 'learning_rate': 0.0007727076576249575, 'weight_decay': 0.00022287383527439965, 'beta_0': 0.8067308610676, 'beta_1': 0.9863885846455999, 'epsilon': 5.868725941229666e-06, 'balanced_loss': False, 'epochs': 153, 'early_stopping_patience': 25, 'plateau_patience': 25, 'plateau_divider': 7}. Best is trial 48 with value: 0.908256880733945.
[I 2025-03-21 01:53:53,379] Trial 109 finished with value: 0.908256880733945 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5509686738478218, 'batch_size': 41, 'attention_heads': 13, 'hidden_dimension': 183, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5792805329574032, 'global_pooling': 'max', 'learning_rate': 0.0004553727373930536, 'weight_decay': 0.00024597891648695707, 'beta_0': 0.8101761635869574, 'beta_1': 0.98657800392451, 'epsilon': 5.009982662928613e-06, 'balanced_loss': False, 'epochs': 106, 'early_stopping_patience': 25, 'plateau_patience': 24, 'plateau_divider': 7}. Best is trial 48 with value: 0.908256880733945.
[I 2025-03-21 02:01:58,379] Trial 110 finished with value: 0.9002293577981652 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5097202847361529, 'batch_size': 43, 'attention_heads': 13, 'hidden_dimension': 186, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5999765660568158, 'global_pooling': 'max', 'learning_rate': 0.0001988858817090432, 'weight_decay': 8.66428042468816e-05, 'beta_0': 0.8091906777237564, 'beta_1': 0.9877869769344363, 'epsilon': 2.935136556619157e-06, 'balanced_loss': False, 'epochs': 82, 'early_stopping_patience': 25, 'plateau_patience': 25, 'plateau_divider': 7}. Best is trial 48 with value: 0.908256880733945.
[I 2025-03-21 02:09:48,081] Trial 111 finished with value: 0.9059633027522935 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5523717103134645, 'batch_size': 39, 'attention_heads': 13, 'hidden_dimension': 163, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5760480830835762, 'global_pooling': 'max', 'learning_rate': 0.0004732916364020251, 'weight_decay': 0.0008788507054551277, 'beta_0': 0.8893441433846394, 'beta_1': 0.9865431383299688, 'epsilon': 5.755199692799272e-06, 'balanced_loss': False, 'epochs': 128, 'early_stopping_patience': 25, 'plateau_patience': 24, 'plateau_divider': 7}. Best is trial 48 with value: 0.908256880733945.
[I 2025-03-21 02:16:49,870] Trial 112 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5502155525826435, 'batch_size': 46, 'attention_heads': 13, 'hidden_dimension': 167, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5756549474858127, 'global_pooling': 'max', 'learning_rate': 0.00047859878493793025, 'weight_decay': 0.0008161382438001607, 'beta_0': 0.8770911988196729, 'beta_1': 0.9865571017856795, 'epsilon': 4.468596000193502e-06, 'balanced_loss': False, 'epochs': 99, 'early_stopping_patience': 25, 'plateau_patience': 24, 'plateau_divider': 7}. Best is trial 48 with value: 0.908256880733945.
[I 2025-03-21 02:24:31,171] Trial 113 finished with value: 0.8990825688073395 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5666857559706362, 'batch_size': 37, 'attention_heads': 14, 'hidden_dimension': 163, 'number_of_hidden_layers': 2, 'dropout_rate': 0.583454207795411, 'global_pooling': 'mean', 'learning_rate': 0.00032451806441847634, 'weight_decay': 0.0001442462188994315, 'beta_0': 0.8853965468236328, 'beta_1': 0.9874977738990016, 'epsilon': 5.776884260044068e-06, 'balanced_loss': True, 'epochs': 117, 'early_stopping_patience': 25, 'plateau_patience': 24, 'plateau_divider': 7}. Best is trial 48 with value: 0.908256880733945.
