[I 2025-03-06 18:45:32,835] Using an existing study with name 'SST-2-GATv2-google-bert-bert-base-uncased-Surrogate-No_Aggregation-Random_Attentions-0.0-0.0' instead of creating a new one.
[I 2025-03-06 18:54:14,484] Trial 71 finished with value: 0.8944954128440367 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.4744626709387133, 'batch_size': 103, 'attention_heads': 16, 'hidden_dimension': 205, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4358562046694647, 'global_pooling': 'max', 'learning_rate': 0.0001765175778200187, 'weight_decay': 0.0006084591488841319, 'beta_0': 0.8710296346215669, 'beta_1': 0.9897197388969209, 'epsilon': 1.4755497674806805e-07, 'balanced_loss': True, 'epochs': 188, 'early_stopping_patience': 16, 'plateau_patience': 21, 'plateau_divider': 6}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-06 19:02:00,146] Trial 72 finished with value: 0.8876146788990825 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.5324443656255007, 'batch_size': 51, 'attention_heads': 13, 'hidden_dimension': 187, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4540486575209113, 'global_pooling': 'max', 'learning_rate': 0.0030699822377669335, 'weight_decay': 0.00039872275594552494, 'beta_0': 0.8804787079121508, 'beta_1': 0.9864511946790214, 'epsilon': 9.288079599596096e-07, 'balanced_loss': True, 'epochs': 54, 'early_stopping_patience': 20, 'plateau_patience': 19, 'plateau_divider': 6}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-06 19:10:24,584] Trial 73 finished with value: 0.8944954128440367 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.43560610295439595, 'batch_size': 41, 'attention_heads': 14, 'hidden_dimension': 180, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4491866338850278, 'global_pooling': 'max', 'learning_rate': 0.0006283863179401645, 'weight_decay': 0.0006257400184072719, 'beta_0': 0.8522633702245443, 'beta_1': 0.9905692244305779, 'epsilon': 8.384807866476067e-05, 'balanced_loss': True, 'epochs': 67, 'early_stopping_patience': 19, 'plateau_patience': 18, 'plateau_divider': 10}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-06 19:19:41,449] Trial 74 finished with value: 0.8864678899082569 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.5766775407732824, 'batch_size': 32, 'attention_heads': 15, 'hidden_dimension': 218, 'number_of_hidden_layers': 3, 'dropout_rate': 0.420670174107327, 'global_pooling': 'max', 'learning_rate': 0.0012269658477317156, 'weight_decay': 0.0002430331640708746, 'beta_0': 0.8870775886674719, 'beta_1': 0.9882329721326505, 'epsilon': 7.978318398635282e-08, 'balanced_loss': True, 'epochs': 55, 'early_stopping_patience': 18, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-06 19:29:15,994] Trial 75 finished with value: 0.9002293577981652 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.48786014820303053, 'batch_size': 65, 'attention_heads': 13, 'hidden_dimension': 210, 'number_of_hidden_layers': 3, 'dropout_rate': 0.47938555285434403, 'global_pooling': 'max', 'learning_rate': 0.0004374029324858842, 'weight_decay': 0.0009690795729804697, 'beta_0': 0.8555458997075334, 'beta_1': 0.9912412579868343, 'epsilon': 6.098871196851627e-07, 'balanced_loss': True, 'epochs': 50, 'early_stopping_patience': 25, 'plateau_patience': 11, 'plateau_divider': 6}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-06 19:36:44,436] Trial 76 finished with value: 0.8944954128440367 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.5984105327502387, 'batch_size': 255, 'attention_heads': 14, 'hidden_dimension': 194, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5005661275940612, 'global_pooling': 'mean', 'learning_rate': 0.0009326472408723633, 'weight_decay': 3.2669525617444766e-05, 'beta_0': 0.8674206476920329, 'beta_1': 0.9888810519482873, 'epsilon': 3.211165081601641e-07, 'balanced_loss': True, 'epochs': 101, 'early_stopping_patience': 17, 'plateau_patience': 17, 'plateau_divider': 5}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-06 19:50:52,580] Trial 77 finished with value: 0.8830275229357798 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.507188036105854, 'batch_size': 54, 'attention_heads': 16, 'hidden_dimension': 234, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3902586786388525, 'global_pooling': 'max', 'learning_rate': 0.002298959818709438, 'weight_decay': 2.8521537776439453e-06, 'beta_0': 0.8763553792409031, 'beta_1': 0.9924651000431958, 'epsilon': 1.6888996663127866e-07, 'balanced_loss': False, 'epochs': 69, 'early_stopping_patience': 24, 'plateau_patience': 18, 'plateau_divider': 7}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-06 19:56:19,693] Trial 78 finished with value: 0.8428899082568807 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.635074477079344, 'batch_size': 46, 'attention_heads': 10, 'hidden_dimension': 175, 'number_of_hidden_layers': 2, 'dropout_rate': 0.31504882926663635, 'global_pooling': 'sum', 'learning_rate': 0.04125027343477557, 'weight_decay': 9.029352767801908e-05, 'beta_0': 0.8897945325170727, 'beta_1': 0.9897247510189172, 'epsilon': 1.5746510908034133e-06, 'balanced_loss': True, 'epochs': 197, 'early_stopping_patience': 22, 'plateau_patience': 19, 'plateau_divider': 7}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-06 20:01:46,875] Trial 79 finished with value: 0.8899082568807339 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5442538899934583, 'batch_size': 78, 'attention_heads': 7, 'hidden_dimension': 163, 'number_of_hidden_layers': 3, 'dropout_rate': 0.464615856602944, 'global_pooling': 'max', 'learning_rate': 0.005490404083659094, 'weight_decay': 1.1539882806727014e-06, 'beta_0': 0.839320580553215, 'beta_1': 0.9879253601888257, 'epsilon': 2.3510697271807503e-05, 'balanced_loss': False, 'epochs': 76, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 6}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-06 20:11:22,057] Trial 80 finished with value: 0.893348623853211 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6131281372259049, 'batch_size': 61, 'attention_heads': 15, 'hidden_dimension': 248, 'number_of_hidden_layers': 4, 'dropout_rate': 0.44145350143095824, 'global_pooling': 'max', 'learning_rate': 0.00027192063445748664, 'weight_decay': 1.60440017195964e-06, 'beta_0': 0.8484885380061252, 'beta_1': 0.9916313547979159, 'epsilon': 2.5109147590564817e-07, 'balanced_loss': True, 'epochs': 120, 'early_stopping_patience': 14, 'plateau_patience': 12, 'plateau_divider': 5}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-06 20:16:21,976] Trial 81 finished with value: 0.8394495412844036 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.46143037415785443, 'batch_size': 40, 'attention_heads': 11, 'hidden_dimension': 139, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5858130843411864, 'global_pooling': 'max', 'learning_rate': 0.0038707405726149807, 'weight_decay': 0.00017142472471423344, 'beta_0': 0.8829306754413282, 'beta_1': 0.9908038828079253, 'epsilon': 5.640315271201629e-06, 'balanced_loss': True, 'epochs': 177, 'early_stopping_patience': 11, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 45 with value: 0.911697247706422.
