[I 2025-02-19 06:31:36,104] Using an existing study with name 'SST-2-GATv2-google-bert-bert-base-uncased-Surrogate-No_Aggregation-Single_Unitary_Weight-0.0-0.0' instead of creating a new one.
[I 2025-02-19 06:38:08,877] Trial 152 finished with value: 0.9002293577981652 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.40078707383840806, 'batch_size': 81, 'attention_heads': 9, 'hidden_dimension': 131, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5010586476361087, 'global_pooling': 'mean', 'learning_rate': 0.0023039299524780284, 'weight_decay': 2.201133589023736e-05, 'beta_0': 0.8559734559936043, 'beta_1': 0.9856624722636111, 'epsilon': 2.576303039897108e-07, 'balanced_loss': True, 'epochs': 105, 'early_stopping_patience': 22, 'plateau_patience': 15, 'plateau_divider': 3}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 06:43:40,361] Trial 153 finished with value: 0.8841743119266054 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8746831689224593, 'batch_size': 49, 'attention_heads': 13, 'hidden_dimension': 161, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5199889095034529, 'global_pooling': 'mean', 'learning_rate': 0.00046294684969468885, 'weight_decay': 7.859663522826617e-06, 'beta_0': 0.8802262430495299, 'beta_1': 0.9867922255426688, 'epsilon': 3.590667468239861e-07, 'balanced_loss': True, 'epochs': 141, 'early_stopping_patience': 25, 'plateau_patience': 10, 'plateau_divider': 5}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 06:53:04,361] Trial 154 finished with value: 0.9025229357798165 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.41989215811781183, 'batch_size': 78, 'attention_heads': 13, 'hidden_dimension': 150, 'number_of_hidden_layers': 4, 'dropout_rate': 0.48194878148289716, 'global_pooling': 'mean', 'learning_rate': 0.0015022423108689274, 'weight_decay': 6.559942053837216e-06, 'beta_0': 0.8485095736425459, 'beta_1': 0.9872851109590289, 'epsilon': 2.8294973231916187e-05, 'balanced_loss': True, 'epochs': 120, 'early_stopping_patience': 23, 'plateau_patience': 15, 'plateau_divider': 2}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 07:02:22,480] Trial 155 finished with value: 0.9002293577981652 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.41828328484311533, 'batch_size': 77, 'attention_heads': 14, 'hidden_dimension': 146, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4884922652992219, 'global_pooling': 'mean', 'learning_rate': 0.0013295483662733507, 'weight_decay': 6.697333486710883e-06, 'beta_0': 0.8482005036351395, 'beta_1': 0.9860273704996493, 'epsilon': 4.504514188316993e-05, 'balanced_loss': True, 'epochs': 118, 'early_stopping_patience': 23, 'plateau_patience': 16, 'plateau_divider': 2}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 07:07:34,717] Trial 156 finished with value: 0.893348623853211 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.45708979260751476, 'batch_size': 65, 'attention_heads': 12, 'hidden_dimension': 155, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5102591703326708, 'global_pooling': 'mean', 'learning_rate': 0.0018138973865904947, 'weight_decay': 9.571984101303274e-06, 'beta_0': 0.8542336334299991, 'beta_1': 0.9862390788641247, 'epsilon': 8.017170305524062e-07, 'balanced_loss': True, 'epochs': 113, 'early_stopping_patience': 13, 'plateau_patience': 16, 'plateau_divider': 2}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 07:14:08,084] Trial 157 finished with value: 0.9025229357798165 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.44307775739624367, 'batch_size': 89, 'attention_heads': 7, 'hidden_dimension': 176, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4954501435643374, 'global_pooling': 'mean', 'learning_rate': 0.0011171329684161644, 'weight_decay': 1.1616330943399057e-05, 'beta_0': 0.8517963572461652, 'beta_1': 0.9864667904570993, 'epsilon': 3.829162892412055e-05, 'balanced_loss': True, 'epochs': 136, 'early_stopping_patience': 23, 'plateau_patience': 14, 'plateau_divider': 2}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 07:23:36,743] Trial 158 finished with value: 0.9036697247706422 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.4214292941390526, 'batch_size': 59, 'attention_heads': 14, 'hidden_dimension': 166, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3815065418663995, 'global_pooling': 'mean', 'learning_rate': 0.0014080185690690697, 'weight_decay': 4.17504695885511e-05, 'beta_0': 0.8422182898200306, 'beta_1': 0.9852099350046644, 'epsilon': 2.329030005676855e-05, 'balanced_loss': True, 'epochs': 124, 'early_stopping_patience': 22, 'plateau_patience': 11, 'plateau_divider': 3}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 07:28:54,819] Trial 159 finished with value: 0.8967889908256881 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6187556929146864, 'batch_size': 72, 'attention_heads': 13, 'hidden_dimension': 118, 'number_of_hidden_layers': 2, 'dropout_rate': 0.48220309069016676, 'global_pooling': 'mean', 'learning_rate': 0.002543695449590289, 'weight_decay': 3.6171145591373676e-06, 'beta_0': 0.8952482205285344, 'beta_1': 0.9846886413506534, 'epsilon': 7.735296961565823e-06, 'balanced_loss': True, 'epochs': 118, 'early_stopping_patience': 24, 'plateau_patience': 24, 'plateau_divider': 2}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 07:35:42,966] Trial 160 finished with value: 0.8990825688073395 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.606931816966322, 'batch_size': 42, 'attention_heads': 13, 'hidden_dimension': 181, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5266152458517427, 'global_pooling': 'mean', 'learning_rate': 0.0020683441701816285, 'weight_decay': 2.4852610442369046e-05, 'beta_0': 0.8463176375934207, 'beta_1': 0.9907874426287855, 'epsilon': 1.3572614745256983e-05, 'balanced_loss': True, 'epochs': 131, 'early_stopping_patience': 23, 'plateau_patience': 16, 'plateau_divider': 6}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 07:43:08,477] Trial 161 finished with value: 0.8910550458715596 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.5940068847944687, 'batch_size': 56, 'attention_heads': 10, 'hidden_dimension': 188, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5043216068971605, 'global_pooling': 'mean', 'learning_rate': 0.000866773544181106, 'weight_decay': 5.356091394114978e-05, 'beta_0': 0.8848824961205874, 'beta_1': 0.988631234884987, 'epsilon': 3.371897284203109e-05, 'balanced_loss': False, 'epochs': 123, 'early_stopping_patience': 21, 'plateau_patience': 11, 'plateau_divider': 7}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 07:53:08,136] Trial 162 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6369569732314521, 'batch_size': 47, 'attention_heads': 15, 'hidden_dimension': 159, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4673651368797142, 'global_pooling': 'max', 'learning_rate': 0.0015575303589175265, 'weight_decay': 1.4603599997937404e-05, 'beta_0': 0.8493258579951724, 'beta_1': 0.9833210886523901, 'epsilon': 5.125836647493077e-05, 'balanced_loss': True, 'epochs': 99, 'early_stopping_patience': 20, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 39 with value: 0.9105504587155964.
