[I 2025-02-19 04:52:43,566] Using an existing study with name 'SST-2-GATv2-google-bert-bert-base-uncased-Surrogate-No_Aggregation-Unitary_Weights-0.0-0.0' instead of creating a new one.
[I 2025-02-19 04:59:45,224] Trial 146 finished with value: 0.8864678899082569 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5078282717510482, 'batch_size': 137, 'attention_heads': 12, 'hidden_dimension': 212, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5087236597865502, 'global_pooling': 'max', 'learning_rate': 0.0055936368496989205, 'weight_decay': 2.492006154690286e-05, 'beta_0': 0.8081731365544853, 'beta_1': 0.9865844079550945, 'epsilon': 1.1772155161377315e-06, 'balanced_loss': False, 'epochs': 146, 'early_stopping_patience': 25, 'plateau_patience': 13, 'plateau_divider': 6}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 05:04:11,973] Trial 147 finished with value: 0.8979357798165137 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5840659492358129, 'batch_size': 197, 'attention_heads': 13, 'hidden_dimension': 238, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4790514877151926, 'global_pooling': 'max', 'learning_rate': 0.0030634191704040255, 'weight_decay': 2.844948257996379e-05, 'beta_0': 0.8999324180165358, 'beta_1': 0.9857856822352449, 'epsilon': 1.4724090551488205e-06, 'balanced_loss': False, 'epochs': 152, 'early_stopping_patience': 24, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 05:12:44,638] Trial 148 finished with value: 0.9002293577981652 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5620070947235715, 'batch_size': 203, 'attention_heads': 14, 'hidden_dimension': 218, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4691450064516289, 'global_pooling': 'max', 'learning_rate': 0.0026754214861915908, 'weight_decay': 2.2027989745997563e-05, 'beta_0': 0.8564732311650374, 'beta_1': 0.9875391305000489, 'epsilon': 2.5292039785647966e-06, 'balanced_loss': False, 'epochs': 143, 'early_stopping_patience': 25, 'plateau_patience': 15, 'plateau_divider': 9}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 05:20:06,486] Trial 149 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6227772733027798, 'batch_size': 218, 'attention_heads': 14, 'hidden_dimension': 204, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4491319532155791, 'global_pooling': 'mean', 'learning_rate': 0.004633190980982088, 'weight_decay': 1.0598497961120097e-05, 'beta_0': 0.8260498358345382, 'beta_1': 0.9839685230582143, 'epsilon': 2.0253203475330985e-06, 'balanced_loss': False, 'epochs': 127, 'early_stopping_patience': 25, 'plateau_patience': 17, 'plateau_divider': 9}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 05:24:00,608] Trial 150 finished with value: 0.9025229357798165 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5414991475471225, 'batch_size': 224, 'attention_heads': 11, 'hidden_dimension': 32, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4591887915122333, 'global_pooling': 'max', 'learning_rate': 0.0035022714948746386, 'weight_decay': 3.475617704491849e-05, 'beta_0': 0.8285255460224232, 'beta_1': 0.9816684611093794, 'epsilon': 5.382466464915842e-05, 'balanced_loss': False, 'epochs': 149, 'early_stopping_patience': 23, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 05:28:55,679] Trial 151 finished with value: 0.8967889908256881 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6643568363036856, 'batch_size': 233, 'attention_heads': 10, 'hidden_dimension': 145, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4737984113477737, 'global_pooling': 'max', 'learning_rate': 0.0017202588140284975, 'weight_decay': 4.0831246649911354e-05, 'beta_0': 0.8016372935410753, 'beta_1': 0.9848975236177373, 'epsilon': 2.136319730790214e-07, 'balanced_loss': True, 'epochs': 156, 'early_stopping_patience': 24, 'plateau_patience': 16, 'plateau_divider': 9}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 05:33:02,896] Trial 152 finished with value: 0.8967889908256881 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.4914105236791132, 'batch_size': 195, 'attention_heads': 13, 'hidden_dimension': 52, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3990522750134073, 'global_pooling': 'max', 'learning_rate': 0.0023078821691670435, 'weight_decay': 1.8739731016483994e-05, 'beta_0': 0.8638158083400652, 'beta_1': 0.9889487566655218, 'epsilon': 3.009081883144901e-07, 'balanced_loss': False, 'epochs': 162, 'early_stopping_patience': 22, 'plateau_patience': 12, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 05:40:05,141] Trial 153 finished with value: 0.8967889908256881 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.60740423303458, 'batch_size': 187, 'attention_heads': 15, 'hidden_dimension': 187, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3876984407406232, 'global_pooling': 'max', 'learning_rate': 0.0010766880985666894, 'weight_decay': 2.8491647401906043e-05, 'beta_0': 0.821149833350898, 'beta_1': 0.9869447790239287, 'epsilon': 7.243213156081689e-07, 'balanced_loss': False, 'epochs': 139, 'early_stopping_patience': 25, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 05:48:06,836] Trial 154 finished with value: 0.9105504587155964 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6337981725909317, 'batch_size': 251, 'attention_heads': 13, 'hidden_dimension': 221, 'number_of_hidden_layers': 2, 'dropout_rate': 0.48065052099658684, 'global_pooling': 'max', 'learning_rate': 0.004021854481490616, 'weight_decay': 1.5645770258660734e-05, 'beta_0': 0.847602234211573, 'beta_1': 0.9854934420985098, 'epsilon': 1.131510774404159e-06, 'balanced_loss': False, 'epochs': 133, 'early_stopping_patience': 25, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 05:56:06,774] Trial 155 finished with value: 0.8990825688073395 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6491712721597805, 'batch_size': 250, 'attention_heads': 13, 'hidden_dimension': 222, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4872752366817315, 'global_pooling': 'max', 'learning_rate': 0.004267985321984895, 'weight_decay': 1.6139293168495315e-05, 'beta_0': 0.8445287956331935, 'beta_1': 0.9842924369774326, 'epsilon': 1.203497939262384e-06, 'balanced_loss': False, 'epochs': 131, 'early_stopping_patience': 25, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
[I 2025-02-19 06:03:06,512] Trial 156 finished with value: 0.8979357798165137 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6324333641724629, 'batch_size': 252, 'attention_heads': 13, 'hidden_dimension': 229, 'number_of_hidden_layers': 2, 'dropout_rate': 0.47852720540123495, 'global_pooling': 'max', 'learning_rate': 0.0007606136022036386, 'weight_decay': 1.373593195074151e-05, 'beta_0': 0.8400885419919396, 'beta_1': 0.9855594651857361, 'epsilon': 1.532930124991294e-06, 'balanced_loss': False, 'epochs': 134, 'early_stopping_patience': 24, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 106 with value: 0.911697247706422.
