from_id,from,to_id,to,weight
1996,the,1996,the,0.07301184
1996,the,2058,over,0.0558792
1996,the,2829,brown,0.030066619
1996,the,3899,dog,0.069684006
1996,the,4248,quick,0.050002027
1996,the,4419,fox,0.045972634
1996,the,13971,lazy,0.051696658
1996,the,14523,jumps,0.06360614
2058,over,1996,the,0.05374736
2058,over,2058,over,0.07625838
2058,over,2829,brown,0.017163413
2058,over,3899,dog,0.055749085
2058,over,4248,quick,0.019276883
2058,over,4419,fox,0.03501939
2058,over,13971,lazy,0.03577472
2058,over,14523,jumps,0.13568063
2829,brown,1996,the,0.0447434
2829,brown,2058,over,0.019119041
2829,brown,2829,brown,0.048344843
2829,brown,3899,dog,0.046552427
2829,brown,4248,quick,0.07576206
2829,brown,4419,fox,0.094469056
2829,brown,13971,lazy,0.024781942
2829,brown,14523,jumps,0.033176698
3899,dog,1996,the,0.044197462
3899,dog,2058,over,0.041647453
3899,dog,2829,brown,0.018426085
3899,dog,3899,dog,0.059711006
3899,dog,4248,quick,0.017597914
3899,dog,4419,fox,0.03821156
3899,dog,13971,lazy,0.056228433
3899,dog,14523,jumps,0.04822926
4248,quick,1996,the,0.050862666
4248,quick,2058,over,0.023107974
4248,quick,2829,brown,0.06998463
4248,quick,3899,dog,0.031455234
4248,quick,4248,quick,0.05021188
4248,quick,4419,fox,0.049948685
4248,quick,13971,lazy,0.023728862
4248,quick,14523,jumps,0.03704981
4419,fox,1996,the,0.04181425
4419,fox,2058,over,0.022752622
4419,fox,2829,brown,0.06086574
4419,fox,3899,dog,0.053057864
4419,fox,4248,quick,0.03764232
4419,fox,4419,fox,0.048211373
4419,fox,13971,lazy,0.020055229
4419,fox,14523,jumps,0.06874299
13971,lazy,1996,the,0.042078495
13971,lazy,2058,over,0.030133838
13971,lazy,2829,brown,0.017864332
13971,lazy,3899,dog,0.09390219
13971,lazy,4248,quick,0.02012724
13971,lazy,4419,fox,0.024314037
13971,lazy,13971,lazy,0.048310507
13971,lazy,14523,jumps,0.029137611
14523,jumps,1996,the,0.050124917
14523,jumps,2058,over,0.09310673
14523,jumps,2829,brown,0.022346254
14523,jumps,3899,dog,0.050814945
14523,jumps,4248,quick,0.028420057
14523,jumps,4419,fox,0.06372486
14523,jumps,13971,lazy,0.027810637
14523,jumps,14523,jumps,0.07459325
