from_id,from,to_id,to,weight
1,the,1,the,0.080311775
1,the,2,quick,0.071800776
1,the,4,fox,0.056610227
1,the,5,jumps,0.06029227
1,the,7,the,0.06274907
2,quick,1,the,0.07596501
2,quick,3,brown,0.06998463
3,brown,1,the,0.060074825
3,brown,2,quick,0.07576206
3,brown,4,fox,0.094469056
4,fox,1,the,0.05254195
4,fox,3,brown,0.06086574
4,fox,5,jumps,0.06874299
4,fox,9,dog,0.053057864
5,jumps,1,the,0.052246187
5,jumps,4,fox,0.06372486
5,jumps,5,jumps,0.07459325
5,jumps,6,over,0.09310673
6,over,5,jumps,0.13568063
6,over,6,over,0.07625838
6,over,7,the,0.072277784
6,over,9,dog,0.055749085
7,the,1,the,0.07764721
7,the,5,jumps,0.06692002
7,the,6,over,0.08133153
7,the,7,the,0.07133928
7,the,8,lazy,0.08155582
7,the,9,dog,0.091568895
8,lazy,7,the,0.058512527
8,lazy,9,dog,0.09390219
9,dog,7,the,0.051747132
9,dog,8,lazy,0.056228433
9,dog,9,dog,0.059711006
