from,to,weight
101,101,0.12850496
101,6064,0.0030040878
101,5537,0.0012979927
101,4106,0.0025294307
101,1997,0.0016317156
101,2093,0.000994778
101,24054,0.0017233714
101,1011,0.0010378888
101,3893,0.0013420092
101,19610,0.0010023342
101,7361,0.0010169114
101,19466,0.0013480952
101,2401,0.0019917183
101,1038,0.0014973875
101,5022,0.0014067773
101,2302,0.0010366456
101,7977,0.0028962092
101,4962,0.0008790067
101,3972,0.0008897249
101,20624,0.0010165205
101,2239,0.001106491
101,1024,0.0045243897
101,8720,0.0016344617
101,1997,0.0010566382
101,2176,0.0006543305
101,3117,0.00080576894
101,14494,0.0008897188
101,1999,0.0009059987
101,5387,0.0009650093
101,11814,0.0015487897
101,4962,0.0007847391
101,1012,0.004141344
101,2093,0.001004499
101,19610,0.0007076383
101,7361,0.00075393013
101,19466,0.0009898281
101,2401,0.0013740042
101,1038,0.0011577684
101,5022,0.0010466799
101,2007,0.0010302907
101,3424,0.000822534
101,1011,0.0008513616
101,5387,0.0007495683
101,11814,0.0014472692
101,22931,0.0023312499
101,2040,0.0009371473
101,2018,0.0006963702
101,2053,0.0005191808
101,11487,0.0009809483
101,3085,0.0008045
101,7977,0.001818298
101,3972,0.0006692295
101,20624,0.00079704437
101,2239,0.000790067
101,1997,0.00075227604
101,1996,0.0013357707
101,5387,0.0008940931
101,11814,0.001728486
101,4962,0.000712427
101,2011,0.0011844569
101,2670,0.0010967128
101,1038,0.00061210926
101,10994,0.0009580208
101,3436,0.00086008507
101,4106,0.0012752993
101,2020,0.0023685752
101,10847,0.002776549
101,2012,0.0010318744
101,1996,0.004467574
101,8382,0.0010617812
101,2504,0.0010140665
101,1012,0.011097522
101,2035,0.0016625541
101,2809,0.0011342353
101,4654,0.0015385903
101,5644,0.0021635902
101,1010,0.0014113896
101,5642,0.0007481415
101,2011,0.000777237
101,2037,0.00087525777
101,11867,0.0005946773
101,10415,0.0008658198
101,2075,0.00064935465
101,5098,0.0010222977
101,4573,0.00072356634
101,1998,0.0012453634
101,3653,0.0008440281
101,17421,0.00069640455
101,24971,0.0008964835
101,15543,0.0012912346
101,4655,0.00069555256
101,1997,0.00081863144
101,1996,0.0014055732
101,5387,0.001114622
101,11814,0.0015260585
101,4962,0.00084051554
101,1999,0.0015130206
101,2122,0.0020089403
101,5022,0.0017932153
101,1006,0.0011307044
101,2561,0.0012007526
101,1019,0.0006466436
101,1012,0.0014781501
101,1019,0.0007052115
101,21677,0.0018300683
101,1999,0.0011219649
101,3091,0.0013996284
101,1007,0.009078271
101,2020,0.0028192487
101,26986,0.0023035922
101,2007,0.0022267967
101,1996,0.0019195587
101,2224,0.0016472484
101,1997,0.0010796201
101,1996,0.0025659588
101,17782,0.0015759566
101,11022,0.0012597081
101,4677,0.001231669
101,4668,0.0013508073
101,1010,0.0018684289
101,2628,0.001892977
101,2011,0.0014187131
101,3143,0.0012642404
101,16371,0.0007956508
101,14321,0.0008131246
101,26601,0.0016928049
101,5537,0.0011364209
101,4106,0.0018691263
101,1012,0.00477081
101,2093,0.0028678072
101,2367,0.0017787652
101,4127,0.0016946425
101,1997,0.001771513
101,3117,0.0018165172
101,2309,0.0009512979
101,2918,0.0010411864
101,20885,0.0019222792
101,2015,0.0018094435
101,1998,0.0016986874
101,1037,0.0016170136
101,1016,0.0006979311
101,2918,0.0008847313
101,1011,0.0011034809
101,3940,0.0010161613
101,16371,0.0007593712
101,14321,0.00090852234
101,26601,0.0017400371
101,3972,0.0012669746
101,20624,0.0013136885
101,2239,0.002177784
101,2020,0.002886977
101,4453,0.0028094058
101,1012,0.012462706
101,5776,0.00672887
101,1044,0.0017804652
101,2497,0.0019640322
101,1011,0.002050947
101,1019,0.0022702843
101,2018,0.0040745786
101,2048,0.0023552643
101,2391,0.0009819557
101,14494,0.0016716309
101,1999,0.0014023256
101,2010,0.0044008247
101,5387,0.0014768566
101,11814,0.0018902879
101,4962,0.0015739009
101,1012,0.0030438416
101,2028,0.0017378469
101,2001,0.001462419
101,2284,0.0009778634
101,2012,0.0009859715
101,1996,0.0018411463
101,15543,0.0014088445
101,2555,0.00075880863
101,2012,0.001264007
101,16371,0.0006607716
101,14321,0.0006841918
101,26601,0.0016594031
101,1011,0.002051436
101,6535,0.00092608004
101,2509,0.0006881823
101,1998,0.001964575
101,1996,0.0015614367
101,2060,0.0008628902
101,1006,0.00093114626
101,1039,0.0006166594
101,1011,0.0007556858
101,2000,0.0009595983
101,1011,0.0007280863
101,1056,0.00084558624
101,6653,0.0008210188
101,1007,0.0006511596
101,2001,0.0011485963
101,2179,0.0011504574
101,1999,0.0010285451
101,4654,0.00090891664
101,2239,0.0010151514
101,6819,0.0009295323
101,1997,0.0008761436
101,1996,0.0013414307
101,4962,0.0011062983
101,5278,0.0009192873
101,1043,0.000622661
101,19666,0.0011270862
101,1011,0.0009219016
101,19871,0.00096667797
101,2000,0.00087761064
101,1037,0.00086998084
101,2644,0.00073961104
101,19429,0.0010440673
101,2239,0.00073676504
101,1012,0.0036882923
101,5776,0.002680176
101,1044,0.0006963993
101,2497,0.00065374933
101,1011,0.0010197245
101,1020,0.0008814823
101,2018,0.0014055647
101,1037,0.0010568781
101,2391,0.00043362819
101,16221,0.00077639095
101,1006,0.00078526256
101,1043,0.0004527449
101,1011,0.00065538177
101,2000,0.00080832635
101,1011,0.00065132906
101,1037,0.00084390707
101,1007,0.00037955638
101,1999,0.00076046895
101,1996,0.0013758173
101,11867,0.00046061957
101,13231,0.0019072727
101,5138,0.00062332593
101,2953,0.0006438185
101,2609,0.0007079624
101,1010,0.005259235
101,2029,0.0005810785
101,7153,0.0009157691
101,1996,0.0011788396
101,3671,0.00060827023
101,11867,0.0004967208
101,10415,0.00073340005
101,2075,0.00048164776
101,1997,0.0005766501
101,1996,0.0012942259
101,2197,0.00073768303
101,17174,0.0008974059
101,2078,0.00073515205
101,1043,0.0006037399
101,1012,0.015868807
101,1037,0.0024665867
101,2235,0.0010259907
101,2048,0.0005042894
101,1011,0.00073402165
101,16371,0.00044275355
101,14321,0.0005095374
101,26601,0.0009741034
101,3972,0.000742983
101,20624,0.0007841394
101,2239,0.0011204003
101,1999,0.0011134511
101,4654,0.00088739995
101,2239,0.0009959402
101,3523,0.00086403184
101,2001,0.0014030396
101,11156,0.0013914353
101,1999,0.0013960507
101,5776,0.002575032
101,1044,0.0008869399
101,2497,0.0008467045
101,1011,0.0010516985
101,1021,0.0012809254
101,1998,0.0011795438
101,17544,0.000986924
101,11048,0.00091859634
101,4048,0.00066888385
101,18915,0.0007607353
101,13096,0.0006879351
101,12737,0.00067342364
101,1998,0.0010600769
101,12527,0.00084195274
101,2011,0.0006221549
101,1037,0.0011179624
101,2644,0.00082316116
101,19429,0.00083494524
101,2239,0.0008622293
101,1012,0.018007586
101,2122,0.0043890052
101,24501,0.0015642417
101,2271,0.0020665873
101,21593,0.008121658
101,6592,0.0061656446
101,2008,0.003334814
101,2025,0.0021141067
101,2069,0.0017327636
101,1996,0.00271284
101,7977,0.0032349583
101,4962,0.0011583928
101,3972,0.00094802876
101,20624,0.0008629978
101,2239,0.0015249051
101,1997,0.0015072791
101,5387,0.0020444389
101,11814,0.0024956635
101,4962,0.0021809456
101,2021,0.0017407557
101,2036,0.0010077117
101,1996,0.001599576
101,2391,0.0009414612
101,14494,0.0017831946
101,2030,0.0012271572
101,2235,0.0012504383
101,16371,0.000656781
101,14321,0.0007667795
101,26601,0.0017995758
101,3972,0.0014866539
101,20624,0.0011578976
101,2239,0.001708814
101,2008,0.0018674369
101,2089,0.0018149843
101,3426,0.001633776
101,1996,0.006461411
101,24191,0.0023785688
101,1997,0.0016265681
101,16861,0.0024885854
101,2592,0.0021335792
101,2015,0.0030305623
101,2005,0.0023047088
101,9677,0.0030703447
101,5250,0.0020914327
101,10752,0.0026339714
101,2003,0.007287817
101,3653,0.0016348221
101,10521,0.000964853
101,19155,0.004090725
101,2000,0.0033055197
101,2458,0.0023783818
101,1997,0.0043810555
101,3424,0.0014915661
101,1011,0.0013317937
101,5387,0.00141887
101,11814,0.0034106104
101,25456,0.0033824148
101,1999,0.0047216634
101,5022,0.0030193294
101,2007,0.002346874
101,19610,0.000927523
101,7361,0.0009660073
101,19466,0.001256987
101,2401,0.0032897803
101,1038,0.0030903975
101,1012,0.022418117
101,102,0.26138157
6064,101,0.098837614
6064,6064,0.023459742
6064,5537,0.054529823
6064,4106,0.03122901
6064,1997,0.012043793
6064,2093,0.007349455
6064,24054,0.0066566058
6064,1011,0.0024261128
6064,3893,0.0030521755
6064,19610,0.0017611852
6064,7361,0.0010598269
6064,19466,0.0018905704
6064,2401,0.002606223
6064,1038,0.0027829118
6064,5022,0.0052772216
6064,2302,0.0033971202
6064,7977,0.002591594
6064,4962,0.0028417588
6064,3972,0.0015421653
6064,20624,0.0012216303
6064,2239,0.0016282157
6064,1024,0.009635468
6064,8720,0.0039447905
6064,1997,0.0018440938
6064,2176,0.0014273754
6064,3117,0.001711005
6064,14494,0.00348796
6064,1999,0.0022587313
6064,5387,0.0022279955
6064,11814,0.0015392669
6064,4962,0.002596943
6064,1012,0.007917483
6064,2093,0.0012649865
6064,19610,0.0012311252
6064,7361,0.00069313165
6064,19466,0.0010854823
6064,2401,0.0011343459
6064,1038,0.0010262647
6064,5022,0.0021041092
6064,2007,0.0011010797
6064,3424,0.0011246455
6064,1011,0.00063526165
6064,5387,0.001490929
6064,11814,0.00102046
6064,22931,0.0044457824
6064,2040,0.0010219042
6064,2018,0.00081601436
6064,2053,0.0006134485
6064,11487,0.0014232782
6064,3085,0.0007413065
6064,7977,0.0013868064
6064,3972,0.00054284104
6064,20624,0.0006501412
6064,2239,0.0006689052
6064,1997,0.0009434365
6064,1996,0.0009926136
6064,5387,0.0013746632
6064,11814,0.0008604352
6064,4962,0.0015393558
6064,2011,0.001702542
6064,2670,0.0012804719
6064,1038,0.0006261191
6064,10994,0.001228602
6064,3436,0.0008661056
6064,4106,0.0025745535
6064,2020,0.0012895768
6064,10847,0.0023035822
6064,2012,0.0010219533
6064,1996,0.005543567
6064,8382,0.0018130919
6064,2504,0.00090824574
6064,1012,0.014951497
6064,2035,0.0009166415
6064,2809,0.0008692325
6064,4654,0.0015742887
6064,5644,0.0015542271
6064,1010,0.0010611976
6064,5642,0.00078662514
6064,2011,0.00047690413
6064,2037,0.0007478031
6064,11867,0.00056230614
6064,10415,0.0015637348
6064,2075,0.0005378242
6064,5098,0.0012769842
6064,4573,0.0010151366
6064,1998,0.00086291326
6064,3653,0.00040751908
6064,17421,0.00047461814
6064,24971,0.00065061526
6064,15543,0.0014528648
6064,4655,0.0007975066
6064,1997,0.00047213936
6064,1996,0.0005769764
6064,5387,0.0010465998
6064,11814,0.0007060018
6064,4962,0.001523675
6064,1999,0.0011202393
6064,2122,0.00067394285
6064,5022,0.0022181235
6064,1006,0.0007358928
6064,2561,0.00074798625
6064,1019,0.0004198433
6064,1012,0.00052404526
6064,1019,0.0003925659
6064,21677,0.002603588
6064,1999,0.00061732385
6064,3091,0.0012401609
6064,1007,0.013535051
6064,2020,0.0011519009
6064,26986,0.0028269792
6064,2007,0.0014437872
6064,1996,0.0010480862
6064,2224,0.0014654612
6064,1997,0.0010670511
6064,1996,0.0018227124
6064,17782,0.0023526384
6064,11022,0.0019981354
6064,4677,0.0016657065
6064,4668,0.0014956658
6064,1010,0.0013372801
6064,2628,0.0014185498
6064,2011,0.0012035746
6064,3143,0.001439595
6064,16371,0.00088369125
6064,14321,0.0006738736
6064,26601,0.0017716723
6064,5537,0.002575715
6064,4106,0.0026996497
6064,1012,0.0033108634
6064,2093,0.0013879134
6064,2367,0.0016954403
6064,4127,0.0023169178
6064,1997,0.00159152
6064,3117,0.0017416067
6064,2309,0.0011139471
6064,2918,0.0014348343
6064,20885,0.0018946943
6064,2015,0.0014134886
6064,1998,0.0019580994
6064,1037,0.0012813252
6064,1016,0.0008119478
6064,2918,0.0011080538
6064,1011,0.00086593843
6064,3940,0.0010166647
6064,16371,0.0009009762
6064,14321,0.00083565846
6064,26601,0.0021591426
6064,3972,0.0014089454
6064,20624,0.0009981716
6064,2239,0.001314027
6064,2020,0.0021291838
6064,4453,0.0028161593
6064,1012,0.01229496
6064,5776,0.0016573835
6064,1044,0.00066127576
6064,2497,0.00058092165
6064,1011,0.0005934641
6064,1019,0.000660314
6064,2018,0.0008284839
6064,2048,0.00033897412
6064,2391,0.0006299237
6064,14494,0.0022889876
6064,1999,0.0005988613
6064,2010,0.0014873954
6064,5387,0.0011695911
6064,11814,0.00089766394
6064,4962,0.0017526703
6064,1012,0.0014209166
6064,2028,0.0003876391
6064,2001,0.0006317613
6064,2284,0.0007627706
6064,2012,0.00067279674
6064,1996,0.0008716152
6064,15543,0.0014920706
6064,2555,0.0010141704
6064,2012,0.00071941677
6064,16371,0.0005307857
6064,14321,0.0005975886
6064,26601,0.0016728794
6064,1011,0.0006375269
6064,6535,0.00061728765
6064,2509,0.00058922154
