index,length,unique_words,type_token_ratio,Flesch_Reading_ease_score,average_syllables_per_word,average_sentence_length,percentage_monosyllabic_words,percentage_polysyllabic_words
0,17,16,0.9411764705882353,62.68,1.5294117647058822,17.0,0.7058823529411765,0.17647058823529413
1,256,135,0.52734375,-197.17,1.578125,256.0,0.74609375,0.12890625
2,9,8,0.8888888888888888,87.72,1.3333333333333333,9.0,0.7777777777777778,0.1111111111111111
3,68,46,0.6764705882352942,17.35,1.4705882352941178,68.0,0.7058823529411765,0.10294117647058823
4,46,35,0.7608695652173914,-0.6,1.9130434782608696,46.0,0.43478260869565216,0.2608695652173913
5,32,25,0.78125,37.98,1.625,32.0,0.6875,0.25
6,504,231,0.4583333333333333,-452.95,1.5119047619047619,504.0,0.7281746031746031,0.125
7,32,18,0.5625,81.3,1.0625,32.0,0.96875,0.03125
8,44,32,0.7272727272727273,23.77,1.7045454545454546,44.0,0.75,0.1590909090909091
9,273,155,0.5677655677655677,-207.32,1.575091575091575,273.0,0.6813186813186813,0.13553113553113552
10,42,29,0.6904761904761905,45.77,1.3571428571428572,42.0,0.6904761904761905,0.047619047619047616
11,38,19,0.5,75.21,1.105263157894737,38.0,0.9473684210526315,0.05263157894736842
12,47,26,0.5531914893617021,57.61,1.1702127659574468,47.0,0.9148936170212766,0.06382978723404255
13,175,106,0.6057142857142858,-103.79,1.5142857142857142,175.0,0.7142857142857143,0.14285714285714285
14,155,93,0.6,-83.49,1.5225806451612902,155.0,0.7290322580645161,0.12903225806451613
15,32,22,0.6875,64.38,1.25,32.0,0.78125,0.03125
16,67,38,0.5671641791044776,20.39,1.3880597014925373,67.0,0.746268656716418,0.11940298507462686
17,86,53,0.6162790697674418,-14.47,1.6744186046511629,86.0,0.6627906976744186,0.13953488372093023
18,262,129,0.49236641221374045,-192.09,1.5648854961832062,262.0,0.7022900763358778,0.16793893129770993
19,651,268,0.4116743471582181,-627.53,1.6129032258064515,651.0,0.7342549923195084,0.17050691244239632
20,151,85,0.5629139072847682,-94.32,1.7086092715231789,151.0,0.5960264900662252,0.17218543046357615
21,238,130,0.5462184873949579,-182.96,1.6764705882352942,238.0,0.7310924369747899,0.15966386554621848
22,241,132,0.5477178423236515,-184.31,1.6680497925311204,241.0,0.6597510373443983,0.1991701244813278
23,43,21,0.4883720930232558,61.67,1.1627906976744187,43.0,0.8372093023255814,0.0
24,37,20,0.5405405405405406,76.22,1.1081081081081081,37.0,0.918918918918919,0.02702702702702703
25,16,12,0.75,97.54,1.0625,16.0,0.9375,0.0
26,71,45,0.6338028169014085,-18.54,1.7887323943661972,71.0,0.5774647887323944,0.2676056338028169
27,17,17,1.0,62.68,1.4705882352941178,17.0,0.7058823529411765,0.11764705882352941
28,50,36,0.72,45.09,1.36,50.0,0.78,0.1
29,34,29,0.8529411764705882,47.8,1.6470588235294117,34.0,0.7941176470588235,0.08823529411764706
30,39,27,0.6923076923076923,72.16,1.205128205128205,39.0,0.9230769230769231,0.02564102564102564
31,402,180,0.44776119402985076,-336.22,1.572139303482587,402.0,0.6368159203980099,0.13432835820895522
32,19,16,0.8421052631578947,94.49,1.105263157894737,19.0,0.9473684210526315,0.05263157894736842
33,32,26,0.8125,64.38,1.3125,32.0,0.75,0.0625
34,156,90,0.5769230769230769,-91.95,1.6474358974358974,156.0,0.6346153846153846,0.1858974358974359
35,63,47,0.746031746031746,11.93,1.5873015873015872,63.0,0.6507936507936508,0.09523809523809523
36,19,17,0.8947368421052632,69.11,1.368421052631579,19.0,0.6842105263157895,0.05263157894736842
37,18,16,0.8888888888888888,78.59,1.3333333333333333,18.0,0.6666666666666666,0.0
38,68,37,0.5441176470588235,27.84,1.2941176470588236,68.0,0.7352941176470589,0.029411764705882353
39,362,199,0.5497237569060773,-301.71,1.5359116022099448,362.0,0.6850828729281768,0.12430939226519337
40,18,15,0.8333333333333334,78.59,1.3333333333333333,18.0,0.7222222222222222,0.05555555555555555
41,41,19,0.4634146341463415,72.16,1.0975609756097562,41.0,0.9512195121951219,0.024390243902439025
42,38,30,0.7894736842105263,58.29,1.2894736842105263,38.0,0.7894736842105263,0.07894736842105263
43,56,31,0.5535714285714286,37.99,1.375,56.0,0.75,0.03571428571428571
44,38,20,0.5263157894736842,66.75,1.1842105263157894,38.0,0.8947368421052632,0.05263157894736842
45,887,383,0.4317925591882751,-890.07,1.5298759864712514,887.0,0.7779030439684329,0.09582863585118377
46,71,54,0.7605633802816901,-19.55,1.8028169014084507,71.0,0.6056338028169014,0.22535211267605634
47,75,52,0.6933333333333334,7.2,1.4933333333333334,75.0,0.7733333333333333,0.12
