from_ids,from,to_id,to,weight
4,.,4,.,0.44762138
4,.,5,Ġthe,0.26779318
4,.,7,Ġto,0.23344035
4,.,10,Ġa,0.36676815
4,.,11,Ġin,0.28171858
4,.,18,'s,0.13329564
4,.,20,ĠThe,0.15018801
4,.,28,Ġbe,0.35335714
4,.,38,ĠI,0.29143897
4,.,42,Ġthis,0.982896
4,.,70,Ġall,0.1299537
4,.,85,ĠIt,0.4084835
4,.,91,ĠHe,0.2806804
4,.,98,Ġso,0.18181728
4,.,152,ĠThis,0.38164356
4,.,169,Ġway,0.99798214
4,.,194,Ġstate,0.13071609
4,.,311,Ġshow,0.95575213
4,.,319,Ġlot,0.98212254
4,.,345,ĠThere,0.23308827
4,.,444,Ġfar,0.9594266
4,.,635,ĠHowever,0.35086846
4,.,877,ate,0.12673059
4,.,1033,ings,0.97272
4,.,1169,Ġeither,0.9960336
4,.,1266,Ġmean,0.14143613
4,.,1311,Ġgiving,0.18013197
4,.,1648,ĠEven,0.17997222
4,.,1892,ĠThen,0.22693834
4,.,2682,Ġstuff,0.25595787
4,.,3038,Ġeffects,0.99043685
4,.,3556,Ġsecret,0.8947465
4,.,3771,ĠMag,0.123322695
4,.,5150,ique,0.9326006
4,.,5322,Ġhonest,0.9621341
4,.,6014,work,0.17359674
4,.,8705,ĠBesides,0.5242738
4,.,36067,Ġnudity,0.15518257
4,.,36269,Ġhops,0.21588273
4,.,38684,ĠRetro,0.5151925
5,Ġthe,4,.,0.57603276
5,Ġthe,5,Ġthe,0.87981063
5,Ġthe,6,",",0.9997029
5,Ġthe,7,Ġto,0.3137425
5,Ġthe,9,Ġof,0.9999999
5,Ġthe,10,Ġa,0.26255393
5,Ġthe,11,Ġin,0.9998969
5,Ġthe,12,-,0.29781982
5,Ġthe,13,Ġfor,0.40426388
5,Ġthe,14,Ġthat,0.2553543
5,Ġthe,15,Ġon,0.18258183
5,Ġthe,16,Ġis,0.5462036
5,Ġthe,18,'s,0.9998703
5,Ġthe,19,Ġwith,0.62640846
5,Ġthe,20,ĠThe,0.6390663
5,Ġthe,21,Ġwas,0.5691758
5,Ġthe,23,Ġat,0.9999261
5,Ġthe,24,Ġit,0.2498225
5,Ġthe,25,Ġas,0.99999905
5,Ġthe,30,Ġby,0.446793
5,Ġthe,31,Ġfrom,0.4570583
5,Ġthe,32,Ġare,0.99995637
5,Ġthe,33,Ġhave,0.16154301
5,Ġthe,36,Ġ(,0.47878006
5,Ġthe,37,Ġhe,0.35770664
5,Ġthe,38,ĠI,0.32904628
5,Ġthe,39,Ġhis,0.2330585
5,Ġthe,42,Ġthis,0.18669672
5,Ġthe,43,),0.32215747
5,Ġthe,45,Ġnot,0.25863114
5,Ġthe,47,Ġyou,0.14594018
5,Ġthe,52,Ġwe,0.2576916
5,Ġthe,53,Ġbut,0.3337947
5,Ġthe,58,Ġwere,0.20722826
5,Ġthe,59,Ġabout,0.50100535
5,Ġthe,61,Ġwhich,0.53413904
5,Ġthe,65,Ġone,0.9106487
5,Ġthe,67,Ġalso,0.30820447
5,Ġthe,70,Ġall,0.9999988
5,Ġthe,74,Ġwould,0.99985766
5,Ġthe,76,Ġyear,0.37271082
5,Ġthe,77,Ġwhen,0.39182934
5,Ġthe,78,Ġfirst,0.81278473
5,Ġthe,87,Ġthan,0.9999894
5,Ġthe,89,Ġthere,0.51174873
5,Ġthe,91,ĠHe,0.44618434
5,Ġthe,95,Ġjust,0.4136627
5,Ġthe,98,Ġso,0.31660324
5,Ġthe,102,a,0.22836733
5,Ġthe,108,',1.0
5,Ġthe,117,Ġno,0.9248582
5,Ġthe,120,Ġget,0.13616608
5,Ġthe,122,Ġnow,0.21383241
5,Ġthe,123,Ġhim,0.31973138
5,Ġthe,128,Ġ',0.17233495
5,Ġthe,129,Ġonly,0.8843351
5,Ġthe,130,Ġthree,0.38318163
5,Ġthe,133,The,0.21527693
5,Ġthe,139,o,0.17261615
5,Ġthe,141,Ġhow,0.27204585
5,Ġthe,145,Ġbeing,0.27510658
5,Ġthe,146,Ġmake,0.12783195
5,Ġthe,152,ĠThis,0.35432205
5,Ġthe,156,Ġmade,0.9997683
5,Ġthe,169,Ġway,0.95251435
5,Ġthe,185,Ġtake,0.99993825
5,Ġthe,192,Ġsee,0.42009953
5,Ġthe,194,Ġstate,0.7170603
5,Ġthe,205,Ġgood,0.87656903
5,Ġthe,209,Ġthese,0.12278977
5,Ġthe,218,Ġdon,0.32967192
5,Ġthe,233,Ġpart,0.30915305
5,Ġthe,238,"),",0.4231759
5,Ġthe,253,Ġend,0.93663436
5,Ġthe,301,Ġlife,0.99999785
5,Ġthe,311,Ġshow,0.22506963
5,Ġthe,317,Ġplace,0.17241156
5,Ġthe,322,).,0.2675191
5,Ġthe,350,Ġtoo,0.47352988
5,Ġthe,359,Ġ&,0.99997723
5,Ġthe,363,Ġnight,0.5263269
5,Ġthe,382,ĠUS,0.8118541
5,Ġthe,386,Ġstart,0.91784596
5,Ġthe,393,Ġnever,0.32650036
5,Ġthe,419,Ġearly,0.2687109
5,Ġthe,442,Ġmaking,0.81626433
5,Ġthe,450,Ġseen,0.18204175
5,Ġthe,456,Ġagain,0.2486489
5,Ġthe,460,Ġalways,0.2622788
5,Ġthe,473,Ġdoes,0.18076967
5,Ġthe,477,Ġpoint,0.89981216
5,Ġthe,498,Ġtimes,0.23266582
5,Ġthe,500,R,0.18062143
5,Ġthe,507,Ġfinal,0.14130402
5,Ġthe,527,Ġstory,0.9469647
5,Ġthe,552,Ġalong,0.2707966
5,Ġthe,568,Ġdecision,0.71909964
5,Ġthe,596,Ġwhy,0.3427741
5,Ġthe,631,Ġthing,0.7393943
5,Ġthe,635,ĠHowever,0.999977
5,Ġthe,651,Ġseries,0.9078826
5,Ġthe,656,Ġearlier,0.80107903
5,Ġthe,657,Ġlove,0.7185197
5,Ġthe,664,Ġyoung,0.6299551
5,Ġthe,667,Ġtrying,0.22033638
5,Ġthe,671,Ġreturn,0.3557919
5,Ġthe,707,Ġseven,0.66354674
5,Ġthe,728,Ġminutes,0.14883842
5,Ġthe,734,...,0.48044968
5,Ġthe,768,Ġcourse,0.25394598
5,Ġthe,780,Ġspecial,0.77918214
5,Ġthe,793,Ġold,0.9625265
5,Ġthe,822,Ġfilm,0.83477765
5,Ġthe,841,Ġfans,0.12689005
5,Ġthe,851,Ġgave,0.124568895
5,Ġthe,877,ate,0.48589462
5,Ġthe,885,Ġw,0.90203345
5,Ġthe,912,Ġstop,0.13390355
5,Ġthe,931,Ġproduction,0.19732533
5,Ġthe,980,Ġspace,0.9026295
5,Ġthe,1001,ro,0.19379492
5,Ġthe,1003,Ġhimself,0.3355221
5,Ġthe,1004,Ġturn,0.13032942
5,Ġthe,1062,Ġround,0.14960317
5,Ġthe,1065,Ġabove,0.5840145
5,Ġthe,1072,Ġwants,0.5236481
5,Ġthe,1079,Ġrest,0.9021638
5,Ġthe,1145,Ġmet,0.4501897
5,Ġthe,1159,Ġkids,0.29917732
5,Ġthe,1183,Ġwatch,0.99983037
5,Ġthe,1195,Ġrather,0.3161544
5,Ġthe,1235,Ġthemselves,0.3915663
5,Ġthe,1266,Ġmean,0.33813822
5,Ġthe,1291,Ġrelationship,0.15999778
5,Ġthe,1311,Ġgiving,0.25818002
5,Ġthe,1313,Ġpositive,0.14239001
5,Ġthe,1341,Ġquite,0.25680524
5,Ġthe,1353,Ġcentral,0.32542345
5,Ġthe,1403,Ġself,0.1579757
5,Ġthe,1445,Ġentire,0.89983255
5,Ġthe,1461,Ġoriginal,0.8242628
5,Ġthe,1462,Ġdead,0.19831493
5,Ġthe,1521,Ġdesign,0.1305563
5,Ġthe,1527,ling,0.17294641
5,Ġthe,1558,13,0.14044367
5,Ġthe,1595,Ġpassed,0.9998592
5,Ġthe,1620,As,0.36694586
5,Ġthe,1647,Ġmajority,0.39406878
5,Ġthe,1648,ĠEven,0.33152047
5,Ġthe,1683,Ġeffect,0.5484905
5,Ġthe,1762,Ġlack,0.17946813
5,Ġthe,1840,ĠGod,0.5803835
5,Ġthe,1874,Ġdrop,0.3354138
5,Ġthe,1892,ĠThen,0.5329206
5,Ġthe,1907,Ġtype,0.26237407
5,Ġthe,1925,Ġblood,0.16872428
5,Ġthe,1951,ek,0.3573839
5,Ġthe,1954,Ġvs,0.13201506
5,Ġthe,1980,Ġones,0.9068082
5,Ġthe,2012,Ġstarts,0.14909653
5,Ġthe,2067,Ġwait,0.13792433
5,Ġthe,2075,Ġran,0.99999654
5,Ġthe,2129,Ġpoor,0.13764791
5,Ġthe,2145,Ġremember,0.9995016
5,Ġthe,2198,Ġcompletely,0.13567007
5,Ġthe,2201,ĠParis,0.33262104
5,Ġthe,2239,Ġlearning,0.9997274
5,Ġthe,2272,Ġgreen,0.80773044
5,Ġthe,2280,Ġcamera,0.61548805
5,Ġthe,2378,Ġfan,0.14122604
5,Ġthe,2435,Ġlearned,0.99974793
5,Ġthe,2580,ets,0.471344
5,Ġthe,2603,ost,0.81057304
