from_ids,from_token,to_ids,to_token,weights
36,Ġup,36,Ġup,4.2760118e-10
36,Ġup,37,Ġin,3.5288353e-10
343,ĠMaster,343,ĠMaster,3.5268907e-10
37,Ġin,36,Ġup,3.5120354e-10
36,Ġup,35,Ġhold,3.298849e-10
35,Ġhold,36,Ġup,3.277e-10
36,Ġup,38,Ġan,3.2349076e-10
38,Ġan,36,Ġup,3.2132616e-10
205,<,205,<,2.9188635e-10
37,Ġin,37,Ġin,2.8983535e-10
37,Ġin,35,Ġhold,2.7094632e-10
35,Ġhold,37,Ġin,2.704393e-10
37,Ġin,38,Ġan,2.656946e-10
38,Ġan,37,Ġin,2.6517918e-10
35,Ġhold,35,Ġhold,2.5281385e-10
35,Ġhold,38,Ġan,2.4791358e-10
38,Ġan,35,Ġhold,2.478961e-10
38,Ġan,38,Ġan,2.430916e-10
209,br,205,<,2.2901683e-10
205,<,204,...,2.132108e-10
204,...,205,<,2.0798915e-10
206,br,205,<,1.8772628e-10
209,br,209,br,1.8206373e-10
205,<,206,br,1.7372576e-10
343,ĠMaster,342,ĠPuppet,1.5748791e-10
343,ĠMaster,339,ĠMaster,1.5469714e-10
204,...,204,...,1.519274e-10
206,br,209,br,1.4923857e-10
342,ĠPuppet,343,ĠMaster,1.4180138e-10
339,ĠMaster,343,ĠMaster,1.4005126e-10
206,br,204,...,1.3712623e-10
209,br,206,br,1.3630691e-10
207,Ġ/,205,<,1.3327639e-10
205,<,207,Ġ/,1.2020189e-10
78,ĠS,78,ĠS,1.149173e-10
78,ĠS,79,ester,1.133841e-10
79,ester,78,ĠS,1.12294646e-10
206,br,206,br,1.11731464e-10
79,ester,79,ester,1.1079602e-10
207,Ġ/,209,br,1.0595203e-10
78,ĠS,80,o,1.0413188e-10
79,ester,80,o,1.0175497e-10
80,o,78,ĠS,9.936257e-11
80,o,79,ester,9.80369e-11
207,Ġ/,204,...,9.735286e-11
209,br,207,Ġ/,9.4311566e-11
80,o,80,o,9.003684e-11
207,Ġ/,206,br,7.9323825e-11
206,br,207,Ġ/,7.730767e-11
78,ĠS,77,Greg,7.434351e-11
79,ester,77,Greg,7.264655e-11
77,Greg,78,ĠS,6.867917e-11
260,ĠThe,260,ĠThe,6.855458e-11
77,Greg,79,ester,6.7762615e-11
260,ĠThe,259,:,6.497628e-11
80,o,77,Greg,6.428056e-11
259,:,260,ĠThe,6.383022e-11
77,Greg,80,o,6.223302e-11
339,ĠMaster,339,ĠMaster,6.142967e-11
259,:,259,:,6.049851e-11
262,ĠChapter,260,ĠThe,5.8077522e-11
260,ĠThe,262,ĠChapter,5.791347e-11
36,Ġup,39,ĠInn,5.7707606e-11
197,Ġ&,204,...,5.6302792e-11
262,ĠChapter,259,:,5.5046193e-11
207,Ġ/,207,Ġ/,5.4884628e-11
8,w,8,w,5.4229274e-11
259,:,262,ĠChapter,5.392243e-11
262,ĠChapter,262,ĠChapter,4.9062577e-11
257,ĠMaster,259,:,4.841649e-11
37,Ġin,39,ĠInn,4.7397152e-11
77,Greg,77,Greg,4.4430487e-11
35,Ġhold,39,ĠInn,4.422537e-11
39,ĠInn,37,Ġin,4.3516475e-11
38,Ġan,39,ĠInn,4.336501e-11
39,ĠInn,38,Ġan,3.989193e-11
260,ĠThe,258,Ġ5,3.87028e-11
258,Ġ5,260,ĠThe,3.849952e-11
343,ĠMaster,341,Ġ&,3.7748468e-11
257,ĠMaster,257,ĠMaster,3.6856795e-11
258,Ġ5,259,:,3.6489985e-11
259,:,258,Ġ5,3.6035574e-11
262,ĠChapter,258,Ġ5,3.278793e-11
258,Ġ5,262,ĠChapter,3.2523588e-11
37,Ġin,30,Ġplan,3.2442733e-11
35,Ġhold,30,Ġplan,3.0271577e-11
343,ĠMaster,340,Ġ4,2.959968e-11
257,ĠMaster,258,Ġ5,2.88391e-11
258,Ġ5,257,ĠMaster,2.7777704e-11
78,ĠS,76,Ġ(,2.3548205e-11
79,ester,76,Ġ(,2.3010784e-11
195,Ġit,195,Ġit,2.2469167e-11
258,Ġ5,258,Ġ5,2.173504e-11
