from_ids,from_token,to_ids,to_token,weights
0,Ġthe,0,Ġthe,2.4954474e-35
8,Ġcamera,0,Ġthe,5.8979765e-36
3,Ġsomething,0,Ġthe,5.7655275e-36
0,Ġthe,1,Ġis,2.1550451e-36
8,Ġcamera,3,Ġsomething,1.3865482e-36
8,Ġcamera,8,Ġcamera,1.3800366e-36
3,Ġsomething,3,Ġsomething,1.35541085e-36
0,Ġthe,9,Every,1.2627265e-36
0,Ġthe,10,where,6.1688454e-37
8,Ġcamera,1,Ġis,5.0934365e-37
3,Ġsomething,1,Ġis,4.9790547e-37
9,Every,3,Ġsomething,2.9151349e-37
9,Every,8,Ġcamera,2.9014223e-37
5,Ġworth,3,Ġsomething,2.2734117e-37
5,Ġworth,8,Ġcamera,2.2627354e-37
1,Ġis,1,Ġis,1.8342511e-37
8,Ġcamera,10,where,1.457992e-37
5,Ġworth,1,Ġis,8.3512366e-38
9,Every,9,Every,6.274574e-38
1,Ġis,10,where,5.2505286e-38
9,Every,5,Ġworth,4.9071544e-38
5,Ġworth,5,Ġworth,3.826918e-38
10,where,9,Every,3.0647566e-38
0,Ġthe,2,Ġthere,2.6607166e-38
10,where,5,Ġworth,2.396835e-38
10,where,10,where,1.4972256e-38
3,Ġsomething,2,Ġthere,6.147321e-39
2,Ġthere,8,Ġcamera,6.068476e-39
0,Ġthe,4,Ġ.,4.781588e-39
0,Ġthe,7,Ġseeing,4.57601e-39
6,Ġlooks,8,Ġcamera,3.887789e-39
1,Ġis,2,Ġthere,0.0
2,Ġthere,6,Ġlooks,0.0
2,Ġthere,2,Ġthere,0.0
1,Ġis,6,Ġlooks,0.0
1,Ġis,7,Ġseeing,0.0
1,Ġis,4,Ġ.,0.0
4,Ġ.,4,Ġ.,0.0
4,Ġ.,7,Ġseeing,0.0
3,Ġsomething,4,Ġ.,0.0
7,Ġseeing,7,Ġseeing,0.0
7,Ġseeing,5,Ġworth,0.0
7,Ġseeing,3,Ġsomething,0.0
6,Ġlooks,6,Ġlooks,0.0
7,Ġseeing,9,Every,0.0
9,Every,6,Ġlooks,0.0
10,where,2,Ġthere,0.0
10,where,7,Ġseeing,0.0
