from_ids,from_token,to_ids,to_token,weights
0,Every,0,Every,0.0
0,Every,3,Ġcamera,0.0
0,Every,4,Ġlooks,0.0
0,Every,7,Ġsomething,0.0
0,Every,8,Ġworth,0.0
1,where,0,Every,0.0
1,where,1,where,0.0
1,where,5,Ġthere,0.0
1,where,8,Ġworth,0.0
1,where,9,Ġseeing,0.0
2,Ġthe,0,Every,0.0
2,Ġthe,1,where,0.0
2,Ġthe,2,Ġthe,0.0
2,Ġthe,5,Ġthere,0.0
2,Ġthe,6,Ġis,0.0
2,Ġthe,9,Ġseeing,0.0
2,Ġthe,10,Ġ.,0.0
3,Ġcamera,1,where,0.0
3,Ġcamera,2,Ġthe,0.0
3,Ġcamera,3,Ġcamera,0.0
3,Ġcamera,6,Ġis,0.0
3,Ġcamera,7,Ġsomething,0.0
3,Ġcamera,10,Ġ.,0.0
4,Ġlooks,3,Ġcamera,0.0
4,Ġlooks,4,Ġlooks,0.0
4,Ġlooks,7,Ġsomething,0.0
5,Ġthere,3,Ġcamera,0.0
5,Ġthere,4,Ġlooks,0.0
5,Ġthere,5,Ġthere,0.0
5,Ġthere,8,Ġworth,0.0
6,Ġis,1,where,0.0
6,Ġis,4,Ġlooks,0.0
6,Ġis,5,Ġthere,0.0
6,Ġis,6,Ġis,0.0
6,Ġis,9,Ġseeing,0.0
6,Ġis,10,Ġ.,0.0
7,Ġsomething,2,Ġthe,0.0
7,Ġsomething,5,Ġthere,0.0
7,Ġsomething,6,Ġis,0.0
7,Ġsomething,7,Ġsomething,0.0
7,Ġsomething,10,Ġ.,0.0
8,Ġworth,3,Ġcamera,0.0
8,Ġworth,6,Ġis,0.0
8,Ġworth,7,Ġsomething,0.0
8,Ġworth,8,Ġworth,0.0
9,Ġseeing,0,Every,0.0
9,Ġseeing,7,Ġsomething,0.0
9,Ġseeing,8,Ġworth,0.0
9,Ġseeing,9,Ġseeing,0.0
10,Ġ.,1,where,0.0
10,Ġ.,8,Ġworth,0.0
10,Ġ.,9,Ġseeing,0.0
10,Ġ.,10,Ġ.,0.0
