dataset,index,split,LLM,approach,left_stride,right_stride,threshold,time,nodes,edges,density
Ohsumed,3419,test,FacebookAI/roberta-large,Grouped,64,64,0.7,2.4602530002593994,157,7395,0.30001217087914317
Ohsumed,3419,test,FacebookAI/roberta-large,Grouped,64,64,0.7,0.1965351104736328,157,7395,0.30001217087914317
Ohsumed,3419,test,FacebookAI/roberta-large,Grouped,64,64,0.7,0.1959056854248047,157,7395,0.30001217087914317
Ohsumed,3419,test,FacebookAI/roberta-large,Grouped,64,64,0.85,0.19626903533935547,157,3698,0.15002637023814352
Ohsumed,3419,test,FacebookAI/roberta-large,Grouped,64,64,0.85,0.19617676734924316,157,3698,0.15002637023814352
Ohsumed,3419,test,FacebookAI/roberta-large,Grouped,64,64,0.85,0.196091890335083,157,3698,0.15002637023814352
Ohsumed,3419,test,FacebookAI/roberta-large,Grouped,64,64,0.95,0.1952219009399414,157,1233,0.05002231327842915
Ohsumed,3419,test,FacebookAI/roberta-large,Grouped,64,64,0.95,0.19648146629333496,157,1233,0.05002231327842915
Ohsumed,3419,test,FacebookAI/roberta-large,Grouped,64,64,0.95,0.19332647323608398,157,1233,0.05002231327842915
Ohsumed,3419,test,FacebookAI/roberta-large,Grouped,64,128,0.7,0.19353222846984863,157,7395,0.30001217087914317
Ohsumed,3419,test,FacebookAI/roberta-large,Grouped,64,128,0.7,0.1972494125366211,157,7395,0.30001217087914317
Ohsumed,3419,test,FacebookAI/roberta-large,Grouped,64,128,0.7,0.19619107246398926,157,7395,0.30001217087914317
Ohsumed,3419,test,FacebookAI/roberta-large,Grouped,64,128,0.85,0.1959080696105957,157,3698,0.15002637023814352
Ohsumed,3419,test,FacebookAI/roberta-large,Grouped,64,128,0.85,0.19646859169006348,157,3698,0.15002637023814352
Ohsumed,3419,test,FacebookAI/roberta-large,Grouped,64,128,0.85,0.1960773468017578,157,3698,0.15002637023814352
Ohsumed,3419,test,FacebookAI/roberta-large,Grouped,64,128,0.95,0.19773387908935547,157,1233,0.05002231327842915
Ohsumed,3419,test,FacebookAI/roberta-large,Grouped,64,128,0.95,0.1959540843963623,157,1233,0.05002231327842915
Ohsumed,3419,test,FacebookAI/roberta-large,Grouped,64,128,0.95,0.1923961639404297,157,1233,0.05002231327842915
Ohsumed,3419,test,FacebookAI/roberta-large,Grouped,128,64,0.7,0.19303107261657715,157,7395,0.30001217087914317
Ohsumed,3419,test,FacebookAI/roberta-large,Grouped,128,64,0.7,0.1968996524810791,157,7395,0.30001217087914317
Ohsumed,3419,test,FacebookAI/roberta-large,Grouped,128,64,0.7,0.19607043266296387,157,7395,0.30001217087914317
Ohsumed,3419,test,FacebookAI/roberta-large,Grouped,128,64,0.85,0.1994338035583496,157,3698,0.15002637023814352
Ohsumed,3419,test,FacebookAI/roberta-large,Grouped,128,64,0.85,0.19649243354797363,157,3698,0.15002637023814352
Ohsumed,3419,test,FacebookAI/roberta-large,Grouped,128,64,0.85,0.1963794231414795,157,3698,0.15002637023814352
Ohsumed,3419,test,FacebookAI/roberta-large,Grouped,128,64,0.95,0.19611907005310059,157,1233,0.05002231327842915
Ohsumed,3419,test,FacebookAI/roberta-large,Grouped,128,64,0.95,0.19613385200500488,157,1233,0.05002231327842915
Ohsumed,3419,test,FacebookAI/roberta-large,Grouped,128,64,0.95,0.19357824325561523,157,1233,0.05002231327842915
Ohsumed,3419,test,FacebookAI/roberta-large,Grouped,128,128,0.7,0.19606947898864746,157,7395,0.30001217087914317
Ohsumed,3419,test,FacebookAI/roberta-large,Grouped,128,128,0.7,0.19694209098815918,157,7395,0.30001217087914317
Ohsumed,3419,test,FacebookAI/roberta-large,Grouped,128,128,0.7,0.19603490829467773,157,7395,0.30001217087914317
Ohsumed,3419,test,FacebookAI/roberta-large,Grouped,128,128,0.85,0.19576215744018555,157,3698,0.15002637023814352
Ohsumed,3419,test,FacebookAI/roberta-large,Grouped,128,128,0.85,0.19602608680725098,157,3698,0.15002637023814352
Ohsumed,3419,test,FacebookAI/roberta-large,Grouped,128,128,0.85,0.1958315372467041,157,3698,0.15002637023814352
Ohsumed,3419,test,FacebookAI/roberta-large,Grouped,128,128,0.95,0.1960904598236084,157,1233,0.05002231327842915
