dataset,index,split,LLM,approach,left_stride,right_stride,threshold,time,nodes,edges,density
Ohsumed,3419,test,google-bert/bert-base-uncased,Grouped,64,64,0.7,0.09109377861022949,149,6661,0.3000315301112563
Ohsumed,3419,test,google-bert/bert-base-uncased,Grouped,64,64,0.7,0.08701658248901367,149,6661,0.3000315301112563
Ohsumed,3419,test,google-bert/bert-base-uncased,Grouped,64,64,0.7,0.0837709903717041,149,6661,0.3000315301112563
Ohsumed,3419,test,google-bert/bert-base-uncased,Grouped,64,64,0.85,0.08344459533691406,149,3331,0.1500382865636683
Ohsumed,3419,test,google-bert/bert-base-uncased,Grouped,64,64,0.85,0.0835120677947998,149,3331,0.1500382865636683
Ohsumed,3419,test,google-bert/bert-base-uncased,Grouped,64,64,0.85,0.08353090286254883,149,3331,0.1500382865636683
Ohsumed,3419,test,google-bert/bert-base-uncased,Grouped,64,64,0.95,0.08366894721984863,149,1111,0.05004279086527634
Ohsumed,3419,test,google-bert/bert-base-uncased,Grouped,64,64,0.95,0.08411598205566406,149,1111,0.05004279086527634
Ohsumed,3419,test,google-bert/bert-base-uncased,Grouped,64,64,0.95,0.084014892578125,149,1111,0.05004279086527634
Ohsumed,3419,test,google-bert/bert-base-uncased,Grouped,64,128,0.7,0.0838479995727539,149,6661,0.3000315301112563
Ohsumed,3419,test,google-bert/bert-base-uncased,Grouped,64,128,0.7,0.0836787223815918,149,6661,0.3000315301112563
Ohsumed,3419,test,google-bert/bert-base-uncased,Grouped,64,128,0.7,0.08435368537902832,149,6661,0.3000315301112563
Ohsumed,3419,test,google-bert/bert-base-uncased,Grouped,64,128,0.85,0.08815789222717285,149,3331,0.1500382865636683
Ohsumed,3419,test,google-bert/bert-base-uncased,Grouped,64,128,0.85,0.08399677276611328,149,3331,0.1500382865636683
Ohsumed,3419,test,google-bert/bert-base-uncased,Grouped,64,128,0.85,0.08381128311157227,149,3331,0.1500382865636683
Ohsumed,3419,test,google-bert/bert-base-uncased,Grouped,64,128,0.95,0.08378791809082031,149,1111,0.05004279086527634
Ohsumed,3419,test,google-bert/bert-base-uncased,Grouped,64,128,0.95,0.08426165580749512,149,1111,0.05004279086527634
Ohsumed,3419,test,google-bert/bert-base-uncased,Grouped,64,128,0.95,0.08443355560302734,149,1111,0.05004279086527634
Ohsumed,3419,test,google-bert/bert-base-uncased,Grouped,128,64,0.7,0.0843498706817627,149,6661,0.3000315301112563
Ohsumed,3419,test,google-bert/bert-base-uncased,Grouped,128,64,0.7,0.0834658145904541,149,6661,0.3000315301112563
Ohsumed,3419,test,google-bert/bert-base-uncased,Grouped,128,64,0.7,0.08310556411743164,149,6661,0.3000315301112563
Ohsumed,3419,test,google-bert/bert-base-uncased,Grouped,128,64,0.85,0.08323502540588379,149,3331,0.1500382865636683
Ohsumed,3419,test,google-bert/bert-base-uncased,Grouped,128,64,0.85,0.08274555206298828,149,3331,0.1500382865636683
Ohsumed,3419,test,google-bert/bert-base-uncased,Grouped,128,64,0.85,0.08320164680480957,149,3331,0.1500382865636683
Ohsumed,3419,test,google-bert/bert-base-uncased,Grouped,128,64,0.95,0.08291411399841309,149,1111,0.05004279086527634
Ohsumed,3419,test,google-bert/bert-base-uncased,Grouped,128,64,0.95,0.08385658264160156,149,1111,0.05004279086527634
Ohsumed,3419,test,google-bert/bert-base-uncased,Grouped,128,64,0.95,0.08364701271057129,149,1111,0.05004279086527634
