dataset,index,split,text
Ohsumed,3419,test,"Reduction of cardiovascular disease-related mortality among postmenopausal women who use hormones: evidence from a national cohort.  A national sample of 1944 white menopausal women greater than or equal to 55 years old from the epidemiologic follow-up of participants in the National Health and Nutrition Examination Survey was reviewed to investigate the role of hormone therapy in altering the risk of death from cardiovascular disease.  Women in the study were observed for up to 16 years after the baseline survey in 1971 to 1975.  By 1987 631 women had died; 347 of these deaths were due to cardiovascular disease.  History of diabetes (relative risk, 2.38; 95% confidence interval 1.73 to 3.26), previous myocardial infarction (relative risk, 2.12; 95% confidence interval 1.56 to 2.86), smoking (relative risk, 2.18; 95% confidence interval, 1.69 to 2.81), and elevated blood pressure (relative risk, 1.49; 95% confidence interval, 1.14 to 1.94) were strong predictors of cardiovascular disease-related death in this cohort.  After adjusting for known cardiovascular disease risk factors (smoking, cholesterol, body mass index, blood pressure, previous myocardial infarction, history of diabetes, age) and education, the use of postmenopausal hormones was associated with a reduced risk of death from cardiovascular disease (relative risk, 0.66; 95% confidence interval, 0.48 to 0.90).  The same protective effect provided by postmenopausal hormone therapy was seen in women who experienced natural menopause (relative risk, 0.69; 95% confidence interval, 0.45 to 1.06)."
Ohsumed,407,validation,"Wounding effects of the AK-47 rifle used by Patrick Purdy in the Stockton, California, schoolyard shooting of January 17, 1989.  The limited disruption produced in tissue simulant by the rifle and bullets used in the Stockton, California, schoolyard shooting is entirely consistent with the autopsy reports on the five children who died of their wounds.  It is also entirely consistent with well-documented battlefield studies and with previous tissue-simulant studies from many laboratories.  It is inconsistent with many exaggerated accounts of assault-rifle wounding effects described by the media in the aftermath of this incident.  This information should be documented for the historical record.  However, the critical reason for correcting the misconceptions produced by media reaction to this incident is to prevent inappropriate gunshot-wound treatment."
Ohsumed,1146,test,"Small-volume resuscitation from hemorrhagic shock in dogs: effects on systemic hemodynamics and systemic blood flow.  BACKGROUND AND METHODS: This study compared canine systemic hemodynamics and organ blood flow (radioactive microsphere technique) after resuscitation with 0.8% saline (Na+ 137 mEq/L), 7.2% hypertonic saline (Na+ 1233 mEq/L), 20% hydroxyethyl starch in 0.8% saline, or 20% hydroxyethyl starch in 7.2% saline, each in a volume approximating 15% of shed blood volume.  Twenty-four endotracheally intubated mongrel dogs (18 to 24 kg) underwent a 30-min period of hemorrhagic shock, from time 0 to 30 min into the shock period, followed by fluid resuscitation.  Data were collected at baseline, 15 min into the shock period, immediately after fluid infusion, 5 min after the beginning of resuscitation, and at 60-min intervals for 2 hr, (65 min after the beginning of resuscitation, and 125 min after the beginning of resuscitation).  The animals received one of four randomly assigned iv resuscitation fluids: saline (54 mL/kg), hypertonic saline (6.0 mL/kg), hydroxyethel starch (6.0 mL/kg) or hypertonic saline/hydroxyethyl starch (6.0 mL/kg).  RESULTS: Mean arterial pressure increased in all groups after resuscitation.  Cardiac output increased with resuscitation in all groups, exceeding baseline in the saline and hypertonic saline/hydroxyethyl starch groups (p less than .05 compared with hypertonic saline or hydroxyethyl starch).  Sixty-five minutes after the beginning of resuscitation, cardiac output was significantly (p less than .05) greater in either of the two colloid-containing groups than in the hypertonic saline group.  After resuscitation, hypertonic saline and hydroxyethyl starch produced minimal improvements in hepatic arterial flow, hypertonic saline/hydroxyethyl starch increased hepatic arterial flow to near baseline levels, and saline markedly increased hepatic arterial flow to levels exceeding baseline (p less than .05, saline vs.  hydroxyethyl starch).  One hundred twenty-five minutes after the beginning of resuscitation, hepatic arterial flow had decreased in all groups; hepatic arterial flow in the hypertonic saline group had decreased to levels comparable with those during shock.  Myocardial, renal, and brain blood flow were not significantly different between groups.  CONCLUSIONS: Small-volume resuscitation with the combination of hypertonic saline/hydroxyethyl starch is comparable with much larger volumes of 0.8% saline, and is equal to hypertonic saline or hydroxyethyl starch in the ability to restore and sustain BP and improve organ blood flow after resuscitation from hemorrhagic shock."
IMDb-top_1000,1,test,"Ignore the extreme votes about ""House of Wax"", in no way is it either a ""1"" or a ""10"". I will try to be of help to anyone thinking about seeing ""House of Wax"" or for those who saw it based on the trailer and feel cheated. The trailer makes this movie look very promising, which is what trailers are supposed to do. There is only one thing for sure with trailers, if the producers can't cobble together a minute of interesting elements to make a trailer, it is a pretty much a sure thing that the movie is a major suck-fest. But a good trailer only tells you that a few things about the movie are good, it does not give you much idea about the total package. Here a little research can be valuable. <br /><br />""House of Wax"" stars Elisha Cuthbert (whose acting skills are closer to Kathy Ireland than to either her fellow Canadian Sarah Polley or her lookalike Rose McGowen), and was directed by a music video artist formerly known as Jaume, in his feature debut. These are not good signs but if you are like me you ignore them and go to see the work of Production Designer Grace Walken, who was responsible for the look of ""Ghost Ship"". Once again Walken's work is worth seeing, so much so that it looks like 90% of the movie's $30 million budget went to production design. The rest went to Cuthbert to compensate her for the abuse she has to take throughout the film (finger cut off, lips glued shut, tied up, and lots of wading around in assorted gooey stuff). By-the-bye, Cuthbert looks considerably heavier than she did in ""The Girl Next Door"", about one big pig-out away from having a major weight problem.<br /><br />Which means they had little left over to pay the rest of the cast and crew. And judging from the what was on the screen, this might actually be true. It looks like everyone else donated their time to get their first acting or crew credit. Unfortunately, whether it was inexperience or jealousy over the pay disparity, the contributions of all these inexperienced/incompetent volunteers amount to less than zero.<br /><br />Inexperienced Steven Window's DP work was about as awful as you are likely to see and working in league with an incompetent editor like Joel Negran (insert ""Pearl Harbor"" here) they manage to take away most of the value added by the production design group. Rather than linger over and showcase the sets, Window filmed this stuff with bad lighting and jerky-zooming-bobbing camera work. Negran compounded the problem with an insane number of disorienting cuts. Poor lighting, an ADD-like camera, and flurry cutting are what you use to hide cheap and crappy production design; not what is needed when the movie's only strength is its expensive and detailed sets.<br /><br />Chan Hayes did the screenplay and Charles Belden (who wrote the original story) is credited as the writer although except for the title and the use of wax figures there is absolutely no similarity. One saving grace is that the movie does not take itself seriously as a horror film and is mostly parody (insert ""Van Helsing"" here). The murders are played for laughs, too extreme to be scary or even creepy to anyone over age six. The audience particularly cracked up when a certain high profile hotel heiress got her homely face run through by an steel bar, although her earlier half-baked striptease was the only genuinely creepy thing in the film. Another comedy highlight was when Cuthbert sticks her finger through a grate and has it clipped off by the bad guy.<br /><br />The good scenes take place in Trudy's House of Wax, a waxworks that has something to do with a closed sugar mill, conjoined twins, and a lot of roadkill (which Cuthbert gets to bathe in). All this is supposed to be happening somewhere in rural Florida although from the many hills it sure looks like Paul Hogan's country (attention location scouts-the gulf coast is not noted for it's rolling terrain). The screenplay apparently intended to play up the connection (bad pun) between the two sets of twins, but somewhere during production or post-production most of the dialogue concerning this was trimmed. Since what is left about the twin connection makes no sense and goes nowhere, you wonder why it wasn't also cut to reduce the boredom factor.<br /><br />What is particularly sad is that the producers did not have the brains to recognize in mid-production that they had the ingredients for a first rate horror classic-even with the existing cast. What was staring them in the face was a chance to go somewhere with the illusion of a town of wax. Because it is a photographic medium, modern film is intrinsically naturalistic, almost without exception prone to creating an illusion of reality. Here they had a ready-made opportunity to give the photographic medium a theatrical element of extreme stylization. Like an impressionist painting, the town creates the illusion of reality from a distance but reveals itself as a highly stylized wax fabrication up close. Of course they would have had to find a visionary Director and DP to bring the thing off successfully, but everything else was already in place for this to happen."
Ohsumed,1828,test,"Deep femoral lymphadenectomy with preservation of the fascia lata. Preliminary report on 42 invasive vulvar carcinomas.  Forty-two patients with primary invasive vulvar carcinoma were treated with radical vulvectomy and deep femoral lymphadenectomy with preservation of the fascia lata and cribriform fascia.  The rationale for using this technique was based on anatomic knowledge of the topographic distribution of groin lymph nodes, which was confirmed by the study of 50 cadavers.  The preliminary data show that the number of superficial and deep femoral lymph nodes removed from the 42 patients (mean number of nodes, 20; range, 8-32) was similar to the number reported in anatomy books.  In addition, the five-year actuarial survival rate, 70%, was comparable to that in the literature.  These preliminary results suggest that the surgical technique used in this study is as radical an oncologic procedure as Way's classic groin lymphadenectomy, which consists of removing the fascia lata and cribriform fascia."
R8,854,test,citicorp cci rd qtr net shr profit dlrs vs profit dlrs net profit mln vs profit mln nine mths shr loss dlrs vs profit dlrs net loss billion vs profit mln note net in nine mths vs includes provision for possible credit losses of billion vs billion net in qtr vs includes provision for possible crit losses of mln vs mln assets billion vs billion loans billion vs billion deposits billion vs billion rd qtr reflects previously announced aftertax gain of mln from recognition of pension plan over funding and mln of tax benefits from the three billion provision net write offs in qtr vs totaled mln vs mln and in year to date vs of billion vs mln reuter
SST-2,483,validation,"Displaying about equal amounts of naiveté , passion and talent , Beneath Clouds establishes Sen as a filmmaker of considerable potential ."
R8,256,validation,cyclops cyl says dixons appointees resign cyclops corp said the three members of its board appointed last week by dixons group plc had resigned and that it named three cyclops executives to replace them cyclops said the moves followed the announcement earlier today by dixons that it received only pct of cyclops outstanding common stock under an extended tender offer that expired yesterday dixons initially ended its dlr a share tender offer on march after receiving pct of cyclops shares however the securities and exchange commission last friday pressed dixons to reopen the offer because the u k based company had dropped a condition that at least pct of cyclops stock be tendered by the close of the offer dixons then extended the offer until yesterday and earlier today indicated that a substantial number of tendered cyclops shares had been withdrawn leaving it with only shares or just over pct of the roughly mln cyclops shares outstanding dixons said today that it purchased the tendered shares which when combined with the shares it already holds gives it a pct stake in cyclops cyclops said its reconstituted board includes the three newly named directors and five outside directors all of whom were on the board prior to dixons tender offer the three cyclops directors were replaced by dixons appointees on march under an agreement reached between the two companies reuter
Ohsumed,1966,test,"Preprandial blood glucose values and glycemic responses in insulin-dependent diabetes mellitus at constant insulinemia.  The influence of preprandial blood glucose (PPBG) concentration on glycemic responses was studied in seven subjects with insulin-dependent diabetes who, by means of the artificial pancreas, had achieved PPBG concentrations of 6, 9, and 17 mmol/L.  A test meal of 50 g parboiled rice was given at the three different occasions and a constant insulin infusion was provided during the observation periods.  The mean postprandial-blood-glucose-response area (above basal) differed significantly at the three blood glucose concentrations of 6, 9, and 17 mmol/L, reaching 1371, 621, and 179 mmol/L x 240 min, respectively (P less than 0.01).  A negative correlation between the PPBG concentrations and the glycemic responses to the test meal was found (r = 0.94; P less than 0.001).  The fasting insulin concentration at a PPBG concentration of 17 mmol/L was lower than at a PPBG concentration of 6 and 9 mmol/L.  In conclusion, the glycemic responses to a carbohydrate meal are inversely correlated to the PPBG concentration in insulin-dependent diabetic subjects."
R8,1523,test,justice opposes quick greyhound trailways merger the justice department said it asked the government to proceed cautiously on a plan allowing the nation s two largest intercity bus companies to merge their operations a move one of the firms said may derail the deal justice s opposition to quick federal approval of a bid by greyhound lines inc to take immediate control trailways corp prompted greyhound to threaten in a brief filed with the interstate commerce commission icc to drop the merger plan greyhound officials told reuters late today the company hoped for icc action on the merger by tomorrow greyhound lines will go forward with the transaction only if it is permitted to assume immediate unconditional control of trailways operations and to integrate them with its operations greyhound said in a filing with the icc the federal regulatory agency which has the final say over mergers of interstate bus companies but justice had said in an earlier filing with the icc that it wanted the agency to move slowly on the plan and to turn down greyhound s request to begin operating trailways immediately the department has just begun to receive relevant information on trailways financial condition and is in the process of assessing the correctness of the company s allegations acting assistant attorney general charles rule said in comments submitted to the icc greyhound announced june that it wanted the icc to let it begin operating trailways immediately while continuing to evaluate the merger for possible antitrust problems greyhound said it would pay mln dlrs for many of trailways terminals buses and garages the two companies said in papers filed with the icc that trailways could collapse in a matter of days they said trailways owed suppliers more than six mln dlrs with another six mln dlrs due june the suppliers they said could force trailways into bankruptcy at any time trailways also owes a consortium of banks mln dlrs and the consortium has threatened to call the loan if trailways fails to pay the interest due june they said reuter
