split,index,nodes,total_values_for_nodes,edges,total_values_for_edges,total_values_for_graph
train,0,186,190464,2658,2658,193122
train,1,183,187392,2379,2379,189771
train,2,190,194560,2590,2590,197150
train,3,146,149504,2010,2010,151514
train,4,90,92160,986,986,93146
train,5,152,155648,2256,2256,157904
train,6,74,75776,882,882,76658
train,7,210,215040,3378,3378,218418
train,8,114,116736,1454,1454,118190
train,9,142,145408,1764,1764,147172
train,10,132,135168,1938,1938,137106
train,11,77,78848,891,891,79739
train,12,172,176128,2004,2004,178132
train,13,141,144384,2035,2035,146419
train,14,158,161792,2050,2050,163842
train,15,100,102400,1272,1272,103672
train,16,172,176128,2516,2516,178644
train,17,131,134144,1727,1727,135871
train,18,178,182272,2374,2374,184646
train,19,70,71680,788,788,72468
train,20,118,120832,1518,1518,122350
train,21,93,95232,1165,1165,96397
train,22,120,122880,1594,1594,124474
train,23,106,108544,1562,1562,110106
train,24,189,193536,2795,2795,196331
train,25,156,159744,2282,2282,162026
train,26,137,140288,1885,1885,142173
train,27,192,196608,2796,2796,199404
train,28,121,123904,1541,1541,125445
train,29,84,86016,1092,1092,87108
train,30,94,96256,1204,1204,97460
train,31,149,152576,2087,2087,154663
train,32,212,217088,2932,2932,220020
train,33,245,250880,3713,3713,254593
train,34,194,198656,2634,2634,201290
train,35,146,149504,1974,1974,151478
train,36,141,144384,2059,2059,146443
train,37,147,150528,1943,1943,152471
train,38,98,100352,1276,1276,101628
train,39,182,186368,2652,2652,189020
train,40,185,189440,2573,2573,192013
train,41,156,159744,2298,2298,162042
train,42,96,98304,1236,1236,99540
train,43,141,144384,1933,1933,146317
train,44,118,120832,1420,1420,122252
train,45,151,154624,2007,2007,156631
train,46,170,174080,2398,2398,176478
train,47,188,192512,2394,2394,194906
train,48,121,123904,1717,1717,125621
train,49,127,130048,1779,1779,131827
train,50,174,178176,2744,2744,180920
train,51,118,120832,1586,1586,122418
train,52,144,147456,1988,1988,149444
train,53,190,194560,2606,2606,197166
train,54,64,65536,726,726,66262
train,55,107,109568,1293,1293,110861
train,56,104,106496,1304,1304,107800
train,57,183,187392,2501,2501,189893
train,58,227,232448,3123,3123,235571
train,59,202,206848,3202,3202,210050
train,60,123,125952,1553,1553,127505
train,61,118,120832,1494,1494,122326
train,62,206,210944,2660,2660,213604
train,63,188,192512,2588,2588,195100
train,64,163,166912,2255,2255,169167
train,65,140,143360,1670,1670,145030
train,66,64,65536,730,730,66266
train,67,72,73728,724,724,74452
train,68,137,140288,1801,1801,142089
train,69,202,206848,2660,2660,209508
train,70,142,145408,1784,1784,147192
train,71,121,123904,1463,1463,125367
train,72,67,68608,711,711,69319
train,73,145,148480,1919,1919,150399
train,74,105,107520,1235,1235,108755
train,75,60,61440,658,658,62098
train,76,193,197632,2515,2515,200147
train,77,152,155648,1948,1948,157596
train,78,204,208896,2832,2832,211728
train,79,131,134144,1767,1767,135911
train,80,214,219136,2958,2958,222094
train,81,167,171008,2137,2137,173145
train,82,134,137216,1814,1814,139030
train,83,209,214016,2723,2723,216739
train,84,192,196608,2606,2606,199214
train,85,75,76800,971,971,77771
train,86,172,176128,2662,2662,178790
train,87,118,120832,1618,1618,122450
train,88,174,178176,2214,2214,180390
train,89,213,218112,2791,2791,220903
train,90,172,176128,2384,2384,178512
train,91,157,160768,2513,2513,163281
train,92,247,252928,3753,3753,256681
train,93,126,129024,1504,1504,130528
train,94,99,101376,1355,1355,102731
train,95,206,210944,2610,2610,213554
train,96,185,189440,2681,2681,192121
train,97,101,103424,1161,1161,104585
train,98,179,183296,2431,2431,185727
train,99,88,90112,1124,1124,91236
train,100,172,176128,2408,2408,178536
train,101,128,131072,1724,1724,132796
train,102,139,142336,1757,1757,144093
train,103,136,139264,1920,1920,141184
train,104,213,218112,2781,2781,220893
train,105,180,184320,2574,2574,186894
train,106,94,96256,1002,1002,97258
train,107,125,128000,1501,1501,129501
train,108,130,133120,1638,1638,134758
train,109,120,122880,1628,1628,124508
train,110,119,121856,1723,1723,123579
train,111,104,106496,1284,1284,107780
train,112,192,196608,2270,2270,198878
train,113,187,191488,2579,2579,194067
train,114,102,104448,1356,1356,105804
train,115,232,237568,3256,3256,240824
train,116,194,198656,2794,2794,201450
train,117,176,180224,2518,2518,182742
train,118,98,100352,1150,1150,101502
train,119,179,183296,2659,2659,185955
train,120,186,190464,3050,3050,193514
train,121,126,129024,1824,1824,130848
train,122,114,116736,1492,1492,118228
train,123,154,157696,2264,2264,159960
train,124,159,162816,2063,2063,164879
train,125,101,103424,1241,1241,104665
train,126,77,78848,899,899,79747
train,127,110,112640,1434,1434,114074
train,128,132,135168,1714,1714,136882
train,129,204,208896,3030,3030,211926
train,130,121,123904,1599,1599,125503
train,131,188,192512,2660,2660,195172
train,132,128,131072,1508,1508,132580
train,133,142,145408,1784,1784,147192
