split,index,nodes,total_values_for_nodes,edges,total_values_for_edges,total_values_for_graph
train,0,550,563200,10824,2078208,2641408
train,1,596,610304,11208,2151936,2762240
train,2,493,504832,9427,1809984,2314816
train,3,510,522240,8508,1633536,2155776
train,4,610,624640,11686,2243712,2868352
train,5,371,379904,5339,1025088,1404992
train,6,477,488448,8468,1625856,2114304
train,7,544,557056,9074,1742208,2299264
train,8,579,592896,10119,1942848,2535744
train,9,448,458752,7785,1494720,1953472
train,10,663,678912,12666,2431872,3110784
train,11,460,471040,7354,1411968,1883008
train,12,452,462848,7680,1474560,1937408
train,13,584,598016,10499,2015808,2613824
train,14,581,594944,11658,2238336,2833280
train,15,444,454656,7110,1365120,1819776
train,16,433,443392,7168,1376256,1819648
train,17,706,722944,14481,2780352,3503296
train,18,520,532480,9069,1741248,2273728
train,19,439,449536,7475,1435200,1884736
train,20,496,507904,9218,1769856,2277760
train,21,474,485376,8714,1673088,2158464
train,22,517,529408,9513,1826496,2355904
train,23,547,560128,10374,1991808,2551936
train,24,529,541696,9470,1818240,2359936
train,25,503,515072,9813,1884096,2399168
train,26,480,491520,8936,1715712,2207232
train,27,603,617472,11838,2272896,2890368
train,28,532,544768,8694,1669248,2214016
train,29,583,596992,11517,2211264,2808256
train,30,491,502784,9351,1795392,2298176
train,31,414,423936,6307,1210944,1634880
train,32,550,563200,10429,2002368,2565568
train,33,483,494592,7772,1492224,1986816
train,34,763,781312,13947,2677824,3459136
train,35,551,564224,10119,1942848,2507072
train,36,422,432128,6907,1326144,1758272
train,37,549,562176,9549,1833408,2395584
train,38,484,495616,7713,1480896,1976512
train,39,578,591872,10254,1968768,2560640
train,40,542,555008,10496,2015232,2570240
train,41,580,593920,10859,2084928,2678848
train,42,388,397312,5839,1121088,1518400
train,43,527,539648,9714,1865088,2404736
train,44,513,525312,8700,1670400,2195712
train,45,493,504832,8397,1612224,2117056
train,46,827,846848,15090,2897280,3744128
train,47,566,579584,9878,1896576,2476160
train,48,468,479232,8495,1631040,2110272
train,49,566,579584,10035,1926720,2506304
train,50,560,573440,10112,1941504,2514944
train,51,468,479232,7883,1513536,1992768
train,52,559,572416,10022,1924224,2496640
train,53,494,505856,8891,1707072,2212928
