split,index,nodes,total_values_for_nodes,edges,total_values_for_edges,total_values_for_graph
train,0,1111,1137664,19206,3687552,4825216
train,1,1261,1291264,21570,4141440,5432704
train,2,1013,1037312,17854,3427968,4465280
train,3,1236,1265664,21122,4055424,5321088
train,4,1318,1349632,22674,4353408,5703040
train,5,972,995328,16438,3156096,4151424
train,6,1052,1077248,18490,3550080,4627328
train,7,1310,1341440,22512,4322304,5663744
train,8,1342,1374208,23172,4449024,5823232
train,9,962,985088,16135,3097920,4083008
train,10,1764,1806336,34984,6716928,8523264
train,11,1195,1223680,20433,3923136,5146816
train,12,1048,1073152,18446,3541632,4614784
train,13,1357,1389568,23494,4510848,5900416
train,14,1156,1183744,19833,3807936,4991680
train,15,1095,1121280,19000,3648000,4769280
train,16,1029,1053696,18244,3502848,4556544
train,17,1461,1496064,25940,4980480,6476544
train,18,1165,1192960,19967,3833664,5026624
train,19,927,949248,14984,2876928,3826176
train,20,1053,1078272,18501,3552192,4630464
train,21,981,1004544,16744,3214848,4219392
train,22,1118,1144832,19299,3705408,4850240
train,23,1129,1156096,19448,3734016,4890112
train,24,1171,1199104,20057,3850944,5050048
train,25,1021,1045504,18137,3482304,4527808
train,26,1010,1034240,17819,3421248,4455488
train,27,1275,1305600,21831,4191552,5497152
train,28,1370,1402880,23779,4565568,5968448
train,29,1135,1162240,19531,3749952,4912192
train,30,984,1007616,16847,3234624,4242240
train,31,1060,1085440,18580,3567360,4652800
train,32,1126,1153024,19407,3726144,4879168
train,33,1181,1209344,20212,3880704,5090048
train,34,2350,2406400,47035,9030720,11437120
train,35,1180,1208320,20196,3877632,5085952
train,36,1029,1053696,18244,3502848,4556544
train,37,1283,1313792,21983,4220736,5534528
train,38,1197,1225728,20465,3929280,5155008
train,39,1360,1392640,23559,4523328,5915968
train,40,1111,1137664,19206,3687552,4825216
train,41,1282,1312768,21964,4217088,5529856
train,42,940,962560,15374,2951808,3914368
train,43,1150,1177600,19745,3791040,4968640
train,44,1224,1253376,20914,4015488,5268864
train,45,1192,1220608,20385,3913920,5134528
train,46,3097,3171328,64188,12324096,15495424
train,47,1559,1596416,28590,5489280,7085696
train,48,1019,1043456,18102,3475584,4519040
train,49,1319,1350656,22694,4357248,5707904
train,50,1266,1296384,21662,4159104,5455488
train,51,1119,1145856,19312,3707904,4853760
train,52,1257,1287168,21497,4127424,5414592
train,53,1076,1101824,18767,3603264,4705088
train,54,1199,1227776,20498,3935616,5163392
train,55,1403,1436672,24530,4709760,6146432
train,56,1276,1306624,21850,4195200,5501824
train,57,1518,1554432,27441,5268672,6823104
train,58,1167,1195008,19997,3839424,5034432
train,59,1243,1272832,21245,4079040,5351872
train,60,951,973824,15736,3021312,3995136
train,61,1150,1177600,19745,3791040,4968640
train,62,1170,1198080,20042,3848064,5046144
train,63,1065,1090560,18637,3578304,4668864
train,64,1336,1368064,23046,4424832,5792896
train,65,1311,1342464,22532,4326144,5668608
train,66,1030,1054720,18254,3504768,4559488
train,67,1432,1466368,25220,4842240,6308608
train,68,1174,1202176,20103,3859776,5061952
train,69,1072,1097728,18719,3594048,4691776
train,70,1010,1034240,17784,3414528,4448768
train,71,1116,1142784,19272,3700224,4843008
train,72,1169,1197056,20027,3845184,5042240
train,73,1143,1170432,19644,3771648,4942080
train,74,1032,1056768,18275,3508800,4565568
train,75,1090,1116160,18937,3635904,4752064
train,76,1172,1200128,20073,3854016,5054144
train,77,1311,1342464,22532,4326144,5668608
train,78,1051,1076224,18479,3547968,4624192
train,79,1018,1042432,18102,3475584,4518016
train,80,1360,1392640,23559,4523328,5915968
train,81,1272,1302528,21774,4180608,5483136
train,82,980,1003520,16710,3208320,4211840
train,83,1252,1282048,21407,4110144,5392192
train,84,1184,1212416,20258,3889536,5101952
train,85,1177,1205248,20149,3868608,5073856
train,86,1215,1244160,20762,3986304,5230464
train,87,992,1015808,17260,3313920,4329728
train,88,1107,1133568,19153,3677376,4810944
train,89,1171,1199104,20057,3850944,5050048
train,90,1105,1131520,19127,3672384,4803904
train,91,988,1011712,16984,3260928,4272640
train,92,1050,1075200,18468,3545856,4621056
train,93,1096,1122304,19012,3650304,4772608
train,94,1001,1025024,17434,3347328,4372352
train,95,1065,1090560,18637,3578304,4668864
train,96,1227,1256448,20965,4025280,5281728
train,97,1285,1315840,22021,4228032,5543872
train,98,1034,1058816,18296,3512832,4571648
train,99,1452,1486848,25714,4937088,6423936
train,100,1125,1152000,19393,3723456,4875456
train,101,1032,1056768,18275,3508800,4565568
train,102,1471,1506304,26196,5029632,6535936
train,103,1060,1085440,18580,3567360,4652800
train,104,1143,1170432,19644,3771648,4942080
train,105,1333,1364992,22983,4412736,5777728
train,106,1077,1102848,18779,3605568,4708416
train,107,1192,1220608,20385,3913920,5134528
train,108,1104,1130496,19114,3669888,4800384
train,109,1367,1399808,23713,4552896,5952704
train,110,1351,1383424,23364,4485888,5869312
