split,index,nodes,total_values_for_nodes,edges,total_values_for_edges,total_values_for_graph
train,0,60,61440,1568,301056,362496
train,1,16,16384,112,21504,37888
train,2,35,35840,534,102528,138368
train,3,20,20480,174,33408,53888
train,4,42,43008,768,147456,190464
train,5,24,24576,251,48192,72768
train,6,14,14336,85,16320,30656
train,7,21,21504,192,36864,58368
train,8,20,20480,174,33408,53888
train,9,33,33792,474,91008,124800
train,10,32,32768,446,85632,118400
train,11,23,23552,230,44160,67712
train,12,26,26624,295,56640,83264
train,13,10,10240,44,8448,18688
train,14,14,14336,85,16320,30656
train,15,15,15360,98,18816,34176
train,16,29,29696,366,70272,99968
train,17,9,9216,35,6720,15936
train,18,21,21504,192,36864,58368
train,19,33,33792,474,91008,124800
train,20,13,13312,74,14208,27520
train,21,4,4096,7,1344,5440
train,22,37,37888,596,114432,152320
train,23,18,18432,141,27072,45504
train,24,12,12288,63,12096,24384
train,25,19,19456,157,30144,49600
train,26,22,22528,211,40512,63040
train,27,31,31744,419,80448,112192
train,28,20,20480,174,33408,53888
train,29,5,5120,11,2112,7232
train,30,33,33792,474,91008,124800
train,31,23,23552,230,44160,67712
train,32,4,4096,7,1344,5440
train,33,23,23552,230,44160,67712
train,34,39,39936,663,127296,167232
train,35,35,35840,534,102528,138368
train,36,42,43008,768,147456,190464
train,37,35,35840,534,102528,138368
train,38,36,36864,565,108480,145344
train,39,37,37888,596,114432,152320
train,40,28,28672,342,65664,94336
train,41,17,17408,126,24192,41600
train,42,15,15360,98,18816,34176
train,43,15,15360,98,18816,34176
train,44,36,36864,565,108480,145344
train,45,17,17408,126,24192,41600
train,46,24,24576,251,48192,72768
train,47,28,28672,342,65664,94336
train,48,41,41984,732,140544,182528
train,49,18,18432,141,27072,45504
train,50,15,15360,98,18816,34176
train,51,29,29696,366,70272,99968
train,52,30,30720,392,75264,105984
train,53,27,27648,318,61056,88704
train,54,17,17408,126,24192,41600
train,55,27,27648,318,61056,88704
train,56,16,16384,112,21504,37888
train,57,4,4096,7,1344,5440
train,58,33,33792,474,91008,124800
train,59,26,26624,295,56640,83264
train,60,5,5120,11,2112,7232
train,61,37,37888,596,114432,152320
train,62,24,24576,251,48192,72768
train,63,18,18432,141,27072,45504
train,64,5,5120,11,2112,7232
train,65,16,16384,112,21504,37888
train,66,22,22528,211,40512,63040
train,67,24,24576,251,48192,72768
train,68,22,22528,211,40512,63040
train,69,43,44032,805,154560,198592
train,70,7,7168,21,4032,11200
train,71,15,15360,98,18816,34176
train,72,23,23552,230,44160,67712
train,73,37,37888,596,114432,152320
train,74,9,9216,35,6720,15936
train,75,20,20480,174,33408,53888
train,76,15,15360,98,18816,34176
train,77,36,36864,565,108480,145344
train,78,23,23552,230,44160,67712
train,79,33,33792,474,91008,124800
train,80,13,13312,74,14208,27520
train,81,12,12288,63,12096,24384
train,82,22,22528,211,40512,63040
train,83,10,10240,44,8448,18688
train,84,35,35840,534,102528,138368
train,85,20,20480,174,33408,53888
train,86,25,25600,272,52224,77824
train,87,28,28672,342,65664,94336
train,88,34,34816,504,96768,131584
train,89,11,11264,53,10176,21440
train,90,6,6144,16,3072,9216
train,91,30,30720,392,75264,105984
