split,index,nodes,total_values_for_nodes,edges,total_values_for_edges,total_values_for_graph
train,0,63,48384,3969,571536,619920
train,1,17,13056,289,41616,54672
train,2,39,29952,1521,219024,248976
train,3,21,16128,441,63504,79632
train,4,44,33792,1936,278784,312576
train,5,25,19200,625,90000,109200
train,6,16,12288,256,36864,49152
train,7,23,17664,529,76176,93840
train,8,22,16896,484,69696,86592
train,9,36,27648,1296,186624,214272
train,10,36,27648,1296,186624,214272
train,11,26,19968,676,97344,117312
train,12,28,21504,784,112896,134400
train,13,12,9216,144,20736,29952
train,14,18,13824,324,46656,60480
train,15,19,14592,361,51984,66576
train,16,31,23808,961,138384,162192
train,17,11,8448,121,17424,25872
train,18,24,18432,576,82944,101376
train,19,34,26112,1156,166464,192576
train,20,14,10752,196,28224,38976
train,21,5,3840,25,3600,7440
train,22,41,31488,1681,242064,273552
train,23,20,15360,400,57600,72960
train,24,14,10752,196,28224,38976
train,25,21,16128,441,63504,79632
train,26,23,17664,529,76176,93840
train,27,34,26112,1156,166464,192576
train,28,24,18432,576,82944,101376
train,29,7,5376,49,7056,12432
train,30,34,26112,1156,166464,192576
train,31,25,19200,625,90000,109200
train,32,7,5376,49,7056,12432
train,33,25,19200,625,90000,109200
train,34,41,31488,1681,242064,273552
train,35,38,29184,1444,207936,237120
train,36,44,33792,1936,278784,312576
train,37,39,29952,1521,219024,248976
train,38,39,29952,1521,219024,248976
train,39,44,33792,1936,278784,312576
train,40,31,23808,961,138384,162192
train,41,19,14592,361,51984,66576
train,42,18,13824,324,46656,60480
train,43,17,13056,289,41616,54672
train,44,36,27648,1296,186624,214272
train,45,19,14592,361,51984,66576
train,46,27,20736,729,104976,125712
train,47,31,23808,961,138384,162192
train,48,44,33792,1936,278784,312576
train,49,19,14592,361,51984,66576
train,50,17,13056,289,41616,54672
train,51,33,25344,1089,156816,182160
train,52,33,25344,1089,156816,182160
train,53,31,23808,961,138384,162192
train,54,19,14592,361,51984,66576
train,55,28,21504,784,112896,134400
train,56,18,13824,324,46656,60480
train,57,5,3840,25,3600,7440
train,58,36,27648,1296,186624,214272
train,59,30,23040,900,129600,152640
train,60,8,6144,64,9216,15360
train,61,40,30720,1600,230400,261120
train,62,25,19200,625,90000,109200
train,63,20,15360,400,57600,72960
train,64,5,3840,25,3600,7440
train,65,20,15360,400,57600,72960
train,66,24,18432,576,82944,101376
train,67,25,19200,625,90000,109200
train,68,23,17664,529,76176,93840
train,69,46,35328,2116,304704,340032
train,70,9,6912,81,11664,18576
train,71,18,13824,324,46656,60480
train,72,25,19200,625,90000,109200
train,73,38,29184,1444,207936,237120
train,74,11,8448,121,17424,25872
train,75,23,17664,529,76176,93840
train,76,17,13056,289,41616,54672
train,77,39,29952,1521,219024,248976
train,78,27,20736,729,104976,125712
train,79,34,26112,1156,166464,192576
train,80,16,12288,256,36864,49152
train,81,14,10752,196,28224,38976
train,82,24,18432,576,82944,101376
train,83,12,9216,144,20736,29952
train,84,36,27648,1296,186624,214272
train,85,25,19200,625,90000,109200
train,86,26,19968,676,97344,117312
train,87,34,26112,1156,166464,192576
train,88,38,29184,1444,207936,237120
train,89,13,9984,169,24336,34320
train,90,8,6144,64,9216,15360
