split,index,nodes,total_values_for_nodes,edges,total_values_for_edges,total_values_for_graph
train,0,473,363264,11929,1717776,2081040
train,1,556,427008,14965,2154960,2581968
train,2,434,333312,10103,1454832,1788144
train,3,445,341760,10604,1526976,1868736
train,4,522,400896,13104,1886976,2287872
train,5,335,257280,6803,979632,1236912
train,6,397,304896,9010,1297440,1602336
train,7,460,353280,10741,1546704,1899984
train,8,505,387840,11668,1680192,2068032
train,9,398,305664,9358,1347552,1653216
train,10,595,456960,15427,2221488,2678448
train,11,408,313344,9315,1341360,1654704
train,12,392,301056,8622,1241568,1542624
train,13,472,362496,10820,1558080,1920576
train,14,471,361728,11489,1654416,2016144
train,15,372,285696,7982,1149408,1435104
train,16,381,292608,8508,1225152,1517760
train,17,605,464640,15395,2216880,2681520
train,18,422,324096,9691,1395504,1719600
train,19,402,308736,9412,1355328,1664064
train,20,431,331008,9929,1429776,1760784
train,21,409,314112,9553,1375632,1689744
train,22,449,344832,10875,1566000,1910832
train,23,478,367104,11465,1650960,2018064
train,24,481,369408,12141,1748304,2117712
train,25,443,340224,10807,1556208,1896432
train,26,418,321024,10039,1445616,1766640
train,27,522,400896,13159,1894896,2295792
train,28,463,355584,10624,1529856,1885440
train,29,498,382464,12781,1840464,2222928
train,30,419,321792,9914,1427616,1749408
train,31,350,268800,7594,1093536,1362336
train,32,497,381696,11794,1698336,2080032
train,33,424,325632,9487,1366128,1691760
train,34,675,518400,16594,2389536,2907936
train,35,492,377856,11628,1674432,2052288
train,36,373,286464,8194,1179936,1466400
train,37,461,354048,10837,1560528,1914576
train,38,430,330240,9505,1368720,1698960
train,39,503,386304,12259,1765296,2151600
train,40,442,339456,11243,1618992,1958448
train,41,507,389376,12804,1843776,2233152
train,42,334,256512,7023,1011312,1267824
train,43,478,367104,12250,1764000,2131104
train,44,435,334080,9857,1419408,1753488
train,45,443,340224,10469,1507536,1847760
train,46,728,559104,18432,2654208,3213312
train,47,504,387072,12429,1789776,2176848
train,48,415,318720,9653,1390032,1708752
train,49,521,400128,12697,1828368,2228496
train,50,514,394752,12301,1771344,2166096
train,51,409,314112,9379,1350576,1664688
train,52,472,362496,10957,1577808,1940304
train,53,423,324864,9903,1426032,1750896
train,54,385,295680,8305,1195920,1491600
train,55,528,405504,13465,1938960,2344464
train,56,438,336384,10476,1508544,1844928
train,57,540,414720,14174,2041056,2455776
train,58,443,340224,10232,1473408,1813632
train,59,449,344832,10121,1457424,1802256
train,60,415,318720,9437,1358928,1677648
train,61,489,375552,11871,1709424,2084976
train,62,441,338688,9953,1433232,1771920
train,63,548,420864,15397,2217168,2638032
train,64,467,358656,11023,1587312,1945968
train,65,481,369408,11034,1588896,1958304
train,66,467,358656,11587,1668528,2027184
train,67,599,460032,15731,2265264,2725296
train,68,436,334848,10611,1527984,1862832
train,69,434,333312,10738,1546272,1879584
train,70,377,289536,8022,1155168,1444704
train,71,419,321792,9596,1381824,1703616
train,72,476,365568,11675,1681200,2046768
train,73,492,377856,11937,1718928,2096784
train,74,373,286464,7788,1121472,1407936
train,75,385,295680,8516,1226304,1521984
train,76,447,343296,10519,1514736,1858032
train,77,471,361728,10655,1534320,1896048
train,78,427,327936,9894,1424736,1752672
train,79,413,317184,9694,1395936,1713120
train,80,502,385536,11943,1719792,2105328
train,81,414,317952,8718,1255392,1573344
train,82,362,278016,7809,1124496,1402512
train,83,522,400896,13231,1905264,2306160
train,84,535,410880,14023,2019312,2430192
train,85,461,354048,11231,1617264,1971312
train,86,483,370944,11572,1666368,2037312
train,87,435,334080,11016,1586304,1920384
train,88,476,365568,11587,1668528,2034096
train,89,452,347136,10271,1479024,1826160
train,90,559,429312,15400,2217600,2646912
train,91,414,317952,10030,1444320,1762272
train,92,498,382464,12924,1861056,2243520
train,93,452,347136,11022,1587168,1934304
train,94,347,266496,7293,1050192,1316688
train,95,404,310272,9301,1339344,1649616
train,96,411,315648,8670,1248480,1564128
train,97,505,387840,12472,1795968,2183808
train,98,366,281088,8016,1154304,1435392
train,99,439,337152,9908,1426752,1763904
train,100,434,333312,10022,1443168,1776480
train,101,381,292608,8892,1280448,1573056
train,102,587,450816,15018,2162592,2613408
train,103,521,400128,13718,1975392,2375520
train,104,429,329472,9615,1384560,1714032
train,105,492,377856,11983,1725552,2103408
train,106,404,310272,9366,1348704,1658976
train,107,502,385536,12314,1773216,2158752
train,108,458,351744,10889,1568016,1919760
train,109,574,440832,15262,2197728,2638560
train,110,601,461568,16074,2314656,2776224
train,111,391,300288,8798,1266912,1567200
train,112,504,387072,12608,1815552,2202624
train,113,566,434688,14606,2103264,2537952
train,114,420,322560,9875,1422000,1744560
train,115,422,324096,8854,1274976,1599072
train,116,396,304128,9534,1372896,1677024
train,117,522,400896,12914,1859616,2260512
train,118,464,356352,10380,1494720,1851072
train,119,499,383232,11919,1716336,2099568
train,120,442,339456,10643,1532592,1872048
train,121,465,357120,11372,1637568,1994688
train,122,448,344064,10965,1578960,1923024
train,123,412,316416,9317,1341648,1658064
train,124,391,300288,8432,1214208,1514496
train,125,509,390912,12420,1788480,2179392
train,126,384,294912,8519,1226736,1521648
train,127,447,343296,10797,1554768,1898064
train,128,501,384768,12851,1850544,2235312
train,129,361,277248,8164,1175616,1452864
train,130,518,397824,12487,1798128,2195952
train,131,496,380928,12397,1785168,2166096
train,132,419,321792,10105,1455120,1776912
train,133,435,334080,10356,1491264,1825344
train,134,487,374016,11998,1727712,2101728
train,135,518,397824,12714,1830816,2228640
train,136,501,384768,12585,1812240,2197008
train,137,490,376320,11833,1703952,2080272
train,138,652,500736,17261,2485584,2986320
train,139,460,353280,10957,1577808,1931088
train,140,512,393216,12335,1776240,2169456
train,141,549,421632,14639,2108016,2529648
train,142,378,290304,8165,1175760,1466064
train,143,530,407040,14039,2021616,2428656
train,144,347,266496,6949,1000656,1267152
train,145,441,338688,10353,1490832,1829520
train,146,438,336384,10186,1466784,1803168
train,147,549,421632,14553,2095632,2517264
train,148,464,356352,10865,1564560,1920912
train,149,446,342528,10759,1549296,1891824
train,150,702,539136,18208,2621952,3161088
train,151,475,364800,11202,1613088,1977888
train,152,480,368640,12019,1730736,2099376
train,153,638,489984,16822,2422368,2912352
train,154,485,372480,12239,1762416,2134896
train,155,406,311808,9435,1358640,1670448
train,156,654,502272,16749,2411856,2914128
train,157,473,363264,10828,1559232,1922496
train,158,394,302592,8739,1258416,1561008
train,159,537,412416,12776,1839744,2252160
train,160,465,357120,11152,1605888,1963008
train,161,456,350208,10753,1548432,1898640
train,162,432,331776,10587,1524528,1856304
train,163,555,426240,13981,2013264,2439504
train,164,389,298752,8740,1258560,1557312
train,165,479,367872,11676,1681344,2049216
train,166,456,350208,10127,1458288,1808496
train,167,685,526080,17673,2544912,3070992
train,168,418,321024,9780,1408320,1729344
train,169,457,350976,10247,1475568,1826544
train,170,566,434688,14872,2141568,2576256
train,171,561,430848,14323,2062512,2493360
train,172,458,351744,11328,1631232,1982976
train,173,477,366336,10992,1582848,1949184
train,174,483,370944,11583,1667952,2038896
train,175,492,377856,11741,1690704,2068560
train,176,445,341760,10063,1449072,1790832
train,177,419,321792,9493,1366992,1688784
train,178,434,333312,10248,1475712,1809024
train,179,449,344832,10772,1551168,1896000
train,180,367,281856,8253,1188432,1470288
train,181,465,357120,11217,1615248,1972368
train,182,437,335616,10144,1460736,1796352
train,183,401,307968,9064,1305216,1613184
train,184,396,304128,8904,1282176,1586304
train,185,540,414720,13756,1980864,2395584
train,186,521,400128,13926,2005344,2405472
train,187,450,345600,9542,1374048,1719648
train,188,501,384768,12820,1846080,2230848
train,189,451,346368,10622,1529568,1875936
train,190,317,243456,6263,901872,1145328
train,191,378,290304,7729,1112976,1403280
train,192,527,404736,13893,2000592,2405328
train,193,409,314112,9983,1437552,1751664
train,194,381,292608,8312,1196928,1489536
train,195,388,297984,8201,1180944,1478928
train,196,449,344832,10422,1500768,1845600
train,197,411,315648,8336,1200384,1516032
train,198,471,361728,11175,1609200,1970928
train,199,412,316416,9461,1362384,1678800
train,200,384,294912,8525,1227600,1522512
train,201,563,432384,13703,1973232,2405616
train,202,419,321792,9664,1391616,1713408
train,203,476,365568,11727,1688688,2054256
train,204,474,364032,11124,1601856,1965888
train,205,417,320256,8903,1282032,1602288
train,206,404,310272,8997,1295568,1605840
train,207,531,407808,13385,1927440,2335248
train,208,449,344832,11137,1603728,1948560
train,209,438,336384,9870,1421280,1757664
train,210,515,395520,13011,1873584,2269104
train,211,592,454656,15686,2258784,2713440
train,212,432,331776,10696,1540224,1872000
train,213,470,360960,11815,1701360,2062320
train,214,512,393216,13423,1932912,2326128
train,215,383,294144,8726,1256544,1550688
train,216,382,293376,8664,1247616,1540992
train,217,451,346368,10500,1512000,1858368
train,218,392,301056,8535,1229040,1530096
train,219,462,354816,10548,1518912,1873728
train,220,476,365568,12295,1770480,2136048
train,221,488,374784,12021,1731024,2105808
train,222,434,333312,9658,1390752,1724064
train,223,405,311040,8888,1279872,1590912
train,224,513,393984,12648,1821312,2215296
train,225,489,375552,12480,1797120,2172672
train,226,443,340224,10719,1543536,1883760
train,227,420,322560,9934,1430496,1753056
train,228,450,345600,10703,1541232,1886832
train,229,388,297984,8150,1173600,1471584
