split,index,nodes,total_values_for_nodes,edges,total_values_for_edges,total_values_for_graph
train,0,45,34560,862,124128,158688
train,1,15,11520,96,13824,25344
train,2,32,24576,436,62784,87360
train,3,19,14592,154,22176,36768
train,4,37,28416,583,83952,112368
train,5,20,15360,170,24480,39840
train,6,13,9984,72,10368,20352
train,7,19,14592,154,22176,36768
train,8,19,14592,154,22176,36768
train,9,27,20736,310,44640,65376
train,10,29,22272,358,51552,73824
train,11,22,16896,206,29664,46560
train,12,22,16896,206,29664,46560
train,13,10,7680,43,6192,13872
train,14,15,11520,96,13824,25344
train,15,17,13056,123,17712,30768
train,16,25,19200,266,38304,57504
train,17,8,6144,27,3888,10032
train,18,21,16128,188,27072,43200
train,19,31,23808,409,58896,82704
train,20,12,9216,61,8784,18000
train,21,3,2304,4,576,2880
train,22,34,26112,492,70848,96960
train,23,17,13056,123,17712,30768
train,24,12,9216,61,8784,18000
train,25,18,13824,138,19872,33696
train,26,19,14592,154,22176,36768
train,27,29,22272,358,51552,73824
train,28,19,14592,154,22176,36768
train,29,5,3840,11,1584,5424
train,30,32,24576,436,62784,87360
train,31,22,16896,206,29664,46560
train,32,5,3840,11,1584,5424
train,33,20,15360,170,24480,39840
train,34,35,26880,522,75168,102048
train,35,29,22272,358,51552,73824
train,36,30,23040,383,55152,78192
train,37,33,25344,464,66816,92160
train,38,34,26112,492,70848,96960
train,39,35,26880,522,75168,102048
train,40,26,19968,288,41472,61440
train,41,17,13056,123,17712,30768
train,42,12,9216,61,8784,18000
train,43,15,11520,96,13824,25344
train,44,29,22272,358,51552,73824
train,45,17,13056,123,17712,30768
train,46,21,16128,188,27072,43200
train,47,27,20736,310,44640,65376
train,48,37,28416,583,83952,112368
train,49,14,10752,84,12096,22848
train,50,13,9984,72,10368,20352
train,51,28,21504,334,48096,69600
train,52,29,22272,358,51552,73824
train,53,25,19200,266,38304,57504
train,54,16,12288,109,15696,27984
train,55,25,19200,266,38304,57504
train,56,13,9984,72,10368,20352
train,57,3,2304,4,576,2880
train,58,31,23808,409,58896,82704
train,59,26,19968,288,41472,61440
train,60,6,4608,15,2160,6768
train,61,29,22272,358,51552,73824
train,62,21,16128,188,27072,43200
train,63,16,12288,109,15696,27984
train,64,3,2304,4,576,2880
train,65,16,12288,109,15696,27984
train,66,20,15360,170,24480,39840
train,67,21,16128,188,27072,43200
train,68,20,15360,170,24480,39840
train,69,35,26880,522,75168,102048
train,70,7,5376,21,3024,8400
train,71,14,10752,84,12096,22848
train,72,22,16896,206,29664,46560
train,73,32,24576,436,62784,87360
train,74,9,6912,35,5040,11952
train,75,21,16128,188,27072,43200
train,76,15,11520,96,13824,25344
train,77,33,25344,464,66816,92160
train,78,19,14592,170,24480,39072
train,79,26,19968,288,41472,61440
train,80,14,10752,84,12096,22848
train,81,12,9216,61,8784,18000
train,82,20,15360,170,24480,39840
train,83,10,7680,43,6192,13872
train,84,31,23808,409,58896,82704
train,85,20,15360,170,24480,39840
train,86,24,18432,245,35280,53712
train,87,26,19968,288,41472,61440
train,88,32,24576,436,62784,87360
train,89,11,8448,52,7488,15936
train,90,6,4608,15,2160,6768
train,91,33,25344,464,66816,92160
train,92,16,12288,109,15696,27984
train,93,16,12288,109,15696,27984
train,94,9,6912,35,5040,11952
train,95,20,15360,170,24480,39840
train,96,32,24576,436,62784,87360
train,97,15,11520,96,13824,25344
train,98,16,12288,109,15696,27984
train,99,24,18432,266,38304,56736
train,100,18,13824,138,19872,33696
train,101,26,19968,288,41472,61440
train,102,29,22272,358,51552,73824
train,103,43,33024,787,113328,146352
train,104,18,13824,138,19872,33696
train,105,34,26112,492,70848,96960
train,106,18,13824,138,19872,33696
train,107,18,13824,138,19872,33696
train,108,19,14592,154,22176,36768
train,109,16,12288,109,15696,27984
train,110,16,12288,109,15696,27984
train,111,26,19968,288,41472,61440
train,112,31,23808,409,58896,82704
train,113,20,15360,170,24480,39840
train,114,15,11520,96,13824,25344
train,115,16,12288,109,15696,27984
train,116,5,3840,11,1584,5424
train,117,20,15360,170,24480,39840
train,118,10,7680,43,6192,13872
train,119,54,41472,1241,178704,220176
train,120,9,6912,35,5040,11952
train,121,21,16128,188,27072,43200
train,122,7,5376,21,3024,8400
train,123,26,19968,288,41472,61440
