split,index,nodes,total_values_for_nodes,edges,total_values_for_edges,total_values_for_graph
train,0,1145,879360,19266,2774304,3653664
train,1,1320,1013760,22850,3290400,4304160
train,2,1062,815616,17475,2516400,3332016
train,3,1281,983808,22077,3179088,4162896
train,4,1333,1023744,23123,3329712,4353456
train,5,1002,769536,16291,2345904,3115440
train,6,1068,820224,17598,2534112,3354336
train,7,1401,1075968,24588,3540672,4616640
train,8,1374,1055232,24037,3461328,4516560
train,9,995,764160,16128,2322432,3086592
train,10,1848,1419264,33870,4877280,6296544
train,11,1215,933120,20668,2976192,3909312
train,12,1114,855552,18596,2677824,3533376
train,13,1335,1025280,23166,3335904,4361184
train,14,1192,915456,20183,2906352,3821808
train,15,1132,869376,19014,2738016,3607392
train,16,1059,813312,17414,2507616,3320928
train,17,1543,1185024,27518,3962592,5147616
train,18,1208,927744,20518,2954592,3882336
train,19,957,734976,15286,2201184,2936160
train,20,1103,847104,18348,2642112,3489216
train,21,1065,817920,17536,2525184,3343104
train,22,1122,861696,18780,2704320,3566016
train,23,1187,911616,20080,2891520,3803136
train,24,1202,923136,20391,2936304,3859440
train,25,1069,820992,17618,2536992,3357984
train,26,1053,808704,17293,2490192,3298896
train,27,1312,1007616,22686,3266784,4274400
train,28,1507,1157376,26830,3863520,5020896
train,29,1170,898560,19741,2842704,3741264
train,30,1042,800256,17077,2459088,3259344
train,31,1125,864000,18850,2714400,3578400
train,32,1213,931584,20625,2970000,3901584
train,33,1206,926208,20475,2948400,3874608
train,34,2465,1893120,46722,6727968,8621088
train,35,1216,933888,20690,2979360,3913248
train,36,1080,829440,17849,2570256,3399696
train,37,1349,1036032,23471,3379824,4415856
train,38,1275,979200,21964,3162816,4142016
train,39,1449,1112832,25539,3677616,4790448
train,40,1133,870144,19037,2741328,3611472
train,41,1359,1043712,23694,3411936,4455648
train,42,967,742656,15501,2232144,2974800
train,43,1185,910080,20040,2885760,3795840
train,44,1255,963840,21572,3106368,4070208
train,45,1218,935424,20734,2985696,3921120
train,46,3125,2400000,60536,8717184,11117184
train,47,1611,1237248,28950,4168800,5406048
train,48,1053,808704,17293,2490192,3298896
train,49,1330,1021440,23059,3320496,4341936
train,50,1321,1014528,22871,3293424,4307952
train,51,1170,898560,19741,2842704,3741264
train,52,1317,1011456,22788,3281472,4292928
train,53,1131,868608,18990,2734560,3603168
train,54,1257,965376,21619,3113136,4078512
train,55,1493,1146624,26504,3816576,4963200
train,56,1293,993024,22307,3212208,4205232
train,57,1567,1203456,27999,4031856,5235312
train,58,1259,966912,21666,3119904,4086816
train,59,1297,996096,22385,3223440,4219536
train,60,967,742656,15501,2232144,2974800
train,61,1196,918528,20265,2918160,3836688
train,62,1237,950016,21156,3046464,3996480
train,63,1126,864768,18873,2717712,3582480
train,64,1435,1102080,25250,3636000,4738080
train,65,1359,1043712,23694,3411936,4455648
train,66,1045,802560,17136,2467584,3270144
train,67,1573,1208064,28123,4049712,5257776
train,68,1234,947712,21088,3036672,3984384
train,69,1119,859392,18711,2694384,3553776
train,70,1057,811776,17374,2501856,3313632
train,71,1161,891648,19567,2817648,3709296
train,72,1196,918528,20265,2918160,3836688
train,73,1196,918528,20265,2918160,3836688
train,74,1055,810240,17334,2496096,3306336
train,75,1162,892416,19586,2820384,3712800
train,76,1203,923904,20412,2939328,3863232
train,77,1334,1024512,23145,3332880,4357392
train,78,1156,887808,19472,2803968,3691776
train,79,1045,802560,17136,2467584,3270144
train,80,1378,1058304,24130,3474720,4533024
train,81,1315,1009920,22747,3275568,4285488
train,82,1000,768000,16244,2339136,3107136
train,83,1316,1010688,22767,3278448,4289136
train,84,1212,930816,20604,2966976,3897792
train,85,1184,909312,20019,2882736,3792048
train,86,1261,968448,21708,3125952,4094400
train,87,1024,786432,16735,2409840,3196272
train,88,1169,897792,19721,2839824,3737616
train,89,1233,946944,21066,3033504,3980448
train,90,1167,896256,19682,2834208,3730464
train,91,1019,782592,16643,2396592,3179184
