Some weights of RobertaModel were not initialized from the model checkpoint at FacebookAI/roberta-large and are newly initialized: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[I 2024-12-10 05:17:42,271] Using an existing study with name 'IMDb-top_1000-GATv2-FacebookAI-roberta-large-Grouped-No_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (1113 > 512). Running this sequence through the model will result in indexing errors
[I 2024-12-10 05:35:33,358] Trial 92 finished with value: 0.8909090909090909 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9685611727326353, 'batch_size': 43, 'attention_heads': 11, 'hidden_dimension': 43, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4444170702940206, 'global_pooling': 'max', 'learning_rate': 0.004588723754919075, 'weight_decay': 7.203821205189772e-06, 'beta_0': 0.8292291896419847, 'beta_1': 0.9811001250608548, 'epsilon': 1.3250791030197805e-06, 'balanced_loss': False, 'epochs': 165, 'early_stopping_patience': 13, 'plateau_patience': 19, 'plateau_divider': 8}. Best is trial 89 with value: 0.9454545454545454.
[I 2024-12-10 05:53:01,726] Trial 93 finished with value: 0.9030303030303031 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9708245533836732, 'batch_size': 40, 'attention_heads': 9, 'hidden_dimension': 34, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4654089898344934, 'global_pooling': 'max', 'learning_rate': 0.006891090936551813, 'weight_decay': 5.553370214174812e-06, 'beta_0': 0.8205644596060812, 'beta_1': 0.9821094518512538, 'epsilon': 8.594580357134839e-07, 'balanced_loss': False, 'epochs': 172, 'early_stopping_patience': 12, 'plateau_patience': 18, 'plateau_divider': 8}. Best is trial 89 with value: 0.9454545454545454.
[I 2024-12-10 06:11:38,832] Trial 94 finished with value: 0.9212121212121213 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9597219010701489, 'batch_size': 50, 'attention_heads': 9, 'hidden_dimension': 42, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4392499488134854, 'global_pooling': 'max', 'learning_rate': 0.0025003876953319164, 'weight_decay': 4.214961073987369e-06, 'beta_0': 0.8127993141494455, 'beta_1': 0.9803331848990481, 'epsilon': 2.700961779997956e-06, 'balanced_loss': False, 'epochs': 167, 'early_stopping_patience': 10, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 89 with value: 0.9454545454545454.
[I 2024-12-10 06:29:33,721] Trial 95 finished with value: 0.9030303030303031 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9662259056102298, 'batch_size': 34, 'attention_heads': 10, 'hidden_dimension': 48, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4565096390713451, 'global_pooling': 'max', 'learning_rate': 0.0054744326069409, 'weight_decay': 1.1752003418812842e-05, 'beta_0': 0.8325742528313844, 'beta_1': 0.9818758452205487, 'epsilon': 1.1750556489663528e-06, 'balanced_loss': False, 'epochs': 175, 'early_stopping_patience': 11, 'plateau_patience': 17, 'plateau_divider': 7}. Best is trial 89 with value: 0.9454545454545454.
[I 2024-12-10 06:49:32,411] Trial 96 finished with value: 0.5515151515151515 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9781491570465102, 'batch_size': 47, 'attention_heads': 9, 'hidden_dimension': 62, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4713164146476496, 'global_pooling': 'max', 'learning_rate': 0.010046599838321082, 'weight_decay': 2.473924042573999e-06, 'beta_0': 0.8074142611916252, 'beta_1': 0.9831843261247892, 'epsilon': 1.711243087829109e-06, 'balanced_loss': False, 'epochs': 190, 'early_stopping_patience': 13, 'plateau_patience': 19, 'plateau_divider': 9}. Best is trial 89 with value: 0.9454545454545454.
[I 2024-12-10 07:07:39,903] Trial 97 finished with value: 0.9030303030303031 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9714786957863615, 'batch_size': 39, 'attention_heads': 10, 'hidden_dimension': 33, 'number_of_hidden_layers': 3, 'dropout_rate': 0.45217351258271965, 'global_pooling': 'max', 'learning_rate': 0.0014780633343312688, 'weight_decay': 1.9008025659145773e-05, 'beta_0': 0.8144691432387786, 'beta_1': 0.9865137311602317, 'epsilon': 2.1670652418462765e-06, 'balanced_loss': False, 'epochs': 179, 'early_stopping_patience': 17, 'plateau_patience': 22, 'plateau_divider': 6}. Best is trial 89 with value: 0.9454545454545454.
[I 2024-12-10 07:26:43,602] Trial 98 finished with value: 0.9090909090909091 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9632183940809296, 'batch_size': 41, 'attention_heads': 8, 'hidden_dimension': 55, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4846894628109938, 'global_pooling': 'max', 'learning_rate': 0.0011017546482859155, 'weight_decay': 9.278677259656624e-06, 'beta_0': 0.8278161295473403, 'beta_1': 0.9836220762326107, 'epsilon': 2.7956486909643277e-06, 'balanced_loss': False, 'epochs': 169, 'early_stopping_patience': 25, 'plateau_patience': 24, 'plateau_divider': 7}. Best is trial 89 with value: 0.9454545454545454.
CUDA out of memory. Tried to allocate 1.59 GiB. GPU 0 has a total capacity of 44.56 GiB of which 1.08 GiB is free. Including non-PyTorch memory, this process has 43.47 GiB memory in use. Of the allocated memory 39.39 GiB is allocated by PyTorch, and 2.93 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-12-10 07:42:16,398] Trial 99 finished with value: -1.0 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9569439528844448, 'batch_size': 48, 'attention_heads': 8, 'hidden_dimension': 140, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4627723984428882, 'global_pooling': 'max', 'learning_rate': 0.00777367649698532, 'weight_decay': 6.080515395140247e-06, 'beta_0': 0.8384921080995089, 'beta_1': 0.9825471972429934, 'epsilon': 5.002160942903323e-07, 'balanced_loss': True, 'epochs': 155, 'early_stopping_patience': 10, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 89 with value: 0.9454545454545454.
CUDA out of memory. Tried to allocate 1.11 GiB. GPU 0 has a total capacity of 44.56 GiB of which 1.04 GiB is free. Including non-PyTorch memory, this process has 43.52 GiB memory in use. Of the allocated memory 38.73 GiB is allocated by PyTorch, and 3.64 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-12-10 07:54:38,521] Trial 100 finished with value: -1.0 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9493737632911191, 'batch_size': 44, 'attention_heads': 9, 'hidden_dimension': 73, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4747496049930354, 'global_pooling': 'max', 'learning_rate': 0.00393675747439925, 'weight_decay': 1.7146459311842075e-05, 'beta_0': 0.8350072644895985, 'beta_1': 0.9815518627804518, 'epsilon': 9.391445182675008e-06, 'balanced_loss': False, 'epochs': 173, 'early_stopping_patience': 12, 'plateau_patience': 21, 'plateau_divider': 6}. Best is trial 89 with value: 0.9454545454545454.
