[I 2024-11-14 09:31:17,720] Using an existing study with name 'Ohsumed-GAT-google-bert-bert-base-uncased-Grouped-No_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (611 > 512). Running this sequence through the model will result in indexing errors
[I 2024-11-14 09:43:46,846] Trial 121 finished with value: 0.6227536064496653 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.865781382665641, 'batch_size': 103, 'attention_heads': 16, 'hidden_dimension': 86, 'number_of_hidden_layers': 2, 'dropout_rate': 0.300471719839746, 'global_pooling': 'max', 'learning_rate': 0.0003757113979073648, 'weight_decay': 0.0002949934920345032, 'beta_0': 0.8751180209543867, 'beta_1': 0.989110490436202, 'epsilon': 6.762308168950641e-07, 'balanced_loss': False, 'epochs': 93, 'early_stopping_patience': 19, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 114 with value: 0.6435809112265517.
[I 2024-11-14 09:55:31,415] Trial 122 finished with value: 0.625870220569531 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8489250402153495, 'batch_size': 108, 'attention_heads': 16, 'hidden_dimension': 68, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3259016835684889, 'global_pooling': 'max', 'learning_rate': 0.00037371354772347944, 'weight_decay': 0.0003675996058030759, 'beta_0': 0.8750765664337921, 'beta_1': 0.9869206993307543, 'epsilon': 6.90670063407567e-07, 'balanced_loss': False, 'epochs': 92, 'early_stopping_patience': 19, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 114 with value: 0.6435809112265517.
[I 2024-11-14 10:10:48,431] Trial 123 finished with value: 0.6042304224311024 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8478204242005799, 'batch_size': 101, 'attention_heads': 16, 'hidden_dimension': 81, 'number_of_hidden_layers': 4, 'dropout_rate': 0.325046160274168, 'global_pooling': 'max', 'learning_rate': 0.000498468933493527, 'weight_decay': 0.00035381651092450443, 'beta_0': 0.8760441107032916, 'beta_1': 0.989056329730665, 'epsilon': 4.5988473782218216e-07, 'balanced_loss': False, 'epochs': 90, 'early_stopping_patience': 19, 'plateau_patience': 18, 'plateau_divider': 2}. Best is trial 114 with value: 0.6435809112265517.
[I 2024-11-14 10:21:58,002] Trial 124 finished with value: 0.6110668629064397 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8674585322516313, 'batch_size': 108, 'attention_heads': 16, 'hidden_dimension': 68, 'number_of_hidden_layers': 2, 'dropout_rate': 0.35668374632829375, 'global_pooling': 'max', 'learning_rate': 0.0006866278129900204, 'weight_decay': 0.00028246088729124786, 'beta_0': 0.8704327132710615, 'beta_1': 0.989893057783743, 'epsilon': 3.56585891346875e-07, 'balanced_loss': False, 'epochs': 94, 'early_stopping_patience': 20, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 114 with value: 0.6435809112265517.
[I 2024-11-14 10:33:51,640] Trial 125 finished with value: 0.6090858691004991 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8644788444816371, 'batch_size': 104, 'attention_heads': 16, 'hidden_dimension': 74, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3008872956487583, 'global_pooling': 'max', 'learning_rate': 0.0003848798451409057, 'weight_decay': 0.00021869468190466673, 'beta_0': 0.8789445500857489, 'beta_1': 0.9868375798219503, 'epsilon': 6.518985812270808e-07, 'balanced_loss': False, 'epochs': 80, 'early_stopping_patience': 21, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 114 with value: 0.6435809112265517.
[I 2024-11-14 10:46:50,952] Trial 126 finished with value: 0.59204840458182 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.856260056902286, 'batch_size': 106, 'attention_heads': 16, 'hidden_dimension': 95, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3129190794797, 'global_pooling': 'max', 'learning_rate': 0.00029915490271563476, 'weight_decay': 0.0004350287696869075, 'beta_0': 0.8738712423533505, 'beta_1': 0.9874252709511346, 'epsilon': 9.471311823517054e-07, 'balanced_loss': False, 'epochs': 87, 'early_stopping_patience': 21, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 114 with value: 0.6435809112265517.
[I 2024-11-14 10:58:31,625] Trial 127 finished with value: 0.628223222723992 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8623246904837546, 'batch_size': 110, 'attention_heads': 15, 'hidden_dimension': 56, 'number_of_hidden_layers': 2, 'dropout_rate': 0.32185538481066023, 'global_pooling': 'max', 'learning_rate': 0.0003652235177799214, 'weight_decay': 0.0005378144123778255, 'beta_0': 0.8840526898100447, 'beta_1': 0.985516547120239, 'epsilon': 7.57529045297174e-07, 'balanced_loss': False, 'epochs': 110, 'early_stopping_patience': 22, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 114 with value: 0.6435809112265517.
[I 2024-11-14 11:10:34,485] Trial 128 finished with value: 0.5997376629823994 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8358296461603029, 'batch_size': 114, 'attention_heads': 15, 'hidden_dimension': 57, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3318504125259742, 'global_pooling': 'max', 'learning_rate': 0.00038195721195809934, 'weight_decay': 0.0007852149985200828, 'beta_0': 0.8677165691074551, 'beta_1': 0.9857869273912258, 'epsilon': 4.972018593804923e-07, 'balanced_loss': False, 'epochs': 92, 'early_stopping_patience': 22, 'plateau_patience': 18, 'plateau_divider': 2}. Best is trial 114 with value: 0.6435809112265517.
[I 2024-11-14 11:22:28,914] Trial 129 finished with value: 0.6045350929648914 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8430399206682803, 'batch_size': 110, 'attention_heads': 15, 'hidden_dimension': 63, 'number_of_hidden_layers': 2, 'dropout_rate': 0.31959102365761655, 'global_pooling': 'max', 'learning_rate': 0.0002146063876854255, 'weight_decay': 0.0005461835294252124, 'beta_0': 0.8770083500495813, 'beta_1': 0.9853977647890241, 'epsilon': 3.012686155914799e-07, 'balanced_loss': False, 'epochs': 100, 'early_stopping_patience': 19, 'plateau_patience': 19, 'plateau_divider': 5}. Best is trial 114 with value: 0.6435809112265517.
[I 2024-11-14 11:36:38,173] Trial 130 finished with value: 0.6037769516878257 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8707030132661875, 'batch_size': 114, 'attention_heads': 15, 'hidden_dimension': 84, 'number_of_hidden_layers': 3, 'dropout_rate': 0.345905393090294, 'global_pooling': 'max', 'learning_rate': 0.00048792507833114073, 'weight_decay': 0.0003099629385295794, 'beta_0': 0.8857857537817757, 'beta_1': 0.9890017211153669, 'epsilon': 7.814203491018636e-07, 'balanced_loss': False, 'epochs': 120, 'early_stopping_patience': 22, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 114 with value: 0.6435809112265517.
[I 2024-11-14 11:49:18,946] Trial 131 finished with value: 0.5541530328199157 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.86247951752577, 'batch_size': 107, 'attention_heads': 16, 'hidden_dimension': 93, 'number_of_hidden_layers': 2, 'dropout_rate': 0.37218342834216545, 'global_pooling': 'max', 'learning_rate': 0.0003651309799829669, 'weight_decay': 0.0003802277544807254, 'beta_0': 0.8748824164816799, 'beta_1': 0.9862251794658902, 'epsilon': 5.580613389108467e-07, 'balanced_loss': False, 'epochs': 127, 'early_stopping_patience': 22, 'plateau_patience': 17, 'plateau_divider': 2}. Best is trial 114 with value: 0.6435809112265517.
