[I 2024-12-03 05:07:08,267] Using an existing study with name 'Ohsumed-GATv2-facebook-bart-base-Grouped-No_Aggregation' instead of creating a new one.
[I 2024-12-03 05:26:58,242] Trial 82 finished with value: 0.6084566593616788 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8265149909485919, 'batch_size': 39, 'attention_heads': 12, 'hidden_dimension': 203, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5782448439541579, 'global_pooling': 'max', 'learning_rate': 0.00039488689089857334, 'weight_decay': 2.1669642583692516e-05, 'beta_0': 0.8255436636963638, 'beta_1': 0.9830547934227892, 'epsilon': 2.860256081140575e-08, 'balanced_loss': False, 'epochs': 165, 'early_stopping_patience': 22, 'plateau_patience': 23, 'plateau_divider': 2}. Best is trial 55 with value: 0.6101580493261578.
[I 2024-12-03 05:42:13,300] Trial 83 finished with value: 0.5404695213101247 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8262684371770247, 'batch_size': 34, 'attention_heads': 12, 'hidden_dimension': 203, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5771416527873, 'global_pooling': 'max', 'learning_rate': 0.0018618930093503617, 'weight_decay': 4.021848823331624e-05, 'beta_0': 0.8267917385263751, 'beta_1': 0.9830066813233781, 'epsilon': 3.861942403796079e-08, 'balanced_loss': False, 'epochs': 175, 'early_stopping_patience': 15, 'plateau_patience': 23, 'plateau_divider': 2}. Best is trial 55 with value: 0.6101580493261578.
[I 2024-12-03 05:59:33,430] Trial 84 finished with value: 0.5814299117276033 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8393705376298841, 'batch_size': 43, 'attention_heads': 12, 'hidden_dimension': 181, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5633737366092492, 'global_pooling': 'max', 'learning_rate': 0.0004532846379275258, 'weight_decay': 2.183569775554108e-05, 'beta_0': 0.8243737816839789, 'beta_1': 0.985099974981575, 'epsilon': 2.9289434647083638e-08, 'balanced_loss': False, 'epochs': 198, 'early_stopping_patience': 23, 'plateau_patience': 22, 'plateau_divider': 2}. Best is trial 55 with value: 0.6101580493261578.
[I 2024-12-03 06:15:27,706] Trial 85 finished with value: 0.5884997953868704 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8176002746949719, 'batch_size': 37, 'attention_heads': 10, 'hidden_dimension': 193, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5505409063672049, 'global_pooling': 'max', 'learning_rate': 0.0006814814340934997, 'weight_decay': 0.0005363009408742449, 'beta_0': 0.8204820191458659, 'beta_1': 0.983544134677413, 'epsilon': 1.0155516376667117e-07, 'balanced_loss': False, 'epochs': 188, 'early_stopping_patience': 19, 'plateau_patience': 22, 'plateau_divider': 3}. Best is trial 55 with value: 0.6101580493261578.
[I 2024-12-03 06:41:06,066] Trial 86 finished with value: 0.5813765718372814 and parameters: {'left_stride': 64, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8294497537898275, 'batch_size': 47, 'attention_heads': 13, 'hidden_dimension': 209, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5918712804221892, 'global_pooling': 'max', 'learning_rate': 0.0008717120947088192, 'weight_decay': 1.3183290060078814e-05, 'beta_0': 0.8182527222250682, 'beta_1': 0.9824797713068711, 'epsilon': 1.8282850281984088e-08, 'balanced_loss': False, 'epochs': 182, 'early_stopping_patience': 20, 'plateau_patience': 21, 'plateau_divider': 4}. Best is trial 55 with value: 0.6101580493261578.
[I 2024-12-03 06:56:39,284] Trial 87 finished with value: 0.49477246569126715 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.8070221929961202, 'batch_size': 35, 'attention_heads': 12, 'hidden_dimension': 170, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5101867334009248, 'global_pooling': 'sum', 'learning_rate': 0.00028912644384523044, 'weight_decay': 4.821734280352939e-05, 'beta_0': 0.8090140791404486, 'beta_1': 0.9889212724858392, 'epsilon': 1.2536698629760069e-08, 'balanced_loss': False, 'epochs': 141, 'early_stopping_patience': 21, 'plateau_patience': 12, 'plateau_divider': 2}. Best is trial 55 with value: 0.6101580493261578.
[I 2024-12-03 07:17:18,147] Trial 88 finished with value: 0.5195667709057625 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8988901637666574, 'batch_size': 44, 'attention_heads': 9, 'hidden_dimension': 183, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5761297900361704, 'global_pooling': 'max', 'learning_rate': 0.0012251599788396217, 'weight_decay': 2.040029960931052e-05, 'beta_0': 0.8290503379031736, 'beta_1': 0.984664754621033, 'epsilon': 4.5834530080818724e-08, 'balanced_loss': False, 'epochs': 162, 'early_stopping_patience': 20, 'plateau_patience': 25, 'plateau_divider': 3}. Best is trial 55 with value: 0.6101580493261578.
[I 2024-12-03 07:27:36,023] Trial 89 finished with value: 0.5513423392031779 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9324835611271753, 'batch_size': 51, 'attention_heads': 11, 'hidden_dimension': 126, 'number_of_hidden_layers': 1, 'dropout_rate': 0.46385356316396853, 'global_pooling': 'max', 'learning_rate': 0.004776047396897422, 'weight_decay': 0.00018041510560964534, 'beta_0': 0.804989899811022, 'beta_1': 0.9942863247306329, 'epsilon': 2.7494376052367026e-07, 'balanced_loss': False, 'epochs': 117, 'early_stopping_patience': 22, 'plateau_patience': 23, 'plateau_divider': 2}. Best is trial 55 with value: 0.6101580493261578.
[I 2024-12-03 07:39:29,900] Trial 90 finished with value: 0.6149888929724707 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8520791768061099, 'batch_size': 40, 'attention_heads': 5, 'hidden_dimension': 141, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5811101575159203, 'global_pooling': 'max', 'learning_rate': 0.00043357800906943867, 'weight_decay': 3.0416439394269574e-05, 'beta_0': 0.82170363531335, 'beta_1': 0.9843460021637204, 'epsilon': 2.4799254899298848e-08, 'balanced_loss': False, 'epochs': 160, 'early_stopping_patience': 23, 'plateau_patience': 24, 'plateau_divider': 4}. Best is trial 90 with value: 0.6149888929724707.
[I 2024-12-03 07:53:07,610] Trial 91 finished with value: 0.5837196732073449 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8499118995063041, 'batch_size': 32, 'attention_heads': 14, 'hidden_dimension': 139, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5682470963172341, 'global_pooling': 'max', 'learning_rate': 0.00018741816506823248, 'weight_decay': 3.082288219803457e-05, 'beta_0': 0.8160377957662577, 'beta_1': 0.9856217332450617, 'epsilon': 2.5690542076895326e-08, 'balanced_loss': True, 'epochs': 163, 'early_stopping_patience': 23, 'plateau_patience': 20, 'plateau_divider': 4}. Best is trial 90 with value: 0.6149888929724707.
[I 2024-12-03 08:02:16,727] Trial 92 finished with value: 0.01692106074622263 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9226487696583274, 'batch_size': 40, 'attention_heads': 5, 'hidden_dimension': 125, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5843327251178415, 'global_pooling': 'max', 'learning_rate': 0.09285939748894982, 'weight_decay': 7.225907580605443e-05, 'beta_0': 0.822224914622008, 'beta_1': 0.9842644953042113, 'epsilon': 6.187194848582354e-08, 'balanced_loss': False, 'epochs': 128, 'early_stopping_patience': 25, 'plateau_patience': 24, 'plateau_divider': 3}. Best is trial 90 with value: 0.6149888929724707.
