[I 2024-12-04 10:48:56,416] Using an existing study with name 'Ohsumed-GATv2-xlnet-xlnet-base-cased-Grouped-No_Aggregation' instead of creating a new one.
[I 2024-12-04 11:07:47,541] Trial 177 finished with value: 0.5594853693070184 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8162888424088105, 'batch_size': 89, 'attention_heads': 5, 'hidden_dimension': 179, 'number_of_hidden_layers': 1, 'dropout_rate': 0.35826118309941773, 'global_pooling': 'mean', 'learning_rate': 0.00128300482062285, 'weight_decay': 9.652624869215323e-06, 'beta_0': 0.8286363772962065, 'beta_1': 0.9887392118364018, 'epsilon': 2.7529179122633776e-08, 'balanced_loss': True, 'epochs': 101, 'early_stopping_patience': 22, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-04 11:24:14,686] Trial 178 finished with value: 0.5899708458744456 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8088486210697163, 'batch_size': 77, 'attention_heads': 4, 'hidden_dimension': 159, 'number_of_hidden_layers': 1, 'dropout_rate': 0.349706333181019, 'global_pooling': 'mean', 'learning_rate': 0.0023861392968476483, 'weight_decay': 1.2047365197704407e-05, 'beta_0': 0.8226214987726824, 'beta_1': 0.9868972932591735, 'epsilon': 3.3830036311864347e-08, 'balanced_loss': True, 'epochs': 95, 'early_stopping_patience': 22, 'plateau_patience': 17, 'plateau_divider': 4}. Best is trial 146 with value: 0.6231222973387793.
CUDA out of memory. Tried to allocate 2.05 GiB. GPU 0 has a total capacity of 44.56 GiB of which 1.59 GiB is free. Including non-PyTorch memory, this process has 42.97 GiB memory in use. Of the allocated memory 38.50 GiB is allocated by PyTorch, and 3.32 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-12-04 11:37:53,843] Trial 179 finished with value: -1.0 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8086398369924266, 'batch_size': 74, 'attention_heads': 9, 'hidden_dimension': 171, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3435098718526232, 'global_pooling': 'mean', 'learning_rate': 0.001871931195114184, 'weight_decay': 1.1647157955484876e-05, 'beta_0': 0.83830642619745, 'beta_1': 0.9871794712106984, 'epsilon': 5.171723223513157e-08, 'balanced_loss': True, 'epochs': 91, 'early_stopping_patience': 21, 'plateau_patience': 17, 'plateau_divider': 4}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-04 11:55:22,042] Trial 180 finished with value: 0.5310153528633773 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8051109708748323, 'batch_size': 79, 'attention_heads': 4, 'hidden_dimension': 196, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3507720167436232, 'global_pooling': 'max', 'learning_rate': 0.002377338187555886, 'weight_decay': 1.5907403968255045e-05, 'beta_0': 0.8225617064557001, 'beta_1': 0.9877672100599876, 'epsilon': 2.2874544639843227e-08, 'balanced_loss': True, 'epochs': 95, 'early_stopping_patience': 23, 'plateau_patience': 18, 'plateau_divider': 5}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-04 12:11:26,977] Trial 181 finished with value: 0.5728354323054625 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8189853470972986, 'batch_size': 70, 'attention_heads': 4, 'hidden_dimension': 154, 'number_of_hidden_layers': 1, 'dropout_rate': 0.32931385226975185, 'global_pooling': 'mean', 'learning_rate': 0.0027885814315969475, 'weight_decay': 6.824274043559415e-06, 'beta_0': 0.8247172615933187, 'beta_1': 0.9861821642060383, 'epsilon': 4.550339636486078e-08, 'balanced_loss': True, 'epochs': 80, 'early_stopping_patience': 22, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-04 12:29:05,167] Trial 182 finished with value: 0.5942579337213132 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.813011727754635, 'batch_size': 91, 'attention_heads': 4, 'hidden_dimension': 160, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3563460326436556, 'global_pooling': 'mean', 'learning_rate': 0.0014920901036209082, 'weight_decay': 9.079626257039967e-06, 'beta_0': 0.8958623298002055, 'beta_1': 0.9867918371627176, 'epsilon': 3.5356468199428176e-08, 'balanced_loss': True, 'epochs': 98, 'early_stopping_patience': 22, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-04 12:46:40,783] Trial 183 finished with value: 0.5516084170954875 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8100252827577019, 'batch_size': 81, 'attention_heads': 4, 'hidden_dimension': 166, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3546676325720601, 'global_pooling': 'mean', 'learning_rate': 0.0014958212681010531, 'weight_decay': 8.781384721968455e-06, 'beta_0': 0.8341066289356482, 'beta_1': 0.9869002697568686, 'epsilon': 3.6413297132368236e-08, 'balanced_loss': True, 'epochs': 107, 'early_stopping_patience': 22, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-04 13:03:50,804] Trial 184 finished with value: 0.6008573798536642 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8153708311857664, 'batch_size': 76, 'attention_heads': 4, 'hidden_dimension': 159, 'number_of_hidden_layers': 1, 'dropout_rate': 0.34724684715699583, 'global_pooling': 'mean', 'learning_rate': 0.0011482713840021293, 'weight_decay': 3.903372864481471e-05, 'beta_0': 0.8916456457542319, 'beta_1': 0.9855126648837523, 'epsilon': 2.8482165841788026e-08, 'balanced_loss': True, 'epochs': 96, 'early_stopping_patience': 22, 'plateau_patience': 17, 'plateau_divider': 2}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-04 13:20:39,504] Trial 185 finished with value: 0.5935375432152451 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8176719990958405, 'batch_size': 75, 'attention_heads': 4, 'hidden_dimension': 159, 'number_of_hidden_layers': 1, 'dropout_rate': 0.339695098181244, 'global_pooling': 'mean', 'learning_rate': 0.0011679449531978234, 'weight_decay': 3.1109092342235654e-05, 'beta_0': 0.8958403871330983, 'beta_1': 0.9875389287309603, 'epsilon': 2.934852240201235e-08, 'balanced_loss': True, 'epochs': 96, 'early_stopping_patience': 21, 'plateau_patience': 18, 'plateau_divider': 2}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-04 13:38:02,012] Trial 186 finished with value: 0.5701354435344673 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8233105330110347, 'batch_size': 84, 'attention_heads': 4, 'hidden_dimension': 163, 'number_of_hidden_layers': 1, 'dropout_rate': 0.33751852336193117, 'global_pooling': 'mean', 'learning_rate': 0.0011235883638598938, 'weight_decay': 4.4765876415504544e-05, 'beta_0': 0.8754291378095442, 'beta_1': 0.9849285206626224, 'epsilon': 2.5048813263316403e-08, 'balanced_loss': True, 'epochs': 85, 'early_stopping_patience': 21, 'plateau_patience': 18, 'plateau_divider': 2}. Best is trial 146 with value: 0.6231222973387793.
