[I 2024-11-29 15:48:22,828] Using an existing study with name 'R8-GATv2-google-bert-bert-base-uncased-Grouped-Layer-wise_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (639 > 512). Running this sequence through the model will result in indexing errors
[I 2024-11-29 15:57:54,388] Trial 142 finished with value: 0.9449470582787491 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7121062021375487, 'batch_size': 53, 'attention_heads': 10, 'hidden_dimension': 120, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3201382775747871, 'global_pooling': 'mean', 'learning_rate': 0.0002191003849837341, 'weight_decay': 2.739654762499043e-05, 'beta_0': 0.8539443372007961, 'beta_1': 0.9882031893520871, 'epsilon': 3.815322460938958e-05, 'balanced_loss': False, 'epochs': 171, 'early_stopping_patience': 21, 'plateau_patience': 14, 'plateau_divider': 5}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 16:07:18,787] Trial 143 finished with value: 0.940972079167467 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7182120404904244, 'batch_size': 48, 'attention_heads': 16, 'hidden_dimension': 100, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3005347918716328, 'global_pooling': 'mean', 'learning_rate': 0.00027299902868672715, 'weight_decay': 3.69328605809769e-05, 'beta_0': 0.8565894078121498, 'beta_1': 0.9910093750353214, 'epsilon': 1.205909403194938e-05, 'balanced_loss': False, 'epochs': 195, 'early_stopping_patience': 16, 'plateau_patience': 12, 'plateau_divider': 5}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 16:15:33,665] Trial 144 finished with value: 0.9429289556032572 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7460809821313407, 'batch_size': 37, 'attention_heads': 16, 'hidden_dimension': 97, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4392499488134854, 'global_pooling': 'mean', 'learning_rate': 0.0003325104712749811, 'weight_decay': 2.015507679998816e-05, 'beta_0': 0.8515111015928768, 'beta_1': 0.9907393076241184, 'epsilon': 1.8824373974026803e-05, 'balanced_loss': False, 'epochs': 197, 'early_stopping_patience': 13, 'plateau_patience': 12, 'plateau_divider': 4}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 16:22:43,064] Trial 145 finished with value: 0.9512879603091482 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.700793878672625, 'batch_size': 43, 'attention_heads': 8, 'hidden_dimension': 89, 'number_of_hidden_layers': 1, 'dropout_rate': 0.31319252321350055, 'global_pooling': 'mean', 'learning_rate': 0.000127042488333657, 'weight_decay': 2.5451709841261733e-05, 'beta_0': 0.8626271081640174, 'beta_1': 0.9921198808374658, 'epsilon': 1.4783572994840988e-05, 'balanced_loss': False, 'epochs': 193, 'early_stopping_patience': 14, 'plateau_patience': 12, 'plateau_divider': 6}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 16:33:22,207] Trial 146 finished with value: 0.9418855824360695 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7299240804917086, 'batch_size': 57, 'attention_heads': 15, 'hidden_dimension': 111, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3281457553684265, 'global_pooling': 'mean', 'learning_rate': 0.00020046947658517502, 'weight_decay': 3.0581164781894493e-05, 'beta_0': 0.8556800603249237, 'beta_1': 0.9913483294435996, 'epsilon': 3.1831389409117006e-05, 'balanced_loss': False, 'epochs': 186, 'early_stopping_patience': 16, 'plateau_patience': 11, 'plateau_divider': 5}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 16:43:16,417] Trial 147 finished with value: 0.9455110961997475 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6826298273129273, 'batch_size': 48, 'attention_heads': 16, 'hidden_dimension': 99, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3059982611318169, 'global_pooling': 'mean', 'learning_rate': 0.00024981219272140706, 'weight_decay': 2.2941397338468334e-05, 'beta_0': 0.8592740112933018, 'beta_1': 0.992746698737313, 'epsilon': 2.095684065404523e-05, 'balanced_loss': False, 'epochs': 200, 'early_stopping_patience': 17, 'plateau_patience': 13, 'plateau_divider': 5}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 16:51:44,730] Trial 148 finished with value: 0.9373431796169681 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7232332325388566, 'batch_size': 40, 'attention_heads': 16, 'hidden_dimension': 106, 'number_of_hidden_layers': 1, 'dropout_rate': 0.31684630782457424, 'global_pooling': 'mean', 'learning_rate': 0.00047999023713717076, 'weight_decay': 1.8310189064815147e-05, 'beta_0': 0.8548206811005686, 'beta_1': 0.9903645895582143, 'epsilon': 1.620193979882352e-05, 'balanced_loss': False, 'epochs': 141, 'early_stopping_patience': 15, 'plateau_patience': 13, 'plateau_divider': 4}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 17:01:14,826] Trial 149 finished with value: 0.9572549978965957 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6891330071368116, 'batch_size': 63, 'attention_heads': 15, 'hidden_dimension': 103, 'number_of_hidden_layers': 1, 'dropout_rate': 0.50832887599105, 'global_pooling': 'mean', 'learning_rate': 0.0006634428055951708, 'weight_decay': 3.6108136021239215e-05, 'beta_0': 0.8493599604334965, 'beta_1': 0.9931858174737359, 'epsilon': 1.1747166407380672e-05, 'balanced_loss': False, 'epochs': 192, 'early_stopping_patience': 16, 'plateau_patience': 12, 'plateau_divider': 6}. Best is trial 103 with value: 0.9641397920921474.
CUDA out of memory. Tried to allocate 4.50 GiB. GPU 0 has a total capacity of 44.56 GiB of which 3.55 GiB is free. Including non-PyTorch memory, this process has 41.00 GiB memory in use. Of the allocated memory 35.30 GiB is allocated by PyTorch, and 4.56 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-11-29 17:06:42,344] Trial 150 finished with value: -1.0 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6916583148169536, 'batch_size': 146, 'attention_heads': 15, 'hidden_dimension': 149, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5320287309575688, 'global_pooling': 'mean', 'learning_rate': 0.0005944032698326539, 'weight_decay': 4.394547202710276e-05, 'beta_0': 0.8473161727675474, 'beta_1': 0.99319781900693, 'epsilon': 1.1875622969131693e-05, 'balanced_loss': False, 'epochs': 127, 'early_stopping_patience': 17, 'plateau_patience': 11, 'plateau_divider': 10}. Best is trial 103 with value: 0.9641397920921474.
[I 2024-11-29 17:20:34,060] Trial 151 finished with value: 0.9257684404607152 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6844990302526602, 'batch_size': 58, 'attention_heads': 14, 'hidden_dimension': 119, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5076363478954887, 'global_pooling': 'sum', 'learning_rate': 0.0006969020809763352, 'weight_decay': 1.982383965410923e-05, 'beta_0': 0.8489682980884289, 'beta_1': 0.9941006683539826, 'epsilon': 1.0043773884660409e-05, 'balanced_loss': False, 'epochs': 191, 'early_stopping_patience': 25, 'plateau_patience': 12, 'plateau_divider': 6}. Best is trial 103 with value: 0.9641397920921474.
