[I 2024-11-12 23:20:33,698] Using an existing study with name 'R8-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (639 > 512). Running this sequence through the model will result in indexing errors
[I 2024-11-12 23:30:10,126] Trial 190 finished with value: 0.9588916599075876 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.661522669829073, 'batch_size': 104, 'attention_heads': 5, 'hidden_dimension': 49, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5255884230360474, 'global_pooling': 'max', 'learning_rate': 0.00019647073672562744, 'weight_decay': 0.00025919611039804515, 'beta_0': 0.8966139171100209, 'beta_1': 0.9894095940191547, 'epsilon': 3.556872822271594e-08, 'balanced_loss': False, 'epochs': 111, 'early_stopping_patience': 20, 'plateau_patience': 20, 'plateau_divider': 9}. Best is trial 28 with value: 0.9650227698207191.
[I 2024-11-12 23:37:46,439] Trial 191 finished with value: 0.9333109186864605 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6582666163515845, 'batch_size': 105, 'attention_heads': 5, 'hidden_dimension': 36, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5394707087628308, 'global_pooling': 'sum', 'learning_rate': 0.00019577362563129614, 'weight_decay': 0.00027526544601316365, 'beta_0': 0.896706902490013, 'beta_1': 0.9894790956519252, 'epsilon': 2.4119244454202562e-08, 'balanced_loss': False, 'epochs': 119, 'early_stopping_patience': 20, 'plateau_patience': 20, 'plateau_divider': 9}. Best is trial 28 with value: 0.9650227698207191.
[I 2024-11-12 23:45:48,793] Trial 192 finished with value: 0.9500273633910474 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6926524032370799, 'batch_size': 119, 'attention_heads': 5, 'hidden_dimension': 42, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5311474308591998, 'global_pooling': 'max', 'learning_rate': 0.00023027504088383698, 'weight_decay': 0.0002230876371099931, 'beta_0': 0.8939070849228444, 'beta_1': 0.9889122905869655, 'epsilon': 3.6215807799267045e-08, 'balanced_loss': True, 'epochs': 104, 'early_stopping_patience': 21, 'plateau_patience': 20, 'plateau_divider': 9}. Best is trial 28 with value: 0.9650227698207191.
[I 2024-11-12 23:54:59,893] Trial 193 finished with value: 0.948949106965828 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7049383019047489, 'batch_size': 109, 'attention_heads': 5, 'hidden_dimension': 34, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5498121971475819, 'global_pooling': 'max', 'learning_rate': 0.00016566703964746813, 'weight_decay': 0.00024698208739941705, 'beta_0': 0.8978935392972244, 'beta_1': 0.9891888629790747, 'epsilon': 2.7489255067329905e-08, 'balanced_loss': False, 'epochs': 127, 'early_stopping_patience': 20, 'plateau_patience': 19, 'plateau_divider': 4}. Best is trial 28 with value: 0.9650227698207191.
[I 2024-11-13 00:04:49,353] Trial 194 finished with value: 0.946583883897175 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6757416253917702, 'batch_size': 116, 'attention_heads': 5, 'hidden_dimension': 47, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5278373396794107, 'global_pooling': 'max', 'learning_rate': 0.00012272467223267073, 'weight_decay': 3.2969405535767337e-05, 'beta_0': 0.8904801217726384, 'beta_1': 0.9901802808532895, 'epsilon': 1.3589294561786178e-08, 'balanced_loss': False, 'epochs': 108, 'early_stopping_patience': 21, 'plateau_patience': 22, 'plateau_divider': 9}. Best is trial 28 with value: 0.9650227698207191.
[I 2024-11-13 00:13:48,235] Trial 195 finished with value: 0.9446200686615727 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.6843081409415278, 'batch_size': 104, 'attention_heads': 5, 'hidden_dimension': 51, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5366069631740236, 'global_pooling': 'max', 'learning_rate': 0.0001706583386696697, 'weight_decay': 2.572064540404886e-05, 'beta_0': 0.8952859716375885, 'beta_1': 0.9898129351929869, 'epsilon': 1.0102073209202515e-07, 'balanced_loss': False, 'epochs': 112, 'early_stopping_patience': 21, 'plateau_patience': 22, 'plateau_divider': 9}. Best is trial 28 with value: 0.9650227698207191.
[I 2024-11-13 00:25:16,504] Trial 196 finished with value: 0.9489818459097109 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6615091316951479, 'batch_size': 113, 'attention_heads': 5, 'hidden_dimension': 65, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5937546123665083, 'global_pooling': 'max', 'learning_rate': 9.724345591310748e-05, 'weight_decay': 0.0003260547333190387, 'beta_0': 0.8925478888872614, 'beta_1': 0.9884688105229473, 'epsilon': 1.8504920165674592e-08, 'balanced_loss': False, 'epochs': 122, 'early_stopping_patience': 20, 'plateau_patience': 23, 'plateau_divider': 10}. Best is trial 28 with value: 0.9650227698207191.
[I 2024-11-13 00:36:32,346] Trial 197 finished with value: 0.949737005333954 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.667029944944243, 'batch_size': 97, 'attention_heads': 4, 'hidden_dimension': 59, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5243799099096614, 'global_pooling': 'max', 'learning_rate': 7.326379975020391e-05, 'weight_decay': 4.722192183001133e-05, 'beta_0': 0.8964853853832301, 'beta_1': 0.9889730902565237, 'epsilon': 6.311666361724154e-08, 'balanced_loss': False, 'epochs': 113, 'early_stopping_patience': 21, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 28 with value: 0.9650227698207191.
[I 2024-11-13 00:46:20,789] Trial 198 finished with value: 0.9580423851733428 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6727160719111508, 'batch_size': 101, 'attention_heads': 4, 'hidden_dimension': 54, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5185188610713665, 'global_pooling': 'max', 'learning_rate': 0.0001340831490588573, 'weight_decay': 0.0003764590828944962, 'beta_0': 0.8998620700786073, 'beta_1': 0.9886007322109054, 'epsilon': 2.1903252539436475e-07, 'balanced_loss': False, 'epochs': 110, 'early_stopping_patience': 22, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 28 with value: 0.9650227698207191.
[I 2024-11-13 00:56:09,038] Trial 199 finished with value: 0.9534614333435351 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6745499973471631, 'batch_size': 102, 'attention_heads': 4, 'hidden_dimension': 48, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5132621344777115, 'global_pooling': 'max', 'learning_rate': 0.00013641032652462126, 'weight_decay': 0.00037859986296706437, 'beta_0': 0.898167457598505, 'beta_1': 0.9894734742027658, 'epsilon': 1.0665058369614126e-08, 'balanced_loss': False, 'epochs': 117, 'early_stopping_patience': 23, 'plateau_patience': 21, 'plateau_divider': 5}. Best is trial 28 with value: 0.9650227698207191.
[I 2024-11-13 01:04:56,491] Trial 200 finished with value: 0.956564330804495 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8487402267624868, 'batch_size': 156, 'attention_heads': 5, 'hidden_dimension': 81, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5191159761416456, 'global_pooling': 'max', 'learning_rate': 0.00021119819172791857, 'weight_decay': 0.00029827693306937186, 'beta_0': 0.8992516667997589, 'beta_1': 0.9885013738493835, 'epsilon': 4.002679171377554e-08, 'balanced_loss': False, 'epochs': 101, 'early_stopping_patience': 16, 'plateau_patience': 20, 'plateau_divider': 9}. Best is trial 28 with value: 0.9650227698207191.
