Some weights of RobertaModel were not initialized from the model checkpoint at FacebookAI/roberta-base and are newly initialized: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[I 2024-12-03 05:06:48,529] Using an existing study with name 'R8-GATv2-FacebookAI-roberta-base-Grouped-No_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (655 > 512). Running this sequence through the model will result in indexing errors
[I 2024-12-03 05:13:53,097] Trial 95 finished with value: 0.9518561551162366 and parameters: {'left_stride': 256, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.6659749194382507, 'batch_size': 40, 'attention_heads': 5, 'hidden_dimension': 145, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3192967402249076, 'global_pooling': 'max', 'learning_rate': 0.0008687692785222349, 'weight_decay': 7.572448780582574e-06, 'beta_0': 0.8427054006322143, 'beta_1': 0.982280386859565, 'epsilon': 3.5945150320181063e-07, 'balanced_loss': True, 'epochs': 97, 'early_stopping_patience': 17, 'plateau_patience': 20, 'plateau_divider': 6}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 05:20:40,147] Trial 96 finished with value: 0.9400649861147432 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.6774629546760275, 'batch_size': 73, 'attention_heads': 6, 'hidden_dimension': 107, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3344411755868058, 'global_pooling': 'max', 'learning_rate': 0.0003634052461906857, 'weight_decay': 1.3516925353391306e-05, 'beta_0': 0.8557351180532423, 'beta_1': 0.9872614363299632, 'epsilon': 1.1581407118216037e-06, 'balanced_loss': True, 'epochs': 79, 'early_stopping_patience': 18, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 05:29:36,264] Trial 97 finished with value: 0.9460651651944788 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6859455881316677, 'batch_size': 84, 'attention_heads': 11, 'hidden_dimension': 127, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3042997373952981, 'global_pooling': 'max', 'learning_rate': 0.00021421440609352725, 'weight_decay': 1.005454950025164e-06, 'beta_0': 0.857627871364744, 'beta_1': 0.9917554063736717, 'epsilon': 6.496683580384628e-07, 'balanced_loss': False, 'epochs': 134, 'early_stopping_patience': 15, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 05:36:45,552] Trial 98 finished with value: 0.9431974274400268 and parameters: {'left_stride': 256, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.6596430133439819, 'batch_size': 53, 'attention_heads': 15, 'hidden_dimension': 85, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3561479084826148, 'global_pooling': 'max', 'learning_rate': 0.001593227460500878, 'weight_decay': 1.5464181595399052e-06, 'beta_0': 0.8484190196008188, 'beta_1': 0.9899077239778298, 'epsilon': 2.8548248983048104e-07, 'balanced_loss': False, 'epochs': 110, 'early_stopping_patience': 14, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 05:45:10,792] Trial 99 finished with value: 0.9355908122632008 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6701007197183231, 'batch_size': 89, 'attention_heads': 13, 'hidden_dimension': 117, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3667175627759028, 'global_pooling': 'max', 'learning_rate': 0.0005065054543071832, 'weight_decay': 0.00039649861772244417, 'beta_0': 0.8697550661928259, 'beta_1': 0.986750025195948, 'epsilon': 1.1331765642658459e-07, 'balanced_loss': True, 'epochs': 87, 'early_stopping_patience': 16, 'plateau_patience': 22, 'plateau_divider': 9}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 05:54:00,193] Trial 100 finished with value: 0.9530356294383271 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6520104116582456, 'batch_size': 147, 'attention_heads': 5, 'hidden_dimension': 97, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3778370522728876, 'global_pooling': 'max', 'learning_rate': 0.00014464138088790418, 'weight_decay': 5.74047398987348e-06, 'beta_0': 0.8908821430587264, 'beta_1': 0.9817039566579242, 'epsilon': 4.701547010705803e-07, 'balanced_loss': False, 'epochs': 120, 'early_stopping_patience': 19, 'plateau_patience': 19, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 06:19:41,860] Trial 101 finished with value: 0.906378124257964 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6544356980299024, 'batch_size': 137, 'attention_heads': 5, 'hidden_dimension': 101, 'number_of_hidden_layers': 3, 'dropout_rate': 0.3780390712780912, 'global_pooling': 'max', 'learning_rate': 3.116618903320643e-05, 'weight_decay': 3.446112793692933e-06, 'beta_0': 0.8841770838885089, 'beta_1': 0.9810513538053347, 'epsilon': 4.631335650214736e-07, 'balanced_loss': False, 'epochs': 121, 'early_stopping_patience': 19, 'plateau_patience': 19, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 06:27:46,938] Trial 102 finished with value: 0.9390216866978689 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6623537824457936, 'batch_size': 146, 'attention_heads': 4, 'hidden_dimension': 96, 'number_of_hidden_layers': 0, 'dropout_rate': 0.30734584947704785, 'global_pooling': 'max', 'learning_rate': 0.00015938935777593392, 'weight_decay': 6.096663062097198e-06, 'beta_0': 0.8909149360431671, 'beta_1': 0.9828493650755497, 'epsilon': 7.6506059448118e-07, 'balanced_loss': False, 'epochs': 131, 'early_stopping_patience': 17, 'plateau_patience': 20, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 06:36:26,308] Trial 103 finished with value: 0.9323022154778549 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6887380829990558, 'batch_size': 169, 'attention_heads': 5, 'hidden_dimension': 91, 'number_of_hidden_layers': 0, 'dropout_rate': 0.39136081092112746, 'global_pooling': 'max', 'learning_rate': 0.0001229483388391274, 'weight_decay': 1.1020809679844999e-05, 'beta_0': 0.8650447882265409, 'beta_1': 0.9814043596026025, 'epsilon': 1.921447051993701e-07, 'balanced_loss': False, 'epochs': 126, 'early_stopping_patience': 19, 'plateau_patience': 19, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 06:47:02,564] Trial 104 finished with value: 0.9457260606143876 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6722882696962615, 'batch_size': 155, 'attention_heads': 6, 'hidden_dimension': 79, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3435851460133921, 'global_pooling': 'max', 'learning_rate': 8.188889575611266e-05, 'weight_decay': 4.9475498909076085e-06, 'beta_0': 0.8607787398987667, 'beta_1': 0.9819293863471259, 'epsilon': 1.5926818364082912e-06, 'balanced_loss': False, 'epochs': 119, 'early_stopping_patience': 20, 'plateau_patience': 24, 'plateau_divider': 7}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 06:53:21,244] Trial 105 finished with value: 0.9103547943965036 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6794606703847113, 'batch_size': 77, 'attention_heads': 4, 'hidden_dimension': 121, 'number_of_hidden_layers': 0, 'dropout_rate': 0.351115413199564, 'global_pooling': 'max', 'learning_rate': 0.09285939748894982, 'weight_decay': 9.074447774461342e-06, 'beta_0': 0.8964580396524999, 'beta_1': 0.9838553242338922, 'epsilon': 3.0312511327748407e-07, 'balanced_loss': False, 'epochs': 99, 'early_stopping_patience': 20, 'plateau_patience': 18, 'plateau_divider': 5}. Best is trial 61 with value: 0.9599624971991361.
