Some weights of RobertaModel were not initialized from the model checkpoint at FacebookAI/roberta-large and are newly initialized: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[I 2024-12-10 05:17:06,438] Using an existing study with name 'R8-GATv2-FacebookAI-roberta-large-Grouped-No_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (655 > 512). Running this sequence through the model will result in indexing errors
[I 2024-12-10 05:25:19,086] Trial 105 finished with value: 0.9544417963614046 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8467162819449895, 'batch_size': 152, 'attention_heads': 4, 'hidden_dimension': 227, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4968858376589947, 'global_pooling': 'mean', 'learning_rate': 0.0007231094063471381, 'weight_decay': 0.0002956989619289392, 'beta_0': 0.8667705243041987, 'beta_1': 0.9864667645945536, 'epsilon': 2.3246016743975342e-08, 'balanced_loss': False, 'epochs': 156, 'early_stopping_patience': 14, 'plateau_patience': 17, 'plateau_divider': 5}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 05:33:21,716] Trial 106 finished with value: 0.9559570129636457 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8607643159942703, 'batch_size': 148, 'attention_heads': 4, 'hidden_dimension': 216, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5078725211324475, 'global_pooling': 'mean', 'learning_rate': 0.0009855804046473016, 'weight_decay': 0.0002481984636692103, 'beta_0': 0.8603574416412616, 'beta_1': 0.9875593488092009, 'epsilon': 1.6613274437669474e-07, 'balanced_loss': False, 'epochs': 170, 'early_stopping_patience': 15, 'plateau_patience': 15, 'plateau_divider': 6}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 05:42:49,446] Trial 107 finished with value: 0.9607191903233184 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.830032796769418, 'batch_size': 135, 'attention_heads': 5, 'hidden_dimension': 210, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5297375207383208, 'global_pooling': 'mean', 'learning_rate': 0.0003466661430003685, 'weight_decay': 0.00010233682931454137, 'beta_0': 0.8697399048008715, 'beta_1': 0.9879832730840736, 'epsilon': 4.225291865071442e-08, 'balanced_loss': False, 'epochs': 190, 'early_stopping_patience': 16, 'plateau_patience': 16, 'plateau_divider': 6}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 05:52:15,083] Trial 108 finished with value: 0.9559431367130322 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8108798642403182, 'batch_size': 135, 'attention_heads': 5, 'hidden_dimension': 210, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5304623399390702, 'global_pooling': 'mean', 'learning_rate': 0.00024721850141367274, 'weight_decay': 8.043745912641176e-05, 'beta_0': 0.870117408613774, 'beta_1': 0.990152198019983, 'epsilon': 4.322828715278194e-08, 'balanced_loss': False, 'epochs': 190, 'early_stopping_patience': 16, 'plateau_patience': 17, 'plateau_divider': 4}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 06:03:53,515] Trial 109 finished with value: 0.9375556053764011 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.8267679887037943, 'batch_size': 123, 'attention_heads': 5, 'hidden_dimension': 194, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5524839848507979, 'global_pooling': 'sum', 'learning_rate': 0.00032799874888178024, 'weight_decay': 0.00034449229968686875, 'beta_0': 0.8757513967134594, 'beta_1': 0.9880098434311313, 'epsilon': 1.8737046332504377e-08, 'balanced_loss': False, 'epochs': 197, 'early_stopping_patience': 18, 'plateau_patience': 15, 'plateau_divider': 6}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 06:14:14,889] Trial 110 finished with value: 0.960603746043863 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8889556891541349, 'batch_size': 129, 'attention_heads': 5, 'hidden_dimension': 202, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5192803674953846, 'global_pooling': 'mean', 'learning_rate': 0.0001943317450630054, 'weight_decay': 0.00012139896783515874, 'beta_0': 0.8647905680589427, 'beta_1': 0.9851616734513537, 'epsilon': 2.549424616012379e-08, 'balanced_loss': False, 'epochs': 185, 'early_stopping_patience': 14, 'plateau_patience': 16, 'plateau_divider': 5}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 06:22:51,487] Trial 111 finished with value: 0.9577100590603421 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9095153876795387, 'batch_size': 129, 'attention_heads': 5, 'hidden_dimension': 200, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5466290206296136, 'global_pooling': 'mean', 'learning_rate': 0.0013445164035646555, 'weight_decay': 9.830062942490832e-05, 'beta_0': 0.8796039593131253, 'beta_1': 0.9836984940290984, 'epsilon': 3.2244552533286165e-08, 'balanced_loss': False, 'epochs': 159, 'early_stopping_patience': 16, 'plateau_patience': 12, 'plateau_divider': 5}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 06:32:12,445] Trial 112 finished with value: 0.9571804875939605 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9051133080490714, 'batch_size': 130, 'attention_heads': 5, 'hidden_dimension': 178, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5467678389707012, 'global_pooling': 'mean', 'learning_rate': 0.001218279159640809, 'weight_decay': 0.00010246856995986442, 'beta_0': 0.8801532125392397, 'beta_1': 0.9841299746570111, 'epsilon': 3.1408285010508384e-08, 'balanced_loss': False, 'epochs': 159, 'early_stopping_patience': 16, 'plateau_patience': 11, 'plateau_divider': 3}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 06:40:52,458] Trial 113 finished with value: 0.9585754627899359 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9129648265034483, 'batch_size': 141, 'attention_heads': 5, 'hidden_dimension': 202, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5320287309575688, 'global_pooling': 'mean', 'learning_rate': 0.0014195017982372808, 'weight_decay': 0.00012868359850525047, 'beta_0': 0.873341476209466, 'beta_1': 0.9831063441219956, 'epsilon': 2.6064598382871002e-08, 'balanced_loss': False, 'epochs': 151, 'early_stopping_patience': 17, 'plateau_patience': 13, 'plateau_divider': 5}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 06:49:48,964] Trial 114 finished with value: 0.9517801055123877 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8922139149813938, 'batch_size': 140, 'attention_heads': 5, 'hidden_dimension': 200, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5303488940126075, 'global_pooling': 'mean', 'learning_rate': 0.0008662894010556311, 'weight_decay': 0.00011433765799347682, 'beta_0': 0.8649733790164079, 'beta_1': 0.9817872127587747, 'epsilon': 2.69292963642692e-08, 'balanced_loss': False, 'epochs': 151, 'early_stopping_patience': 17, 'plateau_patience': 14, 'plateau_divider': 5}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 06:58:15,942] Trial 115 finished with value: 0.6710538729349254 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8982390520100735, 'batch_size': 156, 'attention_heads': 5, 'hidden_dimension': 207, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5179489825426196, 'global_pooling': 'mean', 'learning_rate': 0.09285939748894982, 'weight_decay': 8.258699230447818e-05, 'beta_0': 0.8488638969963062, 'beta_1': 0.9855384729869399, 'epsilon': 1.415223329796668e-08, 'balanced_loss': False, 'epochs': 148, 'early_stopping_patience': 17, 'plateau_patience': 13, 'plateau_divider': 5}. Best is trial 99 with value: 0.9644826268751922.
