Some weights of RobertaModel were not initialized from the model checkpoint at FacebookAI/roberta-large and are newly initialized: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[I 2024-12-21 04:09:20,652] Using an existing study with name 'R8-GATv2-FacebookAI-roberta-large-Surrogate-No_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (655 > 512). Running this sequence through the model will result in indexing errors
[I 2024-12-21 04:34:51,337] Trial 200 finished with value: 0.9442525441875385 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9688028019137752, 'batch_size': 85, 'attention_heads': 14, 'hidden_dimension': 154, 'number_of_hidden_layers': 3, 'dropout_rate': 0.453977208704952, 'global_pooling': 'max', 'learning_rate': 0.0002566397533672739, 'weight_decay': 2.8602943574743687e-06, 'beta_0': 0.8950592027712595, 'beta_1': 0.9878729497512845, 'epsilon': 5.307784394474772e-08, 'balanced_loss': False, 'epochs': 107, 'early_stopping_patience': 19, 'plateau_patience': 10, 'plateau_divider': 8}. Best is trial 161 with value: 0.968159869773082.
[I 2024-12-21 04:50:42,439] Trial 201 finished with value: 0.9375509965487505 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9928710074075031, 'batch_size': 77, 'attention_heads': 15, 'hidden_dimension': 75, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4848481233154012, 'global_pooling': 'max', 'learning_rate': 0.00014854807753291244, 'weight_decay': 2.0020354311425154e-06, 'beta_0': 0.809674425097164, 'beta_1': 0.9929852133403209, 'epsilon': 3.146229066736226e-08, 'balanced_loss': True, 'epochs': 125, 'early_stopping_patience': 14, 'plateau_patience': 20, 'plateau_divider': 8}. Best is trial 161 with value: 0.968159869773082.
[I 2024-12-21 05:03:33,095] Trial 202 finished with value: 0.9571305528745555 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.999793067395779, 'batch_size': 68, 'attention_heads': 4, 'hidden_dimension': 52, 'number_of_hidden_layers': 3, 'dropout_rate': 0.47641152305000595, 'global_pooling': 'max', 'learning_rate': 0.00020660469889860944, 'weight_decay': 1.1319730098799242e-06, 'beta_0': 0.8049387032458252, 'beta_1': 0.9911891613558649, 'epsilon': 1.1313108520324627e-07, 'balanced_loss': False, 'epochs': 119, 'early_stopping_patience': 10, 'plateau_patience': 25, 'plateau_divider': 2}. Best is trial 161 with value: 0.968159869773082.
[I 2024-12-21 05:18:15,180] Trial 203 finished with value: 0.9627827108175167 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9813994550012404, 'batch_size': 117, 'attention_heads': 14, 'hidden_dimension': 41, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5149412914933296, 'global_pooling': 'max', 'learning_rate': 0.0004673388526529408, 'weight_decay': 3.368498726675899e-06, 'beta_0': 0.8915657773288845, 'beta_1': 0.9894820783637132, 'epsilon': 3.8380741875184264e-08, 'balanced_loss': False, 'epochs': 180, 'early_stopping_patience': 12, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 161 with value: 0.968159869773082.
[I 2024-12-21 05:31:47,473] Trial 204 finished with value: 0.9503832204454185 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9776087154990116, 'batch_size': 112, 'attention_heads': 14, 'hidden_dimension': 40, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5188319045639528, 'global_pooling': 'max', 'learning_rate': 0.0005127933093365763, 'weight_decay': 3.444192779166736e-06, 'beta_0': 0.89251791825856, 'beta_1': 0.9892942679419833, 'epsilon': 3.740841830397152e-08, 'balanced_loss': False, 'epochs': 179, 'early_stopping_patience': 12, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 161 with value: 0.968159869773082.
[I 2024-12-21 05:46:57,143] Trial 205 finished with value: 0.9498540262407605 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9851969416601533, 'batch_size': 118, 'attention_heads': 14, 'hidden_dimension': 48, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5152233376892359, 'global_pooling': 'max', 'learning_rate': 0.00040094573568350364, 'weight_decay': 2.3353624837173866e-06, 'beta_0': 0.88730025955933, 'beta_1': 0.9899183123418533, 'epsilon': 4.4772141767408086e-08, 'balanced_loss': False, 'epochs': 184, 'early_stopping_patience': 12, 'plateau_patience': 12, 'plateau_divider': 3}. Best is trial 161 with value: 0.968159869773082.
[I 2024-12-21 06:02:25,998] Trial 206 finished with value: 0.958524808088899 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9724600405977528, 'batch_size': 125, 'attention_heads': 13, 'hidden_dimension': 37, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5109214576735766, 'global_pooling': 'max', 'learning_rate': 0.00033023474069433285, 'weight_decay': 2.859640720380085e-06, 'beta_0': 0.8986139547635569, 'beta_1': 0.9890018274288211, 'epsilon': 6.159011771856862e-08, 'balanced_loss': False, 'epochs': 174, 'early_stopping_patience': 12, 'plateau_patience': 11, 'plateau_divider': 8}. Best is trial 161 with value: 0.968159869773082.
[I 2024-12-21 06:21:34,426] Trial 207 finished with value: 0.9355049357904155 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9817446988831049, 'batch_size': 137, 'attention_heads': 14, 'hidden_dimension': 135, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5050223915659778, 'global_pooling': 'max', 'learning_rate': 0.0006083007109213448, 'weight_decay': 4.358347166770903e-06, 'beta_0': 0.891489299917476, 'beta_1': 0.9885449035683663, 'epsilon': 2.3239830104595725e-08, 'balanced_loss': False, 'epochs': 181, 'early_stopping_patience': 13, 'plateau_patience': 15, 'plateau_divider': 4}. Best is trial 161 with value: 0.968159869773082.
[I 2024-12-21 06:39:12,567] Trial 208 finished with value: 0.9622309561606245 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9620230154531374, 'batch_size': 102, 'attention_heads': 14, 'hidden_dimension': 45, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5320287309575688, 'global_pooling': 'max', 'learning_rate': 0.0002646487160345725, 'weight_decay': 3.3051376758640103e-06, 'beta_0': 0.8944344264163792, 'beta_1': 0.9935264196151711, 'epsilon': 3.232272881512807e-08, 'balanced_loss': False, 'epochs': 144, 'early_stopping_patience': 13, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 161 with value: 0.968159869773082.
[I 2024-12-21 06:56:11,855] Trial 209 finished with value: 0.9642754267989346 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9623593643238134, 'batch_size': 95, 'attention_heads': 14, 'hidden_dimension': 32, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5099705481821379, 'global_pooling': 'max', 'learning_rate': 0.00028872124052866673, 'weight_decay': 3.3259276867783526e-06, 'beta_0': 0.8936633160693843, 'beta_1': 0.993361888692472, 'epsilon': 5.136422010896262e-07, 'balanced_loss': False, 'epochs': 142, 'early_stopping_patience': 13, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 161 with value: 0.968159869773082.
[I 2024-12-21 07:08:46,580] Trial 210 finished with value: 0.1422093026800767 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9535006169999256, 'batch_size': 104, 'attention_heads': 14, 'hidden_dimension': 33, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5287444439532005, 'global_pooling': 'max', 'learning_rate': 0.09285939748894982, 'weight_decay': 3.410956313190353e-06, 'beta_0': 0.895025413052899, 'beta_1': 0.9931679657692937, 'epsilon': 2.9789733977270345e-07, 'balanced_loss': False, 'epochs': 138, 'early_stopping_patience': 13, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 161 with value: 0.968159869773082.
[I 2024-12-21 07:27:32,790] Trial 211 finished with value: 0.9318170269919028 and parameters: {'left_stride': 256, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.9602469094937364, 'batch_size': 94, 'attention_heads': 14, 'hidden_dimension': 32, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5325480813898436, 'global_pooling': 'max', 'learning_rate': 0.0004715252826260615, 'weight_decay': 1.6230331633982534e-06, 'beta_0': 0.893218957960471, 'beta_1': 0.9936489748759197, 'epsilon': 5.099697465915914e-07, 'balanced_loss': False, 'epochs': 148, 'early_stopping_patience': 13, 'plateau_patience': 10, 'plateau_divider': 4}. Best is trial 161 with value: 0.968159869773082.
[I 2024-12-21 07:43:53,993] Trial 212 finished with value: 0.9655275861843697 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9670719788337434, 'batch_size': 95, 'attention_heads': 10, 'hidden_dimension': 40, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5232029163241986, 'global_pooling': 'max', 'learning_rate': 0.00028095136991682985, 'weight_decay': 2.12682388304972e-06, 'beta_0': 0.8965016531475613, 'beta_1': 0.9943017686789655, 'epsilon': 3.8081493041598404e-07, 'balanced_loss': False, 'epochs': 140, 'early_stopping_patience': 13, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 161 with value: 0.968159869773082.
[I 2024-12-21 08:00:41,307] Trial 213 finished with value: 0.9693474575932637 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9692385249516062, 'batch_size': 98, 'attention_heads': 10, 'hidden_dimension': 40, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5387585401463034, 'global_pooling': 'max', 'learning_rate': 0.0001796024989345346, 'weight_decay': 2.1738204994195437e-06, 'beta_0': 0.8965861908982086, 'beta_1': 0.9925576607472609, 'epsilon': 6.09631205691349e-07, 'balanced_loss': False, 'epochs': 146, 'early_stopping_patience': 13, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 213 with value: 0.9693474575932637.
[I 2024-12-21 08:17:22,325] Trial 214 finished with value: 0.9644020156331361 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9701303486442406, 'batch_size': 98, 'attention_heads': 10, 'hidden_dimension': 40, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5379896929221776, 'global_pooling': 'max', 'learning_rate': 0.00028055837957413783, 'weight_decay': 2.2572649785922787e-06, 'beta_0': 0.8982659668655445, 'beta_1': 0.9926383594884388, 'epsilon': 6.856898237905606e-07, 'balanced_loss': False, 'epochs': 144, 'early_stopping_patience': 13, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 213 with value: 0.9693474575932637.
[I 2024-12-21 08:31:54,108] Trial 215 finished with value: 0.9424191133182782 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9653889220275816, 'batch_size': 98, 'attention_heads': 10, 'hidden_dimension': 39, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5367326752298585, 'global_pooling': 'max', 'learning_rate': 0.00029577656555072163, 'weight_decay': 2.2453594308355846e-06, 'beta_0': 0.8999615204894684, 'beta_1': 0.9941809209717966, 'epsilon': 3.966281761898488e-07, 'balanced_loss': False, 'epochs': 144, 'early_stopping_patience': 13, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 213 with value: 0.9693474575932637.
