[I 2024-12-03 17:07:30,049] Using an existing study with name 'R8-GATv2-xlnet-xlnet-base-cased-Grouped-No_Aggregation' instead of creating a new one.
[I 2024-12-03 17:17:24,218] Trial 124 finished with value: 0.9439150432703614 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7797585912720805, 'batch_size': 128, 'attention_heads': 6, 'hidden_dimension': 123, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3283966195298372, 'global_pooling': 'max', 'learning_rate': 0.0005149059827268316, 'weight_decay': 1.2800199430164981e-06, 'beta_0': 0.8521407361763219, 'beta_1': 0.9878546125828463, 'epsilon': 1.7606316379859992e-08, 'balanced_loss': False, 'epochs': 77, 'early_stopping_patience': 21, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 118 with value: 0.955876017992461.
[I 2024-12-03 17:28:40,173] Trial 125 finished with value: 0.9564763717525835 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7805405129965438, 'batch_size': 120, 'attention_heads': 6, 'hidden_dimension': 124, 'number_of_hidden_layers': 0, 'dropout_rate': 0.33026892605869296, 'global_pooling': 'max', 'learning_rate': 0.0001879415323018005, 'weight_decay': 1.1493405294265388e-06, 'beta_0': 0.8532038535984671, 'beta_1': 0.9876582123600397, 'epsilon': 1.1849215461037245e-08, 'balanced_loss': False, 'epochs': 77, 'early_stopping_patience': 20, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-03 17:40:00,360] Trial 126 finished with value: 0.9356084106971048 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7744436519558288, 'batch_size': 119, 'attention_heads': 6, 'hidden_dimension': 109, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3307438062485755, 'global_pooling': 'max', 'learning_rate': 0.00010992347936143679, 'weight_decay': 1.2334593653329602e-06, 'beta_0': 0.8623076794961806, 'beta_1': 0.9885629281605696, 'epsilon': 1.9102388840760926e-08, 'balanced_loss': False, 'epochs': 80, 'early_stopping_patience': 21, 'plateau_patience': 15, 'plateau_divider': 3}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-03 17:50:39,788] Trial 127 finished with value: 0.9379887678316513 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7815174257907681, 'batch_size': 128, 'attention_heads': 6, 'hidden_dimension': 112, 'number_of_hidden_layers': 0, 'dropout_rate': 0.43098828282471274, 'global_pooling': 'max', 'learning_rate': 0.00018884997484458875, 'weight_decay': 1.1658499069820255e-06, 'beta_0': 0.85743164721059, 'beta_1': 0.9878163818960227, 'epsilon': 1.0641307423051806e-08, 'balanced_loss': False, 'epochs': 62, 'early_stopping_patience': 22, 'plateau_patience': 16, 'plateau_divider': 4}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-03 18:00:39,428] Trial 128 finished with value: 0.939372830504039 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8030757545488502, 'batch_size': 118, 'attention_heads': 7, 'hidden_dimension': 119, 'number_of_hidden_layers': 0, 'dropout_rate': 0.33126162254690616, 'global_pooling': 'max', 'learning_rate': 0.0004993325263408153, 'weight_decay': 1.0231592078614301e-06, 'beta_0': 0.8548859117782245, 'beta_1': 0.9890804153691063, 'epsilon': 1.5103088360093692e-08, 'balanced_loss': False, 'epochs': 62, 'early_stopping_patience': 21, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-03 18:11:07,849] Trial 129 finished with value: 0.8834620863033085 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7574033101698268, 'batch_size': 112, 'attention_heads': 6, 'hidden_dimension': 123, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3213277634193341, 'global_pooling': 'sum', 'learning_rate': 0.0002484633446526212, 'weight_decay': 1.506111940260742e-06, 'beta_0': 0.851902594704282, 'beta_1': 0.9896759719068787, 'epsilon': 2.475610621005677e-08, 'balanced_loss': False, 'epochs': 74, 'early_stopping_patience': 20, 'plateau_patience': 15, 'plateau_divider': 3}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-03 18:21:02,446] Trial 130 finished with value: 0.9358835915349204 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8101046158961916, 'batch_size': 147, 'attention_heads': 5, 'hidden_dimension': 127, 'number_of_hidden_layers': 0, 'dropout_rate': 0.41299394474003037, 'global_pooling': 'max', 'learning_rate': 0.00031981755367168816, 'weight_decay': 1.5104817206015843e-06, 'beta_0': 0.8599888428430059, 'beta_1': 0.9872516671569881, 'epsilon': 1.3284145398008538e-08, 'balanced_loss': False, 'epochs': 95, 'early_stopping_patience': 19, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-03 18:31:06,252] Trial 131 finished with value: 0.9117394672883503 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8409912698129802, 'batch_size': 105, 'attention_heads': 6, 'hidden_dimension': 103, 'number_of_hidden_layers': 0, 'dropout_rate': 0.34965880560098256, 'global_pooling': 'max', 'learning_rate': 9.16703928904157e-05, 'weight_decay': 1.3118800174702152e-06, 'beta_0': 0.8494157430943401, 'beta_1': 0.9877571843793695, 'epsilon': 2.9790878078368447e-08, 'balanced_loss': False, 'epochs': 62, 'early_stopping_patience': 21, 'plateau_patience': 17, 'plateau_divider': 4}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-03 18:40:43,136] Trial 132 finished with value: 0.9308820792986974 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8319623861546551, 'batch_size': 133, 'attention_heads': 7, 'hidden_dimension': 122, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4989922993489153, 'global_pooling': 'max', 'learning_rate': 0.00040429658526047307, 'weight_decay': 1.1155193157057504e-06, 'beta_0': 0.8426479346263689, 'beta_1': 0.9884483052100244, 'epsilon': 1.3272015760544303e-08, 'balanced_loss': False, 'epochs': 85, 'early_stopping_patience': 10, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-03 18:50:59,640] Trial 133 finished with value: 0.9436678438233378 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.7699357720281378, 'batch_size': 116, 'attention_heads': 6, 'hidden_dimension': 134, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3202933308938883, 'global_pooling': 'max', 'learning_rate': 0.000503551922886075, 'weight_decay': 2.530715842597018e-06, 'beta_0': 0.8530097591368241, 'beta_1': 0.9861692843548888, 'epsilon': 3.590563185708938e-08, 'balanced_loss': False, 'epochs': 72, 'early_stopping_patience': 20, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 125 with value: 0.9564763717525835.
[I 2024-12-03 19:00:39,516] Trial 134 finished with value: 0.9415318972716586 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.768548267666531, 'batch_size': 107, 'attention_heads': 5, 'hidden_dimension': 136, 'number_of_hidden_layers': 0, 'dropout_rate': 0.30708925673618903, 'global_pooling': 'max', 'learning_rate': 0.00048024124587832867, 'weight_decay': 2.7831414853435935e-06, 'beta_0': 0.8533438701837454, 'beta_1': 0.9871856220195054, 'epsilon': 3.635910328955738e-08, 'balanced_loss': False, 'epochs': 72, 'early_stopping_patience': 19, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 125 with value: 0.9564763717525835.
