Some weights of RobertaModel were not initialized from the model checkpoint at FacebookAI/roberta-base and are newly initialized: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[I 2025-01-08 19:25:03,797] Using an existing study with name 'RTSP-GATv2-FacebookAI-roberta-base-Grouped-No_Aggregation' instead of creating a new one.
[I 2025-01-08 19:29:11,252] Trial 99 finished with value: 0.8769338959212377 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.7564324823670076, 'batch_size': 234, 'attention_heads': 11, 'hidden_dimension': 79, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5037731291262368, 'global_pooling': 'max', 'learning_rate': 0.00243939860890957, 'weight_decay': 2.585577967197233e-05, 'beta_0': 0.8393064806940972, 'beta_1': 0.9934609682658256, 'epsilon': 3.0562473713857886e-07, 'balanced_loss': True, 'epochs': 83, 'early_stopping_patience': 15, 'plateau_patience': 22, 'plateau_divider': 6}. Best is trial 72 with value: 0.8832630098452883.
[I 2025-01-08 19:33:08,278] Trial 100 finished with value: 0.879746835443038 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.779245130616353, 'batch_size': 223, 'attention_heads': 11, 'hidden_dimension': 86, 'number_of_hidden_layers': 1, 'dropout_rate': 0.42891749429407305, 'global_pooling': 'max', 'learning_rate': 0.0009500958673199928, 'weight_decay': 1.5011171061645649e-05, 'beta_0': 0.8423498358401235, 'beta_1': 0.9952047353167466, 'epsilon': 5.981821900277358e-07, 'balanced_loss': True, 'epochs': 135, 'early_stopping_patience': 14, 'plateau_patience': 14, 'plateau_divider': 7}. Best is trial 72 with value: 0.8832630098452883.
[I 2025-01-08 19:37:04,856] Trial 101 finished with value: 0.8663853727144867 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8074493584226179, 'batch_size': 220, 'attention_heads': 12, 'hidden_dimension': 65, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4213067750990721, 'global_pooling': 'sum', 'learning_rate': 0.0015408457837188063, 'weight_decay': 1.7680443008524396e-05, 'beta_0': 0.8401797372360171, 'beta_1': 0.9951743055962686, 'epsilon': 6.636207873462575e-07, 'balanced_loss': True, 'epochs': 135, 'early_stopping_patience': 15, 'plateau_patience': 14, 'plateau_divider': 7}. Best is trial 72 with value: 0.8832630098452883.
[I 2025-01-08 19:41:06,119] Trial 102 finished with value: 0.8811533052039381 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.7765067163556291, 'batch_size': 225, 'attention_heads': 11, 'hidden_dimension': 88, 'number_of_hidden_layers': 1, 'dropout_rate': 0.43098828282471274, 'global_pooling': 'max', 'learning_rate': 0.0009553960396968957, 'weight_decay': 1.4119235075354402e-05, 'beta_0': 0.8437541945023264, 'beta_1': 0.9960906431228324, 'epsilon': 4.528909744242821e-07, 'balanced_loss': True, 'epochs': 127, 'early_stopping_patience': 14, 'plateau_patience': 13, 'plateau_divider': 7}. Best is trial 72 with value: 0.8832630098452883.
[I 2025-01-08 19:45:04,871] Trial 103 finished with value: 0.8769338959212377 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.7394759005422405, 'batch_size': 226, 'attention_heads': 11, 'hidden_dimension': 88, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4110196760333573, 'global_pooling': 'max', 'learning_rate': 0.0009611863554554959, 'weight_decay': 1.5743191559276543e-05, 'beta_0': 0.8411150832167021, 'beta_1': 0.9945511675055188, 'epsilon': 1.0525444397047511e-06, 'balanced_loss': True, 'epochs': 128, 'early_stopping_patience': 14, 'plateau_patience': 13, 'plateau_divider': 7}. Best is trial 72 with value: 0.8832630098452883.
[I 2025-01-08 19:49:08,038] Trial 104 finished with value: 0.8846694796061885 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.7932210972549938, 'batch_size': 202, 'attention_heads': 13, 'hidden_dimension': 71, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4303547052313899, 'global_pooling': 'max', 'learning_rate': 0.0005689525039153713, 'weight_decay': 1.3568760851294804e-05, 'beta_0': 0.8427669168055766, 'beta_1': 0.996282071542502, 'epsilon': 5.419337610408613e-07, 'balanced_loss': True, 'epochs': 133, 'early_stopping_patience': 14, 'plateau_patience': 13, 'plateau_divider': 6}. Best is trial 104 with value: 0.8846694796061885.
[I 2025-01-08 19:53:16,821] Trial 105 finished with value: 0.8755274261603375 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8218036234737095, 'batch_size': 203, 'attention_heads': 12, 'hidden_dimension': 107, 'number_of_hidden_layers': 1, 'dropout_rate': 0.44348296226595274, 'global_pooling': 'max', 'learning_rate': 0.001839630358936472, 'weight_decay': 1.4099842577086257e-05, 'beta_0': 0.8515877699993477, 'beta_1': 0.9960563639414561, 'epsilon': 4.528400541039167e-07, 'balanced_loss': True, 'epochs': 137, 'early_stopping_patience': 14, 'plateau_patience': 13, 'plateau_divider': 6}. Best is trial 104 with value: 0.8846694796061885.
[I 2025-01-08 19:57:14,731] Trial 106 finished with value: 0.8811533052039381 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.7935348349690762, 'batch_size': 212, 'attention_heads': 13, 'hidden_dimension': 71, 'number_of_hidden_layers': 1, 'dropout_rate': 0.42966346695346513, 'global_pooling': 'max', 'learning_rate': 0.000596225950919486, 'weight_decay': 1.058396351148332e-05, 'beta_0': 0.8461659055236175, 'beta_1': 0.996306429259317, 'epsilon': 5.88120677277784e-07, 'balanced_loss': True, 'epochs': 132, 'early_stopping_patience': 14, 'plateau_patience': 13, 'plateau_divider': 6}. Best is trial 104 with value: 0.8846694796061885.
[I 2025-01-08 20:01:13,433] Trial 107 finished with value: 0.8769338959212377 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.7921806582206073, 'batch_size': 211, 'attention_heads': 13, 'hidden_dimension': 71, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3968988099507385, 'global_pooling': 'max', 'learning_rate': 0.0005808025512624909, 'weight_decay': 1.0396190320989322e-05, 'beta_0': 0.8486581079693819, 'beta_1': 0.9967101153902435, 'epsilon': 5.427817285459995e-07, 'balanced_loss': True, 'epochs': 132, 'early_stopping_patience': 13, 'plateau_patience': 12, 'plateau_divider': 6}. Best is trial 104 with value: 0.8846694796061885.
[I 2025-01-08 20:05:13,115] Trial 108 finished with value: 0.8741209563994374 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8384856572714217, 'batch_size': 201, 'attention_heads': 13, 'hidden_dimension': 65, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4126536495182766, 'global_pooling': 'max', 'learning_rate': 0.000721647723633601, 'weight_decay': 3.6529188053559204e-05, 'beta_0': 0.8564986464342842, 'beta_1': 0.9972370447286883, 'epsilon': 2.584627226854011e-07, 'balanced_loss': False, 'epochs': 119, 'early_stopping_patience': 15, 'plateau_patience': 12, 'plateau_divider': 6}. Best is trial 104 with value: 0.8846694796061885.
[I 2025-01-08 20:09:24,092] Trial 109 finished with value: 0.8769338959212377 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.7634834370110033, 'batch_size': 215, 'attention_heads': 14, 'hidden_dimension': 96, 'number_of_hidden_layers': 1, 'dropout_rate': 0.450389025658322, 'global_pooling': 'max', 'learning_rate': 0.00044932565070698974, 'weight_decay': 6.612275672899932e-06, 'beta_0': 0.844754410708874, 'beta_1': 0.9986075905674608, 'epsilon': 3.8692941423321504e-07, 'balanced_loss': True, 'epochs': 125, 'early_stopping_patience': 12, 'plateau_patience': 13, 'plateau_divider': 6}. Best is trial 104 with value: 0.8846694796061885.
