[I 2025-04-03 04:44:11,174] Using an existing study with name 'IMDb-top_1000-GATv2-facebook-bart-large-Grouped-Sliding_Windows' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (1113 > 1024). Running this sequence through the model will result in indexing errors
[I 2025-04-03 04:54:09,451] Trial 73 finished with value: 0.9393939393939394 and parameters: {'left_stride': 32, 'right_stride': 0, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 10, 'batch_size': 23, 'attention_heads': 5, 'hidden_dimension': 181, 'number_of_hidden_layers': 0, 'dropout_rate': 0.522202637979855, 'global_pooling': 'mean', 'learning_rate': 0.021780823953025132, 'weight_decay': 7.49516377337739e-05, 'beta_0': 0.8136779687584571, 'beta_1': 0.9907492172985162, 'epsilon': 2.6724013839899077e-07, 'balanced_loss': True, 'epochs': 144, 'early_stopping_patience': 19, 'plateau_patience': 19, 'plateau_divider': 4}. Best is trial 44 with value: 0.9575757575757575.
[I 2025-04-03 05:02:53,196] Trial 74 finished with value: 0.9454545454545454 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 4, 'batch_size': 19, 'attention_heads': 5, 'hidden_dimension': 177, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5192203317598045, 'global_pooling': 'mean', 'learning_rate': 7.986073033775677e-05, 'weight_decay': 5.7707434691818106e-05, 'beta_0': 0.8746894809969169, 'beta_1': 0.9923356109107407, 'epsilon': 2.1879618683100006e-08, 'balanced_loss': True, 'epochs': 140, 'early_stopping_patience': 18, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 44 with value: 0.9575757575757575.
[I 2025-04-03 05:11:02,194] Trial 75 finished with value: 0.9515151515151515 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 4, 'batch_size': 17, 'attention_heads': 4, 'hidden_dimension': 144, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5126911822962206, 'global_pooling': 'mean', 'learning_rate': 4.362063780460323e-05, 'weight_decay': 4.4489243742357e-05, 'beta_0': 0.8688844571844032, 'beta_1': 0.9928157384610612, 'epsilon': 1.3400051953090937e-08, 'balanced_loss': True, 'epochs': 133, 'early_stopping_patience': 18, 'plateau_patience': 16, 'plateau_divider': 4}. Best is trial 44 with value: 0.9575757575757575.
[I 2025-04-03 05:25:00,009] Trial 76 finished with value: 0.9393939393939394 and parameters: {'left_stride': 64, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 8, 'batch_size': 40, 'attention_heads': 6, 'hidden_dimension': 211, 'number_of_hidden_layers': 4, 'dropout_rate': 0.39696414536971064, 'global_pooling': 'mean', 'learning_rate': 6.667414362090719e-05, 'weight_decay': 0.00011975948449784769, 'beta_0': 0.8616845598724506, 'beta_1': 0.9838467222932118, 'epsilon': 3.2542421338872954e-08, 'balanced_loss': True, 'epochs': 122, 'early_stopping_patience': 20, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 44 with value: 0.9575757575757575.
[I 2025-04-03 05:39:30,364] Trial 77 finished with value: 0.9454545454545454 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 3, 'batch_size': 21, 'attention_heads': 12, 'hidden_dimension': 192, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5865786126926897, 'global_pooling': 'mean', 'learning_rate': 2.7396498423925288e-05, 'weight_decay': 2.807869664805169e-05, 'beta_0': 0.8834199923034443, 'beta_1': 0.9955445052228751, 'epsilon': 1.1733032154342636e-06, 'balanced_loss': True, 'epochs': 155, 'early_stopping_patience': 18, 'plateau_patience': 15, 'plateau_divider': 5}. Best is trial 44 with value: 0.9575757575757575.
[I 2025-04-03 05:49:08,260] Trial 78 finished with value: 0.9090909090909091 and parameters: {'left_stride': 32, 'right_stride': 256, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 5, 'batch_size': 48, 'attention_heads': 4, 'hidden_dimension': 100, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3751196998815218, 'global_pooling': 'sum', 'learning_rate': 1.612845769975576e-05, 'weight_decay': 3.767476243292915e-05, 'beta_0': 0.8898133307225683, 'beta_1': 0.9935585392295796, 'epsilon': 9.489218439967663e-08, 'balanced_loss': True, 'epochs': 116, 'early_stopping_patience': 17, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 44 with value: 0.9575757575757575.
[I 2025-04-03 05:57:53,631] Trial 79 finished with value: 0.9515151515151515 and parameters: {'left_stride': 128, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 6, 'batch_size': 16, 'attention_heads': 5, 'hidden_dimension': 139, 'number_of_hidden_layers': 2, 'dropout_rate': 0.49125151765750297, 'global_pooling': 'mean', 'learning_rate': 0.00010722623979996727, 'weight_decay': 0.00010374847091120955, 'beta_0': 0.8737081366359548, 'beta_1': 0.9942945299704068, 'epsilon': 2.511796922235679e-08, 'balanced_loss': False, 'epochs': 147, 'early_stopping_patience': 20, 'plateau_patience': 14, 'plateau_divider': 4}. Best is trial 44 with value: 0.9575757575757575.
[I 2025-04-03 06:05:28,898] Trial 80 finished with value: 0.9090909090909091 and parameters: {'left_stride': 0, 'right_stride': 0, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 4, 'batch_size': 19, 'attention_heads': 7, 'hidden_dimension': 164, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5058037402021625, 'global_pooling': 'sum', 'learning_rate': 0.059479786832436835, 'weight_decay': 6.537932729843327e-05, 'beta_0': 0.878775524395609, 'beta_1': 0.98999706668248, 'epsilon': 4.313115374182036e-08, 'balanced_loss': True, 'epochs': 90, 'early_stopping_patience': 19, 'plateau_patience': 16, 'plateau_divider': 5}. Best is trial 44 with value: 0.9575757575757575.
[I 2025-04-03 06:13:35,860] Trial 81 finished with value: 0.9151515151515152 and parameters: {'left_stride': 256, 'right_stride': 32, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 3, 'batch_size': 24, 'attention_heads': 13, 'hidden_dimension': 51, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5446841756861928, 'global_pooling': 'max', 'learning_rate': 6.534894482293756e-05, 'weight_decay': 0.00015706963159801529, 'beta_0': 0.865894778961001, 'beta_1': 0.9921900600706013, 'epsilon': 6.519989889419528e-05, 'balanced_loss': True, 'epochs': 128, 'early_stopping_patience': 22, 'plateau_patience': 16, 'plateau_divider': 7}. Best is trial 44 with value: 0.9575757575757575.
[I 2025-04-03 06:21:00,678] Trial 82 finished with value: 0.9454545454545454 and parameters: {'left_stride': 32, 'right_stride': 64, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 5, 'batch_size': 57, 'attention_heads': 6, 'hidden_dimension': 32, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5307881786505794, 'global_pooling': 'mean', 'learning_rate': 0.0038694354777809065, 'weight_decay': 0.00030832840070810794, 'beta_0': 0.8239035215562327, 'beta_1': 0.9862445556842541, 'epsilon': 1.3348308918943504e-05, 'balanced_loss': False, 'epochs': 137, 'early_stopping_patience': 15, 'plateau_patience': 21, 'plateau_divider': 3}. Best is trial 44 with value: 0.9575757575757575.
[I 2025-04-03 06:28:51,031] Trial 83 finished with value: 0.9272727272727272 and parameters: {'left_stride': 128, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 4, 'batch_size': 20, 'attention_heads': 11, 'hidden_dimension': 124, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4496225262804712, 'global_pooling': 'sum', 'learning_rate': 0.0001257862845766725, 'weight_decay': 8.338756832086593e-05, 'beta_0': 0.8025587469145691, 'beta_1': 0.9933938909318146, 'epsilon': 2.942236542279099e-05, 'balanced_loss': True, 'epochs': 85, 'early_stopping_patience': 18, 'plateau_patience': 15, 'plateau_divider': 4}. Best is trial 44 with value: 0.9575757575757575.
