[I 2025-04-04 00:01:17,417] Using an existing study with name 'R8-GATv2-facebook-bart-large-Grouped-Sliding_Windows' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (1136 > 1024). Running this sequence through the model will result in indexing errors
[I 2025-04-04 00:23:05,424] Trial 155 finished with value: 0.9531639777065841 and parameters: {'left_stride': 256, 'right_stride': 64, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 5, 'batch_size': 129, 'attention_heads': 16, 'hidden_dimension': 224, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5154456189327727, 'global_pooling': 'max', 'learning_rate': 5.2300421916183994e-05, 'weight_decay': 4.646670707936875e-06, 'beta_0': 0.8202505161318734, 'beta_1': 0.9953915338135059, 'epsilon': 6.168882260143985e-07, 'balanced_loss': True, 'epochs': 176, 'early_stopping_patience': 16, 'plateau_patience': 12, 'plateau_divider': 3}. Best is trial 133 with value: 0.9752328645957553.
[I 2025-04-04 00:41:41,293] Trial 156 finished with value: 0.9622758692812643 and parameters: {'left_stride': 256, 'right_stride': 64, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 5, 'batch_size': 189, 'attention_heads': 15, 'hidden_dimension': 216, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5316674888976892, 'global_pooling': 'max', 'learning_rate': 0.00015970740413184445, 'weight_decay': 1.1264281237954368e-05, 'beta_0': 0.8183040330617204, 'beta_1': 0.9934306240141874, 'epsilon': 1.0779569227444567e-06, 'balanced_loss': False, 'epochs': 168, 'early_stopping_patience': 15, 'plateau_patience': 14, 'plateau_divider': 2}. Best is trial 133 with value: 0.9752328645957553.
[I 2025-04-04 01:00:19,391] Trial 157 finished with value: 0.9696773275739621 and parameters: {'left_stride': 256, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 5, 'batch_size': 180, 'attention_heads': 14, 'hidden_dimension': 210, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5311064202339078, 'global_pooling': 'mean', 'learning_rate': 0.00020989858568414867, 'weight_decay': 8.16406463638974e-06, 'beta_0': 0.8006092679545715, 'beta_1': 0.9973151876004316, 'epsilon': 1.6611522304349325e-07, 'balanced_loss': False, 'epochs': 176, 'early_stopping_patience': 17, 'plateau_patience': 13, 'plateau_divider': 3}. Best is trial 133 with value: 0.9752328645957553.
[I 2025-04-04 01:18:10,643] Trial 158 finished with value: 0.9656363448893321 and parameters: {'left_stride': 256, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 5, 'batch_size': 180, 'attention_heads': 14, 'hidden_dimension': 210, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5665696824846436, 'global_pooling': 'mean', 'learning_rate': 0.00021286753511967955, 'weight_decay': 8.44544145295866e-06, 'beta_0': 0.8100973876409153, 'beta_1': 0.9972513487705617, 'epsilon': 2.136242795439916e-07, 'balanced_loss': False, 'epochs': 175, 'early_stopping_patience': 17, 'plateau_patience': 13, 'plateau_divider': 3}. Best is trial 133 with value: 0.9752328645957553.
[I 2025-04-04 01:39:36,700] Trial 159 finished with value: 0.9601774630593403 and parameters: {'left_stride': 256, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 5, 'batch_size': 172, 'attention_heads': 14, 'hidden_dimension': 210, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5669810821493562, 'global_pooling': 'mean', 'learning_rate': 0.0002282686631452336, 'weight_decay': 8.311530580138851e-06, 'beta_0': 0.8110576912486758, 'beta_1': 0.9974494920558508, 'epsilon': 1.6585970553048783e-07, 'balanced_loss': False, 'epochs': 172, 'early_stopping_patience': 18, 'plateau_patience': 13, 'plateau_divider': 3}. Best is trial 133 with value: 0.9752328645957553.
[I 2025-04-04 02:00:09,140] Trial 160 finished with value: 0.9733545441975158 and parameters: {'left_stride': 256, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 5, 'batch_size': 181, 'attention_heads': 14, 'hidden_dimension': 202, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5575129798900585, 'global_pooling': 'mean', 'learning_rate': 0.0002038924166900553, 'weight_decay': 9.735508263076985e-06, 'beta_0': 0.8005818009855298, 'beta_1': 0.9973189381547595, 'epsilon': 2.4697280417990143e-07, 'balanced_loss': False, 'epochs': 163, 'early_stopping_patience': 17, 'plateau_patience': 12, 'plateau_divider': 3}. Best is trial 133 with value: 0.9752328645957553.
[I 2025-04-04 02:18:53,244] Trial 161 finished with value: 0.9655324749454763 and parameters: {'left_stride': 256, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 5, 'batch_size': 184, 'attention_heads': 14, 'hidden_dimension': 202, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5486277698278758, 'global_pooling': 'mean', 'learning_rate': 0.00014543301223127048, 'weight_decay': 9.839901524136762e-06, 'beta_0': 0.801854899157994, 'beta_1': 0.996981216128087, 'epsilon': 2.685629082132018e-07, 'balanced_loss': False, 'epochs': 161, 'early_stopping_patience': 17, 'plateau_patience': 11, 'plateau_divider': 2}. Best is trial 133 with value: 0.9752328645957553.
[I 2025-04-04 02:41:01,137] Trial 162 finished with value: 0.9673819347720423 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 4, 'batch_size': 167, 'attention_heads': 13, 'hidden_dimension': 222, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5603955684688441, 'global_pooling': 'mean', 'learning_rate': 0.00018472911920456954, 'weight_decay': 1.5138769286177804e-05, 'beta_0': 0.8044250568395899, 'beta_1': 0.9976743308351528, 'epsilon': 1.3994391976676895e-07, 'balanced_loss': False, 'epochs': 164, 'early_stopping_patience': 18, 'plateau_patience': 12, 'plateau_divider': 3}. Best is trial 133 with value: 0.9752328645957553.
[I 2025-04-04 03:00:07,383] Trial 163 finished with value: 0.9608479024343144 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 4, 'batch_size': 166, 'attention_heads': 13, 'hidden_dimension': 220, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5549281669284281, 'global_pooling': 'mean', 'learning_rate': 0.00018952097112762467, 'weight_decay': 1.5212572226128341e-05, 'beta_0': 0.800535677446855, 'beta_1': 0.9960611611856256, 'epsilon': 1.434383558441857e-07, 'balanced_loss': False, 'epochs': 163, 'early_stopping_patience': 18, 'plateau_patience': 12, 'plateau_divider': 3}. Best is trial 133 with value: 0.9752328645957553.
[I 2025-04-04 03:15:19,541] Trial 164 finished with value: 0.9607249309619812 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 4, 'batch_size': 178, 'attention_heads': 13, 'hidden_dimension': 150, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5746490213358336, 'global_pooling': 'mean', 'learning_rate': 9.746152384149116e-05, 'weight_decay': 1.5565245686021875e-05, 'beta_0': 0.8037088268429444, 'beta_1': 0.9963850478162283, 'epsilon': 1.7670828020685956e-07, 'balanced_loss': False, 'epochs': 170, 'early_stopping_patience': 17, 'plateau_patience': 12, 'plateau_divider': 3}. Best is trial 133 with value: 0.9752328645957553.
[I 2025-04-04 03:33:32,030] Trial 165 finished with value: 0.9726033816027211 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 4, 'batch_size': 172, 'attention_heads': 13, 'hidden_dimension': 207, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5340867735225969, 'global_pooling': 'mean', 'learning_rate': 0.00012004712367624138, 'weight_decay': 1.3415800502583268e-05, 'beta_0': 0.8070656939020485, 'beta_1': 0.9965590411850489, 'epsilon': 3.224124284907522e-07, 'balanced_loss': False, 'epochs': 155, 'early_stopping_patience': 19, 'plateau_patience': 12, 'plateau_divider': 3}. Best is trial 133 with value: 0.9752328645957553.
[I 2025-04-04 03:54:01,148] Trial 166 finished with value: 0.9713177199776044 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 4, 'batch_size': 174, 'attention_heads': 14, 'hidden_dimension': 193, 'number_of_hidden_layers': 3, 'dropout_rate': 0.560954751363511, 'global_pooling': 'mean', 'learning_rate': 0.00011671693334325752, 'weight_decay': 1.8986812598517413e-05, 'beta_0': 0.8080611179847383, 'beta_1': 0.9958888455117776, 'epsilon': 3.691077131271549e-07, 'balanced_loss': False, 'epochs': 131, 'early_stopping_patience': 18, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 133 with value: 0.9752328645957553.
[I 2025-04-04 04:13:31,324] Trial 167 finished with value: 0.9651258198233502 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 4, 'batch_size': 167, 'attention_heads': 14, 'hidden_dimension': 191, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5572517825773176, 'global_pooling': 'mean', 'learning_rate': 0.00011592084284598243, 'weight_decay': 1.2369961975515428e-05, 'beta_0': 0.8077540444291951, 'beta_1': 0.9955012070217689, 'epsilon': 3.45795868310683e-07, 'balanced_loss': False, 'epochs': 158, 'early_stopping_patience': 19, 'plateau_patience': 10, 'plateau_divider': 4}. Best is trial 133 with value: 0.9752328645957553.
[I 2025-04-04 04:33:51,542] Trial 168 finished with value: 0.9506297594641673 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 3, 'batch_size': 174, 'attention_heads': 14, 'hidden_dimension': 197, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5353506970326294, 'global_pooling': 'mean', 'learning_rate': 7.142799225877903e-05, 'weight_decay': 1.8106287114529996e-05, 'beta_0': 0.8054372228402721, 'beta_1': 0.9959614032487548, 'epsilon': 2.6019095135766576e-07, 'balanced_loss': False, 'epochs': 132, 'early_stopping_patience': 18, 'plateau_patience': 12, 'plateau_divider': 4}. Best is trial 133 with value: 0.9752328645957553.
[I 2025-04-04 04:54:07,247] Trial 169 finished with value: 0.9657317793493186 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 4, 'batch_size': 170, 'attention_heads': 14, 'hidden_dimension': 212, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5606998978721953, 'global_pooling': 'mean', 'learning_rate': 8.927229541572614e-05, 'weight_decay': 1.3032395205621589e-05, 'beta_0': 0.800969213321925, 'beta_1': 0.996652660391378, 'epsilon': 3.910154389390324e-07, 'balanced_loss': False, 'epochs': 128, 'early_stopping_patience': 19, 'plateau_patience': 11, 'plateau_divider': 3}. Best is trial 133 with value: 0.9752328645957553.
[I 2025-04-04 05:17:18,512] Trial 170 finished with value: 0.9615158198425702 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 4, 'batch_size': 175, 'attention_heads': 13, 'hidden_dimension': 207, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5493134331386494, 'global_pooling': 'mean', 'learning_rate': 0.00011857073144646966, 'weight_decay': 1.9343915109853726e-05, 'beta_0': 0.8071912929677135, 'beta_1': 0.9952180147758122, 'epsilon': 2.0395701353157914e-07, 'balanced_loss': False, 'epochs': 165, 'early_stopping_patience': 17, 'plateau_patience': 12, 'plateau_divider': 3}. Best is trial 133 with value: 0.9752328645957553.
[I 2025-04-04 05:38:47,734] Trial 171 finished with value: 0.9535257264325929 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 4, 'batch_size': 182, 'attention_heads': 15, 'hidden_dimension': 201, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4946434484986679, 'global_pooling': 'mean', 'learning_rate': 6.094192564599646e-05, 'weight_decay': 1.0651385842288123e-05, 'beta_0': 0.8036735724200432, 'beta_1': 0.9970132393362828, 'epsilon': 3.177111159126848e-07, 'balanced_loss': False, 'epochs': 168, 'early_stopping_patience': 18, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 133 with value: 0.9752328645957553.
[I 2025-04-04 05:58:14,745] Trial 172 finished with value: 0.9692348841751579 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 4, 'batch_size': 163, 'attention_heads': 14, 'hidden_dimension': 215, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5292739950005859, 'global_pooling': 'mean', 'learning_rate': 7.492773353833112e-05, 'weight_decay': 1.5606819625658328e-05, 'beta_0': 0.8089456674365797, 'beta_1': 0.9962538229268758, 'epsilon': 4.516413118813821e-07, 'balanced_loss': False, 'epochs': 135, 'early_stopping_patience': 17, 'plateau_patience': 11, 'plateau_divider': 3}. Best is trial 133 with value: 0.9752328645957553.
[I 2025-04-04 06:13:37,423] Trial 173 finished with value: 0.9650313612028992 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 4, 'batch_size': 163, 'attention_heads': 14, 'hidden_dimension': 215, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5263273188740432, 'global_pooling': 'mean', 'learning_rate': 0.0001774868420251273, 'weight_decay': 1.402381625309276e-05, 'beta_0': 0.8023911128815493, 'beta_1': 0.9958827129390145, 'epsilon': 5.46356399685649e-07, 'balanced_loss': True, 'epochs': 134, 'early_stopping_patience': 18, 'plateau_patience': 10, 'plateau_divider': 3}. Best is trial 133 with value: 0.9752328645957553.
[I 2025-04-04 06:35:50,971] Trial 174 finished with value: 0.9682198120059735 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 4, 'batch_size': 168, 'attention_heads': 13, 'hidden_dimension': 204, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5756260335011285, 'global_pooling': 'mean', 'learning_rate': 7.993262693455472e-05, 'weight_decay': 1.5773959140729557e-05, 'beta_0': 0.8083122500522919, 'beta_1': 0.9943666835745818, 'epsilon': 4.305277878618989e-07, 'balanced_loss': False, 'epochs': 155, 'early_stopping_patience': 17, 'plateau_patience': 11, 'plateau_divider': 5}. Best is trial 133 with value: 0.9752328645957553.
[I 2025-04-04 06:52:51,763] Trial 175 finished with value: 0.9555932016528776 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 4, 'batch_size': 172, 'attention_heads': 14, 'hidden_dimension': 194, 'number_of_hidden_layers': 3, 'dropout_rate': 0.47122827772962245, 'global_pooling': 'mean', 'learning_rate': 7.653227164889624e-05, 'weight_decay': 2.417257531399546e-05, 'beta_0': 0.8081607524891521, 'beta_1': 0.9945134299262866, 'epsilon': 4.6310889395374224e-07, 'balanced_loss': False, 'epochs': 154, 'early_stopping_patience': 16, 'plateau_patience': 11, 'plateau_divider': 5}. Best is trial 133 with value: 0.9752328645957553.
[I 2025-04-04 07:10:33,931] Trial 176 finished with value: 0.9589534374567938 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 3, 'batch_size': 179, 'attention_heads': 14, 'hidden_dimension': 205, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5779949590318424, 'global_pooling': 'mean', 'learning_rate': 9.707423590076756e-05, 'weight_decay': 9.426879044410771e-06, 'beta_0': 0.81352528364084, 'beta_1': 0.9940539404385841, 'epsilon': 7.936989607863637e-07, 'balanced_loss': False, 'epochs': 125, 'early_stopping_patience': 17, 'plateau_patience': 10, 'plateau_divider': 4}. Best is trial 133 with value: 0.9752328645957553.
[I 2025-04-04 07:31:54,107] Trial 177 finished with value: 0.9407898599366865 and parameters: {'left_stride': 32, 'right_stride': 128, 'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 3, 'batch_size': 161, 'attention_heads': 14, 'hidden_dimension': 187, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5107502968440619, 'global_pooling': 'mean', 'learning_rate': 4.611340804203767e-05, 'weight_decay': 1.1418535146900973e-05, 'beta_0': 0.8089614120973032, 'beta_1': 0.9949376942210468, 'epsilon': 4.2230541732212925e-07, 'balanced_loss': False, 'epochs': 122, 'early_stopping_patience': 17, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 133 with value: 0.9752328645957553.
