[I 2025-04-02 05:20:10,662] Using an existing study with name 'SST-2-GATv2-facebook-bart-large-Grouped-Sliding_Windows' instead of creating a new one.
[I 2025-04-02 05:26:18,044] Trial 45 finished with value: 0.9472477064220184 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 8, 'batch_size': 99, 'attention_heads': 12, 'hidden_dimension': 43, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5783235673893313, 'global_pooling': 'max', 'learning_rate': 0.0017404079915057443, 'weight_decay': 4.005745168633896e-06, 'beta_0': 0.8370061709044418, 'beta_1': 0.9815213717834694, 'epsilon': 3.6437159475175004e-07, 'balanced_loss': True, 'epochs': 99, 'early_stopping_patience': 20, 'plateau_patience': 11, 'plateau_divider': 6}. Best is trial 42 with value: 0.9495412844036697.
[I 2025-04-02 05:32:21,490] Trial 46 finished with value: 0.9288990825688074 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 6, 'batch_size': 80, 'attention_heads': 13, 'hidden_dimension': 79, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4882928835767849, 'global_pooling': 'max', 'learning_rate': 0.01223822222697471, 'weight_decay': 2.2194522008989416e-06, 'beta_0': 0.8393789730749351, 'beta_1': 0.9873987486454193, 'epsilon': 1.97164278918179e-07, 'balanced_loss': True, 'epochs': 125, 'early_stopping_patience': 18, 'plateau_patience': 12, 'plateau_divider': 5}. Best is trial 42 with value: 0.9495412844036697.
[I 2025-04-02 05:38:09,759] Trial 47 finished with value: 0.9380733944954128 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 5, 'batch_size': 63, 'attention_heads': 7, 'hidden_dimension': 49, 'number_of_hidden_layers': 4, 'dropout_rate': 0.517226426512117, 'global_pooling': 'max', 'learning_rate': 0.006602498791787776, 'weight_decay': 5.3658558970840775e-06, 'beta_0': 0.8505256667078501, 'beta_1': 0.9849728215208127, 'epsilon': 3.7956559891533284e-07, 'balanced_loss': True, 'epochs': 94, 'early_stopping_patience': 16, 'plateau_patience': 10, 'plateau_divider': 5}. Best is trial 42 with value: 0.9495412844036697.
[I 2025-04-02 05:44:24,690] Trial 48 finished with value: 0.9461009174311926 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 9, 'batch_size': 137, 'attention_heads': 8, 'hidden_dimension': 70, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5500789906715334, 'global_pooling': 'max', 'learning_rate': 0.0010576912490093855, 'weight_decay': 6.192391313526973e-05, 'beta_0': 0.8014047667648628, 'beta_1': 0.9825008789240712, 'epsilon': 5.2644188848529805e-08, 'balanced_loss': True, 'epochs': 107, 'early_stopping_patience': 21, 'plateau_patience': 13, 'plateau_divider': 6}. Best is trial 42 with value: 0.9495412844036697.
[I 2025-04-02 05:51:43,664] Trial 49 finished with value: 0.9461009174311926 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 8, 'batch_size': 122, 'attention_heads': 15, 'hidden_dimension': 103, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5858189620058655, 'global_pooling': 'sum', 'learning_rate': 0.0019489700461649457, 'weight_decay': 1.4610449130907683e-06, 'beta_0': 0.8414645926459541, 'beta_1': 0.9811439582972187, 'epsilon': 2.4969730309313623e-08, 'balanced_loss': True, 'epochs': 200, 'early_stopping_patience': 22, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 42 with value: 0.9495412844036697.
[I 2025-04-02 05:58:03,008] Trial 50 finished with value: 0.9426605504587156 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 7, 'batch_size': 94, 'attention_heads': 10, 'hidden_dimension': 89, 'number_of_hidden_layers': 3, 'dropout_rate': 0.3958363987047113, 'global_pooling': 'max', 'learning_rate': 0.0002443967437414202, 'weight_decay': 7.854895090334161e-06, 'beta_0': 0.8344325499454891, 'beta_1': 0.9867511517278557, 'epsilon': 5.054941730736163e-06, 'balanced_loss': True, 'epochs': 111, 'early_stopping_patience': 19, 'plateau_patience': 15, 'plateau_divider': 5}. Best is trial 42 with value: 0.9495412844036697.
[I 2025-04-02 06:04:16,622] Trial 51 finished with value: 0.9472477064220184 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 6, 'batch_size': 68, 'attention_heads': 11, 'hidden_dimension': 44, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5697308994587187, 'global_pooling': 'max', 'learning_rate': 0.0006686279778787871, 'weight_decay': 2.8080868180305115e-06, 'beta_0': 0.8235151669692912, 'beta_1': 0.9851616734513537, 'epsilon': 2.478387783758559e-07, 'balanced_loss': True, 'epochs': 126, 'early_stopping_patience': 24, 'plateau_patience': 11, 'plateau_divider': 2}. Best is trial 42 with value: 0.9495412844036697.
[I 2025-04-02 06:10:02,556] Trial 52 finished with value: 0.9151376146788991 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 7, 'batch_size': 113, 'attention_heads': 9, 'hidden_dimension': 64, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5083915553494671, 'global_pooling': 'sum', 'learning_rate': 0.014402754520512854, 'weight_decay': 1.8417192126578078e-05, 'beta_0': 0.8866567766099326, 'beta_1': 0.9832755147064192, 'epsilon': 1.8956128337625598e-06, 'balanced_loss': False, 'epochs': 50, 'early_stopping_patience': 10, 'plateau_patience': 10, 'plateau_divider': 7}. Best is trial 42 with value: 0.9495412844036697.
[I 2025-04-02 06:16:05,324] Trial 53 finished with value: 0.944954128440367 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 7, 'batch_size': 78, 'attention_heads': 10, 'hidden_dimension': 53, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5497301113324977, 'global_pooling': 'max', 'learning_rate': 0.0033813503476285444, 'weight_decay': 1.351305198263866e-06, 'beta_0': 0.8787505964217037, 'beta_1': 0.9804296788582764, 'epsilon': 1.1696766705514494e-07, 'balanced_loss': True, 'epochs': 85, 'early_stopping_patience': 20, 'plateau_patience': 12, 'plateau_divider': 4}. Best is trial 42 with value: 0.9495412844036697.
[I 2025-04-02 06:22:40,206] Trial 54 finished with value: 0.9438073394495413 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 7, 'batch_size': 63, 'attention_heads': 9, 'hidden_dimension': 74, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5408346398653197, 'global_pooling': 'max', 'learning_rate': 0.003770495115377335, 'weight_decay': 1.907555883995864e-06, 'beta_0': 0.8959357361488481, 'beta_1': 0.9809962067515537, 'epsilon': 5.4555053177391425e-08, 'balanced_loss': True, 'epochs': 97, 'early_stopping_patience': 17, 'plateau_patience': 12, 'plateau_divider': 4}. Best is trial 42 with value: 0.9495412844036697.
[I 2025-04-02 06:28:36,450] Trial 55 finished with value: 0.948394495412844 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 8, 'batch_size': 163, 'attention_heads': 8, 'hidden_dimension': 39, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5602640174624155, 'global_pooling': 'max', 'learning_rate': 0.0021902281105270157, 'weight_decay': 1.2388037604755056e-06, 'beta_0': 0.8527781969148898, 'beta_1': 0.9820597710059696, 'epsilon': 9.005084037866774e-07, 'balanced_loss': True, 'epochs': 91, 'early_stopping_patience': 19, 'plateau_patience': 13, 'plateau_divider': 3}. Best is trial 42 with value: 0.9495412844036697.
[I 2025-04-02 06:34:21,018] Trial 56 finished with value: 0.9472477064220184 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 8, 'batch_size': 165, 'attention_heads': 8, 'hidden_dimension': 38, 'number_of_hidden_layers': 3, 'dropout_rate': 0.529960616065958, 'global_pooling': 'max', 'learning_rate': 0.006362664601995977, 'weight_decay': 4.2938577197389085e-06, 'beta_0': 0.8176107658252864, 'beta_1': 0.9826469193468667, 'epsilon': 9.40283541205637e-07, 'balanced_loss': True, 'epochs': 61, 'early_stopping_patience': 18, 'plateau_patience': 13, 'plateau_divider': 3}. Best is trial 42 with value: 0.9495412844036697.
[I 2025-04-02 06:40:22,532] Trial 57 finished with value: 0.9461009174311926 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 9, 'batch_size': 146, 'attention_heads': 7, 'hidden_dimension': 42, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5899961091819712, 'global_pooling': 'mean', 'learning_rate': 0.002204029010175175, 'weight_decay': 2.495439470137035e-06, 'beta_0': 0.8545171501040958, 'beta_1': 0.9822322285781608, 'epsilon': 8.323578253570195e-06, 'balanced_loss': True, 'epochs': 91, 'early_stopping_patience': 20, 'plateau_patience': 14, 'plateau_divider': 3}. Best is trial 42 with value: 0.9495412844036697.
[I 2025-04-02 06:46:11,067] Trial 58 finished with value: 0.5584862385321101 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 8, 'batch_size': 200, 'attention_heads': 10, 'hidden_dimension': 32, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5649016332160278, 'global_pooling': 'mean', 'learning_rate': 0.034111360481763844, 'weight_decay': 1.1666573851551685e-06, 'beta_0': 0.8499140983083332, 'beta_1': 0.9838679186612492, 'epsilon': 4.506697862152089e-07, 'balanced_loss': False, 'epochs': 109, 'early_stopping_patience': 22, 'plateau_patience': 11, 'plateau_divider': 2}. Best is trial 42 with value: 0.9495412844036697.
[I 2025-04-02 06:52:19,941] Trial 59 finished with value: 0.9461009174311926 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'mean', 'window_size': 9, 'batch_size': 232, 'attention_heads': 8, 'hidden_dimension': 64, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4710748820451125, 'global_pooling': 'max', 'learning_rate': 0.0010172920189260265, 'weight_decay': 0.0002727677512162397, 'beta_0': 0.8723238236048926, 'beta_1': 0.9851016566103223, 'epsilon': 2.1745201755030912e-07, 'balanced_loss': False, 'epochs': 101, 'early_stopping_patience': 21, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 42 with value: 0.9495412844036697.
[I 2025-04-02 06:58:20,679] Trial 60 finished with value: 0.9426605504587156 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'max', 'window_size': 10, 'batch_size': 105, 'attention_heads': 6, 'hidden_dimension': 202, 'number_of_hidden_layers': 0, 'dropout_rate': 0.300435003537826, 'global_pooling': 'mean', 'learning_rate': 0.0004360196996374701, 'weight_decay': 0.0007412559707187595, 'beta_0': 0.8796804579550643, 'beta_1': 0.996117392491478, 'epsilon': 3.998020079060418e-06, 'balanced_loss': True, 'epochs': 80, 'early_stopping_patience': 18, 'plateau_patience': 18, 'plateau_divider': 5}. Best is trial 42 with value: 0.9495412844036697.
[I 2025-04-02 07:04:54,783] Trial 61 finished with value: 0.9518348623853211 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 8, 'batch_size': 170, 'attention_heads': 11, 'hidden_dimension': 89, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5753219552517234, 'global_pooling': 'max', 'learning_rate': 0.002707516746420555, 'weight_decay': 3.704931264811862e-06, 'beta_0': 0.8315225946736471, 'beta_1': 0.9945117404059798, 'epsilon': 7.569442912319529e-07, 'balanced_loss': False, 'epochs': 120, 'early_stopping_patience': 19, 'plateau_patience': 14, 'plateau_divider': 2}. Best is trial 61 with value: 0.9518348623853211.
[I 2025-04-02 07:11:31,924] Trial 62 finished with value: 0.944954128440367 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 8, 'batch_size': 172, 'attention_heads': 12, 'hidden_dimension': 89, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5580716638349988, 'global_pooling': 'max', 'learning_rate': 0.006476090952665438, 'weight_decay': 3.226079382406601e-06, 'beta_0': 0.8197031999179925, 'beta_1': 0.9946941992845257, 'epsilon': 7.989211217416107e-07, 'balanced_loss': False, 'epochs': 170, 'early_stopping_patience': 19, 'plateau_patience': 14, 'plateau_divider': 2}. Best is trial 61 with value: 0.9518348623853211.
[I 2025-04-02 07:17:50,159] Trial 63 finished with value: 0.9495412844036697 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 8, 'batch_size': 185, 'attention_heads': 11, 'hidden_dimension': 49, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5737457769372449, 'global_pooling': 'max', 'learning_rate': 0.0014779596989699338, 'weight_decay': 2.0279033522852493e-06, 'beta_0': 0.8116127209151773, 'beta_1': 0.9919596759774729, 'epsilon': 1.7549626162457256e-06, 'balanced_loss': False, 'epochs': 134, 'early_stopping_patience': 20, 'plateau_patience': 13, 'plateau_divider': 2}. Best is trial 61 with value: 0.9518348623853211.
[I 2025-04-02 07:23:53,994] Trial 64 finished with value: 0.9472477064220184 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 8, 'batch_size': 188, 'attention_heads': 11, 'hidden_dimension': 51, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5700203246351789, 'global_pooling': 'max', 'learning_rate': 0.002267330500100123, 'weight_decay': 3.7608972665827975e-06, 'beta_0': 0.8076895934147194, 'beta_1': 0.9926631787784287, 'epsilon': 2.174592971691701e-06, 'balanced_loss': False, 'epochs': 136, 'early_stopping_patience': 19, 'plateau_patience': 13, 'plateau_divider': 2}. Best is trial 61 with value: 0.9518348623853211.
[I 2025-04-02 07:30:07,139] Trial 65 finished with value: 0.9506880733944955 and parameters: {'co_occurrence_pooling_operation': 'sum', 'embedding_pooling_operation': 'min', 'window_size': 8, 'batch_size': 189, 'attention_heads': 11, 'hidden_dimension': 41, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5771035710298115, 'global_pooling': 'max', 'learning_rate': 0.0014559993651147899, 'weight_decay': 1.719171946232294e-06, 'beta_0': 0.8107359417220775, 'beta_1': 0.9913490813413688, 'epsilon': 1.3538609164468463e-06, 'balanced_loss': False, 'epochs': 158, 'early_stopping_patience': 20, 'plateau_patience': 15, 'plateau_divider': 2}. Best is trial 61 with value: 0.9518348623853211.
