[I 2024-12-03 05:05:57,699] Using an existing study with name 'SST-2-GATv2-facebook-bart-base-Grouped-No_Aggregation' instead of creating a new one.
[I 2024-12-03 05:10:04,410] Trial 137 finished with value: 0.9197247706422018 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5973736469945329, 'batch_size': 111, 'attention_heads': 11, 'hidden_dimension': 51, 'number_of_hidden_layers': 3, 'dropout_rate': 0.41946052633916214, 'global_pooling': 'max', 'learning_rate': 0.0012420954341620801, 'weight_decay': 6.278651230241999e-05, 'beta_0': 0.8342667813506597, 'beta_1': 0.9897271852962058, 'epsilon': 2.0944852661910325e-07, 'balanced_loss': True, 'epochs': 61, 'early_stopping_patience': 18, 'plateau_patience': 11, 'plateau_divider': 3}. Best is trial 133 with value: 0.9220183486238532.
[I 2024-12-03 05:16:42,758] Trial 138 finished with value: 0.9174311926605505 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6547734772891759, 'batch_size': 98, 'attention_heads': 12, 'hidden_dimension': 173, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4508998761698412, 'global_pooling': 'max', 'learning_rate': 0.0023936566279886768, 'weight_decay': 1.8469033687910475e-05, 'beta_0': 0.8435173954393542, 'beta_1': 0.9914104452650219, 'epsilon': 2.996894878961025e-06, 'balanced_loss': False, 'epochs': 67, 'early_stopping_patience': 25, 'plateau_patience': 13, 'plateau_divider': 3}. Best is trial 133 with value: 0.9220183486238532.
[I 2024-12-03 05:21:13,901] Trial 139 finished with value: 0.9128440366972477 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6337134815257786, 'batch_size': 97, 'attention_heads': 4, 'hidden_dimension': 132, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4655131814990726, 'global_pooling': 'sum', 'learning_rate': 0.0009159774687626646, 'weight_decay': 0.00010054679433080274, 'beta_0': 0.8414889893022064, 'beta_1': 0.990589213878265, 'epsilon': 7.188958626315231e-07, 'balanced_loss': False, 'epochs': 140, 'early_stopping_patience': 24, 'plateau_patience': 14, 'plateau_divider': 3}. Best is trial 133 with value: 0.9220183486238532.
[I 2024-12-03 05:25:55,687] Trial 140 finished with value: 0.9048165137614679 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.6174236182960801, 'batch_size': 102, 'attention_heads': 11, 'hidden_dimension': 121, 'number_of_hidden_layers': 3, 'dropout_rate': 0.32953379999680993, 'global_pooling': 'max', 'learning_rate': 0.0013889597621755494, 'weight_decay': 0.00016812238793505348, 'beta_0': 0.833227724557479, 'beta_1': 0.9841517391619742, 'epsilon': 2.421751705638693e-06, 'balanced_loss': False, 'epochs': 58, 'early_stopping_patience': 18, 'plateau_patience': 12, 'plateau_divider': 2}. Best is trial 133 with value: 0.9220183486238532.
[I 2024-12-03 05:30:29,082] Trial 141 finished with value: 0.9254587155963303 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6627266226032521, 'batch_size': 121, 'attention_heads': 12, 'hidden_dimension': 58, 'number_of_hidden_layers': 4, 'dropout_rate': 0.44258847615998675, 'global_pooling': 'max', 'learning_rate': 0.003538981317975683, 'weight_decay': 7.799069807851783e-05, 'beta_0': 0.8460536593192761, 'beta_1': 0.9989261155880527, 'epsilon': 1.8062968186524761e-06, 'balanced_loss': False, 'epochs': 63, 'early_stopping_patience': 21, 'plateau_patience': 12, 'plateau_divider': 4}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 05:34:57,131] Trial 142 finished with value: 0.9105504587155964 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6697167490880349, 'batch_size': 116, 'attention_heads': 12, 'hidden_dimension': 65, 'number_of_hidden_layers': 4, 'dropout_rate': 0.442103975491717, 'global_pooling': 'max', 'learning_rate': 0.0047043063770304825, 'weight_decay': 7.867330867106742e-05, 'beta_0': 0.845798612536395, 'beta_1': 0.9976025693613083, 'epsilon': 1.7914329609516632e-06, 'balanced_loss': False, 'epochs': 64, 'early_stopping_patience': 21, 'plateau_patience': 12, 'plateau_divider': 4}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 05:39:18,910] Trial 143 finished with value: 0.9185779816513762 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.647947360172001, 'batch_size': 122, 'attention_heads': 12, 'hidden_dimension': 48, 'number_of_hidden_layers': 4, 'dropout_rate': 0.42311909601399306, 'global_pooling': 'max', 'learning_rate': 0.003648536743031048, 'weight_decay': 8.639749775303656e-05, 'beta_0': 0.8400164691402098, 'beta_1': 0.9911321046875862, 'epsilon': 2.100679910353455e-06, 'balanced_loss': False, 'epochs': 55, 'early_stopping_patience': 21, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 05:43:49,191] Trial 144 finished with value: 0.8577981651376146 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6827549737941224, 'batch_size': 38, 'attention_heads': 12, 'hidden_dimension': 61, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4366162012794661, 'global_pooling': 'max', 'learning_rate': 0.005948395595787146, 'weight_decay': 5.8256288303279314e-05, 'beta_0': 0.8536641814331148, 'beta_1': 0.9886821434559232, 'epsilon': 1.4949237183979212e-06, 'balanced_loss': False, 'epochs': 60, 'early_stopping_patience': 19, 'plateau_patience': 12, 'plateau_divider': 3}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 05:47:50,123] Trial 145 finished with value: 0.9185779816513762 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6613113409475845, 'batch_size': 139, 'attention_heads': 7, 'hidden_dimension': 32, 'number_of_hidden_layers': 4, 'dropout_rate': 0.41081994965422786, 'global_pooling': 'max', 'learning_rate': 0.002866912822538515, 'weight_decay': 0.00012891781662893465, 'beta_0': 0.8472756474012809, 'beta_1': 0.9901211212005586, 'epsilon': 5.196598415882339e-07, 'balanced_loss': False, 'epochs': 71, 'early_stopping_patience': 20, 'plateau_patience': 13, 'plateau_divider': 3}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 05:52:16,633] Trial 146 finished with value: 0.9220183486238532 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6066131710828964, 'batch_size': 47, 'attention_heads': 13, 'hidden_dimension': 40, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4507675346205071, 'global_pooling': 'max', 'learning_rate': 0.0018431078097869257, 'weight_decay': 0.00011018929901013941, 'beta_0': 0.8373829735615825, 'beta_1': 0.98549991660605, 'epsilon': 9.627575122518953e-07, 'balanced_loss': False, 'epochs': 53, 'early_stopping_patience': 21, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 05:56:58,655] Trial 147 finished with value: 0.9220183486238532 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5903555569449616, 'batch_size': 49, 'attention_heads': 11, 'hidden_dimension': 57, 'number_of_hidden_layers': 4, 'dropout_rate': 0.45056040777220174, 'global_pooling': 'max', 'learning_rate': 0.00175301493443187, 'weight_decay': 3.388224669310785e-05, 'beta_0': 0.8382726348643286, 'beta_1': 0.9855220593413827, 'epsilon': 1.0294274977120283e-06, 'balanced_loss': False, 'epochs': 64, 'early_stopping_patience': 22, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 141 with value: 0.9254587155963303.
