[I 2024-12-03 17:06:57,682] Using an existing study with name 'SST-2-GATv2-xlnet-xlnet-base-cased-Grouped-No_Aggregation' instead of creating a new one.
[I 2024-12-03 17:21:18,668] Trial 176 finished with value: 0.8795871559633027 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.5279918987499286, 'batch_size': 179, 'attention_heads': 13, 'hidden_dimension': 252, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3010655790002031, 'global_pooling': 'max', 'learning_rate': 0.002027083823306188, 'weight_decay': 1.3327738894932498e-05, 'beta_0': 0.8134116572097442, 'beta_1': 0.9833877054749176, 'epsilon': 3.5175859872486186e-07, 'balanced_loss': True, 'epochs': 64, 'early_stopping_patience': 25, 'plateau_patience': 13, 'plateau_divider': 4}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-03 17:34:38,905] Trial 177 finished with value: 0.8818807339449541 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.538126579738115, 'batch_size': 168, 'attention_heads': 13, 'hidden_dimension': 243, 'number_of_hidden_layers': 4, 'dropout_rate': 0.307193834930906, 'global_pooling': 'max', 'learning_rate': 0.0018550832700426974, 'weight_decay': 7.903692086857654e-06, 'beta_0': 0.8617002983529398, 'beta_1': 0.9830397366302485, 'epsilon': 5.410057729752012e-07, 'balanced_loss': True, 'epochs': 65, 'early_stopping_patience': 24, 'plateau_patience': 13, 'plateau_divider': 4}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-03 17:52:12,050] Trial 178 finished with value: 0.8899082568807339 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5506275220229132, 'batch_size': 173, 'attention_heads': 14, 'hidden_dimension': 255, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3106263077950172, 'global_pooling': 'max', 'learning_rate': 0.0012558569332329016, 'weight_decay': 2.347796632294116e-06, 'beta_0': 0.8211985005302929, 'beta_1': 0.9845051504755227, 'epsilon': 6.152412183077954e-07, 'balanced_loss': True, 'epochs': 60, 'early_stopping_patience': 25, 'plateau_patience': 14, 'plateau_divider': 4}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-03 18:08:47,077] Trial 179 finished with value: 0.8761467889908257 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5194065186499066, 'batch_size': 174, 'attention_heads': 13, 'hidden_dimension': 237, 'number_of_hidden_layers': 4, 'dropout_rate': 0.30042797503112645, 'global_pooling': 'max', 'learning_rate': 0.002525349984804969, 'weight_decay': 3.782651099070541e-06, 'beta_0': 0.867696084592239, 'beta_1': 0.98489000396651, 'epsilon': 3.796220094669006e-07, 'balanced_loss': True, 'epochs': 56, 'early_stopping_patience': 25, 'plateau_patience': 13, 'plateau_divider': 5}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-03 18:22:35,064] Trial 180 finished with value: 0.8910550458715596 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.49553985859205857, 'batch_size': 186, 'attention_heads': 14, 'hidden_dimension': 240, 'number_of_hidden_layers': 3, 'dropout_rate': 0.3230381090088323, 'global_pooling': 'max', 'learning_rate': 0.001608962206724038, 'weight_decay': 4.95845999464337e-06, 'beta_0': 0.8437289086473088, 'beta_1': 0.9856282130793258, 'epsilon': 4.759487102821127e-07, 'balanced_loss': True, 'epochs': 59, 'early_stopping_patience': 24, 'plateau_patience': 14, 'plateau_divider': 4}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-03 18:36:38,917] Trial 181 finished with value: 0.8841743119266054 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5313738068252171, 'batch_size': 179, 'attention_heads': 13, 'hidden_dimension': 231, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3123039373673759, 'global_pooling': 'max', 'learning_rate': 0.001150029190710801, 'weight_decay': 1.6223709794785688e-05, 'beta_0': 0.8653180690004348, 'beta_1': 0.9814714723691113, 'epsilon': 7.327512873189636e-07, 'balanced_loss': True, 'epochs': 51, 'early_stopping_patience': 23, 'plateau_patience': 15, 'plateau_divider': 4}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-03 18:45:40,922] Trial 182 finished with value: 0.8864678899082569 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.554979693623843, 'batch_size': 192, 'attention_heads': 7, 'hidden_dimension': 223, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3063302742438055, 'global_pooling': 'max', 'learning_rate': 0.0008217560936719668, 'weight_decay': 1.958688769617491e-05, 'beta_0': 0.869423437951819, 'beta_1': 0.9829145983412985, 'epsilon': 2.6201503115904376e-07, 'balanced_loss': True, 'epochs': 53, 'early_stopping_patience': 23, 'plateau_patience': 13, 'plateau_divider': 4}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-03 18:59:35,697] Trial 183 finished with value: 0.8784403669724771 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5714460353537104, 'batch_size': 197, 'attention_heads': 13, 'hidden_dimension': 251, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3172168752571987, 'global_pooling': 'mean', 'learning_rate': 0.0014488344994233726, 'weight_decay': 1.372959961562425e-05, 'beta_0': 0.8628446825003143, 'beta_1': 0.982508796381617, 'epsilon': 1.047067170148619e-06, 'balanced_loss': True, 'epochs': 62, 'early_stopping_patience': 21, 'plateau_patience': 10, 'plateau_divider': 4}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-03 19:14:37,408] Trial 184 finished with value: 0.8876146788990825 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.543206328694661, 'batch_size': 184, 'attention_heads': 13, 'hidden_dimension': 249, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3246555013997451, 'global_pooling': 'mean', 'learning_rate': 0.0009941452295843907, 'weight_decay': 1.1232350541897494e-05, 'beta_0': 0.8595495986154957, 'beta_1': 0.9835713230974215, 'epsilon': 6.93072263454991e-07, 'balanced_loss': True, 'epochs': 57, 'early_stopping_patience': 24, 'plateau_patience': 13, 'plateau_divider': 4}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-03 19:24:09,689] Trial 185 finished with value: 0.8899082568807339 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6970004775242354, 'batch_size': 176, 'attention_heads': 12, 'hidden_dimension': 204, 'number_of_hidden_layers': 4, 'dropout_rate': 0.31505599298372755, 'global_pooling': 'mean', 'learning_rate': 0.000779125055373552, 'weight_decay': 1.004336941612591e-05, 'beta_0': 0.8525909373594539, 'beta_1': 0.9818394877501316, 'epsilon': 4.4201721184893314e-07, 'balanced_loss': True, 'epochs': 52, 'early_stopping_patience': 21, 'plateau_patience': 15, 'plateau_divider': 4}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-03 19:37:27,986] Trial 186 finished with value: 0.8864678899082569 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5109828621536401, 'batch_size': 182, 'attention_heads': 11, 'hidden_dimension': 256, 'number_of_hidden_layers': 4, 'dropout_rate': 0.32895191849364097, 'global_pooling': 'mean', 'learning_rate': 0.0017942113961516748, 'weight_decay': 6.616930008746676e-06, 'beta_0': 0.8497570982053514, 'beta_1': 0.9821780374973031, 'epsilon': 5.689647145327187e-07, 'balanced_loss': True, 'epochs': 64, 'early_stopping_patience': 25, 'plateau_patience': 12, 'plateau_divider': 4}. Best is trial 103 with value: 0.9002293577981652.
