[I 2024-11-28 06:10:21,569] A new study created in RDB with name: SST-2-GATv2-google-bert-bert-base-uncased-Grouped-Global_Aggregation
[I 2024-11-28 06:15:29,069] Trial 0 finished with value: 0.8944954128440367 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.4319459866925097, 'batch_size': 226, 'attention_heads': 11, 'hidden_dimension': 191, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5909729556485983, 'global_pooling': 'mean', 'learning_rate': 5.415244119402538e-05, 'weight_decay': 8.179499475211674e-06, 'beta_0': 0.8510059609290175, 'beta_1': 0.9881622148267181, 'epsilon': 1.4618962793704927e-07, 'balanced_loss': True, 'epochs': 94, 'early_stopping_patience': 15, 'plateau_patience': 17, 'plateau_divider': 9}. Best is trial 0 with value: 0.8944954128440367.
[I 2024-11-28 06:20:16,537] Trial 1 finished with value: 0.8967889908256881 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.43577837614190373, 'batch_size': 245, 'attention_heads': 16, 'hidden_dimension': 213, 'number_of_hidden_layers': 1, 'dropout_rate': 0.32930163420191516, 'global_pooling': 'mean', 'learning_rate': 0.0009565499215943821, 'weight_decay': 1.2681352169084602e-06, 'beta_0': 0.8904386843107996, 'beta_1': 0.9848818831861611, 'epsilon': 4.467752817973898e-06, 'balanced_loss': False, 'epochs': 132, 'early_stopping_patience': 12, 'plateau_patience': 25, 'plateau_divider': 8}. Best is trial 1 with value: 0.8967889908256881.
[I 2024-11-28 06:24:43,182] Trial 2 finished with value: 0.5538990825688074 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.42487500890079594, 'batch_size': 105, 'attention_heads': 9, 'hidden_dimension': 93, 'number_of_hidden_layers': 4, 'dropout_rate': 0.40702599800807676, 'global_pooling': 'sum', 'learning_rate': 0.016172900811143146, 'weight_decay': 1.6736010167825795e-06, 'beta_0': 0.8986110261361376, 'beta_1': 0.9946405101730994, 'epsilon': 6.235377135673148e-08, 'balanced_loss': False, 'epochs': 156, 'early_stopping_patience': 21, 'plateau_patience': 22, 'plateau_divider': 2}. Best is trial 1 with value: 0.8967889908256881.
[I 2024-11-28 06:31:40,629] Trial 3 finished with value: 0.8967889908256881 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5710402769436143, 'batch_size': 105, 'attention_heads': 13, 'hidden_dimension': 175, 'number_of_hidden_layers': 4, 'dropout_rate': 0.44166447754858473, 'global_pooling': 'max', 'learning_rate': 0.0017583640270008513, 'weight_decay': 0.00020554245520150764, 'beta_0': 0.8479082820660899, 'beta_1': 0.9898864065152503, 'epsilon': 5.130551760589827e-07, 'balanced_loss': False, 'epochs': 54, 'early_stopping_patience': 20, 'plateau_patience': 15, 'plateau_divider': 6}. Best is trial 1 with value: 0.8967889908256881.
[I 2024-11-28 06:41:33,637] Trial 4 finished with value: 0.8922018348623854 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.5593632991025724, 'batch_size': 68, 'attention_heads': 16, 'hidden_dimension': 213, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5614381770563153, 'global_pooling': 'max', 'learning_rate': 0.0014367095138664223, 'weight_decay': 0.00026443593078398644, 'beta_0': 0.889052315352582, 'beta_1': 0.9860025494147586, 'epsilon': 2.755546207779655e-08, 'balanced_loss': False, 'epochs': 173, 'early_stopping_patience': 23, 'plateau_patience': 10, 'plateau_divider': 6}. Best is trial 1 with value: 0.8967889908256881.
[I 2024-11-28 06:48:56,442] Trial 5 finished with value: 0.8669724770642202 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6853348419588514, 'batch_size': 190, 'attention_heads': 8, 'hidden_dimension': 250, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3755346887476092, 'global_pooling': 'mean', 'learning_rate': 1.4045842344024695e-05, 'weight_decay': 6.740513796374044e-05, 'beta_0': 0.8487959271998592, 'beta_1': 0.9809692144821089, 'epsilon': 1.3019246714361555e-07, 'balanced_loss': True, 'epochs': 71, 'early_stopping_patience': 17, 'plateau_patience': 25, 'plateau_divider': 4}. Best is trial 1 with value: 0.8967889908256881.
[I 2024-11-28 06:54:16,211] Trial 6 finished with value: 0.8807339449541285 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.748441340918492, 'batch_size': 152, 'attention_heads': 5, 'hidden_dimension': 219, 'number_of_hidden_layers': 1, 'dropout_rate': 0.35595555311995625, 'global_pooling': 'max', 'learning_rate': 1.1650681118986128e-05, 'weight_decay': 3.4377886617795816e-05, 'beta_0': 0.8216291089982651, 'beta_1': 0.9922164838130152, 'epsilon': 4.9827112000811335e-08, 'balanced_loss': True, 'epochs': 191, 'early_stopping_patience': 12, 'plateau_patience': 15, 'plateau_divider': 3}. Best is trial 1 with value: 0.8967889908256881.
[I 2024-11-28 06:58:05,044] Trial 7 finished with value: 0.5149082568807339 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6913078180958036, 'batch_size': 86, 'attention_heads': 5, 'hidden_dimension': 233, 'number_of_hidden_layers': 4, 'dropout_rate': 0.48993043718198037, 'global_pooling': 'max', 'learning_rate': 0.0387651117091163, 'weight_decay': 0.00045841547801363794, 'beta_0': 0.8769656613172253, 'beta_1': 0.9921566381933148, 'epsilon': 2.1705003488711103e-08, 'balanced_loss': False, 'epochs': 141, 'early_stopping_patience': 10, 'plateau_patience': 11, 'plateau_divider': 7}. Best is trial 1 with value: 0.8967889908256881.
[I 2024-11-28 07:02:47,292] Trial 8 finished with value: 0.8922018348623854 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.7916985717411447, 'batch_size': 85, 'attention_heads': 8, 'hidden_dimension': 199, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5547670231482533, 'global_pooling': 'mean', 'learning_rate': 0.0002957080941494348, 'weight_decay': 6.24607368131809e-06, 'beta_0': 0.8233238054292655, 'beta_1': 0.9984823954805346, 'epsilon': 3.7358626308127487e-07, 'balanced_loss': True, 'epochs': 170, 'early_stopping_patience': 18, 'plateau_patience': 19, 'plateau_divider': 6}. Best is trial 1 with value: 0.8967889908256881.
[I 2024-11-28 07:06:25,880] Trial 9 finished with value: 0.8543577981651376 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9172522213941028, 'batch_size': 246, 'attention_heads': 15, 'hidden_dimension': 115, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5784955687763176, 'global_pooling': 'sum', 'learning_rate': 0.025824850844906145, 'weight_decay': 7.644457600399742e-06, 'beta_0': 0.8371219067759552, 'beta_1': 0.9961484316107455, 'epsilon': 1.8522006003174358e-07, 'balanced_loss': False, 'epochs': 191, 'early_stopping_patience': 21, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 1 with value: 0.8967889908256881.
[I 2024-11-28 07:09:59,630] Trial 10 finished with value: 0.8967889908256881 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.539353460665692, 'batch_size': 188, 'attention_heads': 13, 'hidden_dimension': 40, 'number_of_hidden_layers': 1, 'dropout_rate': 0.30330215040018504, 'global_pooling': 'mean', 'learning_rate': 0.00022029579307784506, 'weight_decay': 1.2047615265500787e-06, 'beta_0': 0.8029327951038128, 'beta_1': 0.9825361598944343, 'epsilon': 1.2928554174174293e-05, 'balanced_loss': False, 'epochs': 111, 'early_stopping_patience': 14, 'plateau_patience': 25, 'plateau_divider': 10}. Best is trial 1 with value: 0.8967889908256881.
